
[00:00:00.000 --> 00:00:03.000]  在兩個禮拜前
[00:00:03.000 --> 00:00:08.500]  我將一張四十年前拍攝的個人照
[00:00:08.500 --> 00:00:11.500]  上載到Facebook
[00:00:11.500 --> 00:00:15.500]  結果有百多個讚好
[00:00:15.500 --> 00:00:17.500]  都幾開心
[00:00:17.500 --> 00:00:20.500]  是一張什麼樣的照片呢?
[00:00:20.500 --> 00:00:23.500]  不妨大家看看
[00:00:23.500 --> 00:00:28.500]  直昇機和有個人正在下來
[00:00:28.500 --> 00:00:32.500]  這是四十年前的我
[00:00:32.500 --> 00:00:37.500]  當時我是警察幫辦
[00:00:37.500 --> 00:00:43.500]  在防暴隊PDU接受防暴訓練
[00:00:43.500 --> 00:00:46.500]  其中需要學習的是
[00:00:46.500 --> 00:00:49.500]  在直昇機上游繩下來
[00:00:49.500 --> 00:00:53.500]  在這一刻很感謝一位同事
[00:00:53.500 --> 00:00:55.500]  一聲拍下了這張照片
[00:00:55.500 --> 00:00:57.500]  所以保留了
[00:00:57.500 --> 00:01:01.500]  非常美好
[00:01:01.500 --> 00:01:04.500]  這張照片很獨特
[00:01:04.500 --> 00:01:10.500]  也是再一次將我帶回當日當警察的時候
[00:01:10.500 --> 00:01:12.500]  當我想到這裡的時候
[00:01:12.500 --> 00:01:15.500]  我就想起我們的教會
[00:01:15.500 --> 00:01:17.500]  想起我們做基督徒
[00:01:17.500 --> 00:01:19.500]  想起我們做基督徒
[00:01:19.500 --> 00:01:23.500]  其實都是要做軍人
[00:01:23.500 --> 00:01:25.500]  要做士兵
[00:01:25.500 --> 00:01:28.500]  要做屬靈的士兵
[00:01:28.500 --> 00:01:34.500]  要做基督耶穌的征兵
[00:01:34.500 --> 00:01:37.500]  我的聯想應該沒錯
[00:01:37.500 --> 00:01:40.500]  因為聖經真的這麼說
[00:01:40.500 --> 00:01:42.500]  剛才我們所讀的經文
[00:01:42.500 --> 00:01:47.500]  提摩泰後書第二章三到四節
[00:01:47.500 --> 00:01:50.500]  保羅勸勉提摩泰
[00:01:50.500 --> 00:01:54.500]  也勸勉今天我們每一位基督徒
[00:01:54.500 --> 00:01:56.500]  提醒我們
[00:01:56.500 --> 00:02:00.500]  我們需要做基督耶穌的征兵
[00:02:00.500 --> 00:02:01.500]  經文這樣說
[00:02:01.500 --> 00:02:05.500]  保羅說「你要和我同受苦難
[00:02:05.500 --> 00:02:08.500]  好像基督耶穌的征兵
[00:02:08.500 --> 00:02:11.500]  凡在軍中當兵的
[00:02:11.500 --> 00:02:13.500]  不將誓無前身
[00:02:13.500 --> 00:02:17.500]  好叫那招他當兵的人喜悅」
[00:02:17.500 --> 00:02:19.500]  在這裡很清楚
[00:02:19.500 --> 00:02:21.500]  告訴我們
[00:02:21.500 --> 00:02:23.500]  原來屬主的人
[00:02:23.500 --> 00:02:27.500]  要成為基督耶穌的征兵
[00:02:27.500 --> 00:02:29.500]  所以當我看到這些相片
[00:02:29.500 --> 00:02:32.500]  想起我要今天講道的時候
[00:02:32.500 --> 00:02:34.500]  我就很快聯想到
[00:02:34.500 --> 00:02:37.500]  我們是基督耶穌的征兵
