
[00:00:00.000 --> 00:00:02.480]  小時候在學校已經學到
[00:00:02.480 --> 00:00:06.440]  這個世界七大奇蹟
[00:00:06.440 --> 00:00:09.040]  七大奇蹟
[00:00:09.040 --> 00:00:10.520]  當然了
[00:00:10.520 --> 00:00:11.880]  大家知道我記性差
[00:00:11.880 --> 00:00:13.000]  很快就忘記了
[00:00:13.000 --> 00:00:15.000]  我就上網查查看
[00:00:15.000 --> 00:00:16.320]  發覺原來
[00:00:16.320 --> 00:00:18.040]  現在的七大奇蹟
[00:00:18.040 --> 00:00:21.560]  和我小時候學的七大奇蹟已經不同了
[00:00:21.560 --> 00:00:22.720]  不知道大家知不知道
[00:00:22.720 --> 00:00:24.840]  現在版本的七大奇蹟
[00:00:24.840 --> 00:00:26.480]  是哪七個呢?
[00:00:26.480 --> 00:00:28.760]  或者讓我們很快的看看
[00:00:28.760 --> 00:00:32.160]  當然有我們祖國的萬里長城
[00:00:32.160 --> 00:00:35.000]  有約旦的佩特拉古城
[00:00:35.000 --> 00:00:38.960]  有巴西的里約熱內盧的基督像
[00:00:38.960 --> 00:00:40.800]  有秘魯的馬丘比丘
[00:00:40.800 --> 00:00:42.800]  有墨西哥的金字塔
[00:00:42.800 --> 00:00:44.480]  有意大利的荊棘牆
[00:00:44.480 --> 00:00:47.920]  還有印度的泰基瑪哈尼
[00:00:47.920 --> 00:00:50.240]  不知道大家去過多少個呢?
[00:00:50.240 --> 00:00:53.040]  我只去過萬里長城
[00:00:53.040 --> 00:00:58.240]  別人說北上長城非好看
[00:00:58.240 --> 00:01:00.480]  我也做過兩次好看的
[00:01:00.480 --> 00:01:03.280]  不過今天我不是說七大奇蹟
[00:01:03.280 --> 00:01:05.360]  我想跟大家說的就是
[00:01:05.360 --> 00:01:07.160]  比這七大奇蹟裡面
[00:01:07.160 --> 00:01:10.200]  更奇蹟的一個神蹟
[00:01:10.200 --> 00:01:11.320]  一個奇蹟
[00:01:11.320 --> 00:01:16.800]  而這個奇蹟是不會受到任何時間的改變的
[00:01:16.800 --> 00:01:18.520]  你說這是什麼奇蹟呢?
[00:01:18.520 --> 00:01:20.520]  如果剛才有留心聽
[00:01:20.520 --> 00:01:23.160]  我們所讀的經文的時候
[00:01:23.160 --> 00:01:24.960]  這個奇蹟
[00:01:24.960 --> 00:01:26.520]  其實就是你和我
[00:01:26.520 --> 00:01:28.520]  嘩!為什麼這樣說?這麼厲害?
[00:01:28.520 --> 00:01:32.200]  讓我們通過剛才讀的經文
[00:01:32.200 --> 00:01:36.520]  看看究竟這一段的經文
[00:01:36.520 --> 00:01:38.760]  教導的我們是什麼
[00:01:38.760 --> 00:01:40.200]  我想大家想一想
[00:01:40.200 --> 00:01:42.560]  我們決定一樣的東西
[00:01:42.560 --> 00:01:44.000]  是不是一個奇蹟呢?
[00:01:44.000 --> 00:01:45.360]  有什麼條件呢?
[00:01:45.360 --> 00:01:47.680]  或者我們需要考慮什麼呢?
[00:01:47.680 --> 00:01:49.280]  我相信很重要的
[00:01:49.280 --> 00:01:54.360]  我們看看究竟這個東西所涉及的人
[00:01:54.360 --> 00:01:56.360]  當時的科技
[00:01:56.360 --> 00:01:57.560]  資源
[00:01:57.560 --> 00:01:59.520]  很多東西都是考慮的
[00:01:59.520 --> 00:02:00.920]  我舉個例子
[00:02:00.920 --> 00:02:01.840]  如果我跟大家說
[00:02:01.840 --> 00:02:05.440]  大家有沒有看到三層高的
[00:02:05.440 --> 00:02:08.600]  這麼漂亮的豪宅呢?
[00:02:08.600 --> 00:02:09.800]  如果我跟大家說
[00:02:09.800 --> 00:02:13.360]  這是一個很厲害的建築師
[00:02:13.360 --> 00:02:15.200]  一個人做出來的
