
[00:00:00.000 --> 00:00:07.000]  當頭先幼稚級嘅小朋友去讀主套文
[00:00:07.000 --> 00:00:11.000]  唱天賦我愛土地嘅時候
[00:00:11.000 --> 00:00:14.000]  我睇到一幅好美麗嘅圖畫
[00:00:14.000 --> 00:00:17.000]  有老有亂
[00:00:17.000 --> 00:00:20.000]  有長有幼
[00:00:20.000 --> 00:00:23.000]  呢個正正係一個屬人嘅家
[00:00:23.000 --> 00:00:29.000]  最完美最美善嘅一幅圖畫
[00:00:29.000 --> 00:00:33.000]  幼稚級嘅弟妹佢哋背主套文
[00:00:33.000 --> 00:00:38.000]  話佢呢刻佢唔知道好具體裏面嘅意思
[00:00:38.000 --> 00:00:41.000]  當佢唱天賦我愛土地嘅時候
[00:00:41.000 --> 00:00:44.000]  佢唔一定真係佢愛土地
[00:00:44.000 --> 00:00:47.000]  但至少讓佢能夠背誦
[00:00:47.000 --> 00:00:50.000]  一啲好重要嘅信念
[00:00:50.000 --> 00:00:54.000]  好大提醒嘅一啲嘅詩歌
[00:00:54.000 --> 00:00:57.000]  我相信呢個係我哋做父母嘅
[00:00:57.000 --> 00:01:02.000]  做幼兒工作嘅同工鼎姊妹
[00:01:02.000 --> 00:01:05.000]  所應該重視嘅
[00:01:05.000 --> 00:01:07.000]  鼎姊妹
[00:01:07.000 --> 00:01:13.000]  小朋友都話天賦我愛土地
[00:01:13.000 --> 00:01:17.000]  你呢你愛土地嗎
[00:01:17.000 --> 00:01:22.000]  你相信土地嘅能力嗎
[00:01:22.000 --> 00:01:28.000]  我哋在天上嘅父 願人都尊你嘅名為聖
[00:01:28.000 --> 00:01:30.000]  但鼎姊妹
[00:01:30.000 --> 00:01:36.000]  我哋可曾尊我哋嘅神我哋嘅天賦為聖
[00:01:36.000 --> 00:01:40.000]  所以幼稚級一班嘅小朋友
[00:01:40.000 --> 00:01:43.000]  喺上帝使用佢呢刻
[00:01:43.000 --> 00:01:45.000]  向我哋每一位長者
[00:01:45.000 --> 00:01:49.000]  向我哋每一位嘅鼎姊妹做父母嘅
[00:01:49.000 --> 00:01:51.000]  去作出一個呼籲
[00:01:51.000 --> 00:01:53.000]  願我哋嘅父母
[00:01:53.000 --> 00:01:55.000]  願我哋嘅長者
[00:01:55.000 --> 00:01:57.000]  你哋都好似我一樣
[00:01:57.000 --> 00:01:58.000]  好似主禱文一樣
[00:01:58.000 --> 00:02:00.000]  尊我哋嘅天賦為聖
[00:02:00.000 --> 00:02:05.000]  願我哋好似詩歌所講
[00:02:05.000 --> 00:02:07.000]  我哋愛土地
[00:02:07.000 --> 00:02:10.000]  因為我哋土地對象
[00:02:10.000 --> 00:02:15.000]  係我哋最愛最重要嘅天賦
[00:02:15.000 --> 00:02:18.000]  各位親愛嘅長者
[00:02:18.000 --> 00:02:21.000]  今日係國際長者日
[00:02:21.000 --> 00:02:26.000]  今日亦都係我哋教會一年一度嘅敬老主日
[00:02:26.000 --> 00:02:30.000]  喺度恭祝大家身體健康
[00:02:30.000 --> 00:02:32.000]  靈明進步
