
[00:00:00.000 --> 00:00:02.440]  當我去年第一堂講祈禱的時候
[00:00:02.440 --> 00:00:04.320]  我就用了一句聖經
[00:00:04.320 --> 00:00:05.920]  當時耶穌就說
[00:00:05.920 --> 00:00:09.720]  我的殿是萬民禱告的殿
[00:00:09.720 --> 00:00:12.200]  當時耶穌見到在聖殿裏面
[00:00:12.200 --> 00:00:13.880]  是一班人在做買賣
[00:00:13.880 --> 00:00:15.800]  他心裏面就很不開心
[00:00:15.800 --> 00:00:20.840]  甚至有一種可以說是憤怒也不出奇
[00:00:20.840 --> 00:00:24.600]  於是他就趕走所有做買賣的人
[00:00:24.600 --> 00:00:27.200]  於是他就引用了《倚創下書》一句聖經
[00:00:27.200 --> 00:00:31.040]  「我的殿是萬民禱告的殿」
[00:00:31.040 --> 00:00:35.680]  換言之 耶穌說我的殿是萬民禱告的殿
[00:00:35.680 --> 00:00:38.040]  這個地方是用來祈禱的地方
[00:00:38.040 --> 00:00:39.400]  而同樣的聖經亦說
[00:00:39.400 --> 00:00:43.200]  我們的身體是聖靈的殿
[00:00:43.200 --> 00:00:46.440]  今天為何我們要顧惜我們全人的健康
[00:00:46.440 --> 00:00:48.520]  為何我們要心心靈都要有健康
[00:00:48.520 --> 00:00:52.400]  因為我們的殿是有聖靈內在我們的生命當中
[00:00:52.400 --> 00:00:53.920]  我們是聖靈的殿
[00:00:53.920 --> 00:00:59.080]  換言之 殿在英文來講 英文的翻譯就是house
[00:00:59.080 --> 00:01:02.400]  它不是翻譯做temple 也不是翻譯做church
[00:01:02.400 --> 00:01:03.840]  它是翻譯做house
[00:01:03.840 --> 00:01:07.720]  我們說house house是一個房屋
[00:01:07.720 --> 00:01:09.640]  house是要建立
[00:01:09.640 --> 00:01:14.800]  以至到我說祈禱不單止是我們信徒的指定動作
[00:01:14.800 --> 00:01:15.960]  我們一定要做
[00:01:15.960 --> 00:01:18.120]  牧師會跟你說 你今天信耶穌
[00:01:18.120 --> 00:01:20.080]  你就要祈禱 讀經 回教會
[00:01:20.080 --> 00:01:21.760]  這個是指定動作
[00:01:21.760 --> 00:01:25.520]  我就說 其實祈禱不單止是指定動作
[00:01:25.520 --> 00:01:26.840]  既然是一個house
[00:01:26.840 --> 00:01:29.680]  其實是一個要建立的東西
[00:01:29.680 --> 00:01:33.720]  以至到我們說要建立一個祈禱的人生
[00:01:33.720 --> 00:01:35.800]  為何我說祈禱不會畢業
[00:01:35.800 --> 00:01:39.920]  因為我們不斷在建立我們祈禱的人生
[00:01:39.920 --> 00:01:42.200]  當然house我們很難去明白
[00:01:42.200 --> 00:01:44.560]  特別香港人很難去明白甚麼是house
[00:01:44.560 --> 00:01:47.080]  因為香港人只買單位
[00:01:47.080 --> 00:01:50.840]  前幾天我去了屯門堂跟同工吃團年飯
[00:01:50.840 --> 00:01:53.080]  他們請我吃盤菜
[00:01:53.080 --> 00:01:55.160]  吃飯之前他們帶我去看樓盤
[00:01:55.160 --> 00:01:57.680]  你知道香港人沒事做就是看樓盤
[00:01:57.680 --> 00:02:01.120]  他說這裡有兩個新建的樓盤
[00:02:01.120 --> 00:02:02.200]  不過賣光了
[00:02:02.200 --> 00:02:03.560]  賣光了真的很厲害
[00:02:03.560 --> 00:02:04.480]  我說多少錢
[00:02:04.480 --> 00:02:05.160]  四百多萬
[00:02:05.160 --> 00:02:06.960]  哇 屯門怎麼這麼便宜
[00:02:06.960 --> 00:02:07.680]  我說多少呎
[00:02:07.680 --> 00:02:09.240]  二百多呎
[00:02:09.240 --> 00:02:11.480]  二百多呎賣四百萬
[00:02:11.480 --> 00:02:15.600]  二百多呎怎麼可以稱呼為house呢
[00:02:15.600 --> 00:02:18.080]  二百多呎怎麼建房
[00:02:18.080 --> 00:02:20.120]  每間房三十呎
[00:02:20.120 --> 00:02:22.120]  我第一間屋在香港住的
[00:02:22.120 --> 00:02:25.240]  那間房是三十六呎
[00:02:25.240 --> 00:02:26.480]  那間房是三十六呎
[00:02:26.480 --> 00:02:28.040]  你知道三十六呎很容易計算
[00:02:28.040 --> 00:02:28.920]  六乘六
[00:02:28.920 --> 00:02:30.160]  三十六呎
[00:02:30.160 --> 00:02:32.160]  然後那些傢俬真是不得了
[00:02:32.160 --> 00:02:34.800]  我和師母第一件傢俬的床
[00:02:34.800 --> 00:02:36.680]  就是四乘六
[00:02:36.680 --> 00:02:37.160]  四乘六
[00:02:37.160 --> 00:02:39.160]  還有兩呎可以走進去
[00:02:39.160 --> 00:02:41.480]  然後
[00:02:41.480 --> 00:02:42.560]  哪裡放衣服
[00:02:42.560 --> 00:02:43.560]  很聰明
[00:02:43.560 --> 00:02:44.760]  我們要爬上去
[00:02:44.760 --> 00:02:46.400]  就在上面有個衣櫃
[00:02:46.400 --> 00:02:48.520]  旁邊還有兩呎
[00:02:48.520 --> 00:02:50.440]  有個空間 有個化妝桌
[00:02:50.440 --> 00:02:51.560]  嘩 多厲害
[00:02:51.560 --> 00:02:53.000]  香港人的設計真是不得了
[00:02:53.000 --> 00:02:55.000]  我們把掌聲歸給黎叔
[00:02:55.000 --> 00:02:56.520]  嘩 真是不得了
[00:02:56.520 --> 00:02:58.520]  三十六呎都會有間房
[00:02:58.520 --> 00:03:02.000]  我去年去了加拿大
[00:03:02.000 --> 00:03:03.960]  看到我姐姐一個人住
[00:03:03.960 --> 00:03:06.240]  一千八百呎的net
[00:03:06.240 --> 00:03:07.360]  嘩
[00:03:07.360 --> 00:03:10.840]  一個人住一千八百呎net
[00:03:10.840 --> 00:03:12.920]  所以她可以分很多房間
[00:03:12.920 --> 00:03:13.840]  她可以
[00:03:13.840 --> 00:03:17.000]  我第一課講就是family room
[00:03:17.000 --> 00:03:18.400]  家人的休息室
[00:03:18.400 --> 00:03:20.640]  我說我姐姐的family room
[00:03:20.640 --> 00:03:21.800]  很厲害
[00:03:21.800 --> 00:03:23.240]  整個地上都有一些玩具
[00:03:23.240 --> 00:03:25.120]  給孫女回來玩
[00:03:25.120 --> 00:03:26.040]  我就跟姐姐說
[00:03:26.040 --> 00:03:26.960]  為什麼不收拾一收拾
[00:03:26.960 --> 00:03:27.840]  你收拾就收拾什麼
[00:03:27.840 --> 00:03:29.160]  下星期又是這樣
[00:03:29.160 --> 00:03:30.840]  於是她只管著吸一層
[00:03:30.840 --> 00:03:32.760]  那些玩具永遠都在地上
[00:03:32.760 --> 00:03:33.600]  family room
[00:03:33.600 --> 00:03:34.440]  沒什麼所謂
[00:03:34.440 --> 00:03:35.280]  自己人
[00:03:35.280 --> 00:03:36.360]  你穿著短褲
[00:03:36.360 --> 00:03:37.360]  穿著一件背心
[00:03:37.360 --> 00:03:39.720]  可以和家人在房間那邊
[00:03:39.720 --> 00:03:41.000]  看電視 打機
[00:03:41.000 --> 00:03:41.840]  什麼都可以做
[00:03:41.840 --> 00:03:43.800]  玩遊戲
[00:03:43.800 --> 00:03:45.560]  我就說祈禱
[00:03:45.560 --> 00:03:46.960]  其實不難
[00:03:46.960 --> 00:03:48.320]  只要你肯祈禱
[00:03:48.320 --> 00:03:49.560]  一點都不難
[00:03:49.560 --> 00:03:51.320]  彼得前書第五章第七節
[00:03:51.320 --> 00:03:53.840]  他說我們要將我們的憂慮
[00:03:53.840 --> 00:03:55.160]  射給誰
[00:03:55.160 --> 00:03:56.200]  射給神
[00:03:56.200 --> 00:03:59.680]  因為祂顧念我們
[00:03:59.680 --> 00:04:02.440]  因為祂是我們天上的爸爸
[00:04:02.440 --> 00:04:03.480]  地上的爸爸
[00:04:03.480 --> 00:04:05.880]  都不會將不好的東西給我們
[00:04:05.880 --> 00:04:07.920]  更何況天上的爸爸
[00:04:07.920 --> 00:04:09.840]  豈不將最好的東西給我們
[00:04:09.840 --> 00:04:10.680]  聖經說
[00:04:10.680 --> 00:04:12.040]  最好的東西是什麼
[00:04:12.040 --> 00:04:13.080]  就是聖靈
[00:04:13.080 --> 00:04:14.880]  在盧家福音很清楚
[00:04:14.880 --> 00:04:16.160]  他說地上的爸爸
[00:04:16.160 --> 00:04:17.800]  都會將好東西給我們
[00:04:17.800 --> 00:04:19.520]  更何況天上的爸爸
[00:04:19.520 --> 00:04:21.520]  豈不將更好的東西
[00:04:21.520 --> 00:04:22.760]  就是聖靈
[00:04:22.760 --> 00:04:24.400]  賞賜給我們
[00:04:24.400 --> 00:04:25.760]  所以第一課我就說
