
[00:00:00.000 --> 00:00:03.000]  好,我們進入我們的第二講
[00:00:03.000 --> 00:00:05.700]  我們剛才看過我們這次的五個講
[00:00:05.700 --> 00:00:08.000]  剛才十面埋伏,十萬火急
[00:00:08.000 --> 00:00:15.400]  是講保祿的前後書的一個大圖畫
[00:00:15.400 --> 00:00:17.000]  究竟是講些什麼
[00:00:17.000 --> 00:00:19.300]  我們跟著這四講
[00:00:19.300 --> 00:00:23.300]  其實都是回應教會分裂的問題
[00:00:23.300 --> 00:00:26.200]  OK,你如果去看一下
[00:00:26.200 --> 00:00:29.400]  它在第一章第十節至十七節
[00:00:29.400 --> 00:00:33.600]  已經開始講這個教會分裂的憎徑
[00:00:33.600 --> 00:00:35.600]  和熟悉的紛爭的問題
[00:00:35.600 --> 00:00:40.600]  結果它就用了四章聖經
[00:00:40.600 --> 00:00:43.200]  是回應這個問題的
[00:00:43.200 --> 00:00:46.100]  OK,我們再次看一下這個問題
[00:00:46.100 --> 00:00:47.200]  保祿怎麼寫
[00:00:47.200 --> 00:00:51.100]  他說:弟兄們,我藉著主耶穌基督的名
[00:00:51.100 --> 00:00:53.400]  勸你們說話要一致
[00:00:53.400 --> 00:00:55.600]  你們中間不可分裂
[00:00:55.600 --> 00:01:00.200]  只要一心一意彼此的團契
[00:01:00.200 --> 00:01:03.800]  我的弟兄們,格來是家裡
[00:01:03.800 --> 00:01:06.300]  有人曾對我提起你們
[00:01:06.300 --> 00:01:08.800]  說你們中間有紛爭
[00:01:08.800 --> 00:01:11.800]  我的意思是你們各人說
[00:01:11.800 --> 00:01:15.800]  我是屬於保祿的,屬於亞波羅的
[00:01:15.800 --> 00:01:19.600]  屬於基法的,屬於基督的
[00:01:19.600 --> 00:01:22.600]  你想想這四組人其實挺有趣的
[00:01:22.600 --> 00:01:24.000]  亞波羅我剛才講了
[00:01:24.000 --> 00:01:27.600]  其中一個特點就是他挺有口才的
[00:01:27.600 --> 00:01:29.400]  可能是因為這樣的緣故
[00:01:29.400 --> 00:01:32.600]  這些人很貼身於亞波羅
[00:01:32.600 --> 00:01:34.000]  甚至我們相信
[00:01:34.000 --> 00:01:35.400]  其中因為他之後寫
[00:01:35.400 --> 00:01:38.600]  就是每個人為多少人受洗
[00:01:38.600 --> 00:01:41.200]  可能亞波羅因為普羅很快就走了
[00:01:41.200 --> 00:01:42.800]  接著不覺得應該是普羅
[00:01:42.800 --> 00:01:45.200]  他說他自己沒有為很多人受洗過
[00:01:45.200 --> 00:01:49.400]  可能是亞波羅幫他們受洗的緣故
[00:01:49.400 --> 00:01:51.900]  基法就是講到彼得
[00:01:51.900 --> 00:01:57.100]  如果你有機會去看哥倫多前書第九章
[00:01:57.100 --> 00:02:02.000]  他曾經講到彼得是有老婆的
[00:02:02.000 --> 00:02:04.200]  彼得的老婆我們相信
[00:02:04.200 --> 00:02:07.400]  曾經和彼得一起去探過哥倫多教會
[00:02:07.400 --> 00:02:10.600]  而哥倫多教會是支持他們的生活費的
[00:02:10.600 --> 00:02:12.600]  所以普羅曾經有說
[00:02:12.600 --> 00:02:15.600]  難道我不可以好像彼得一樣
[00:02:15.600 --> 00:02:16.800]  受你們的支持
[00:02:16.800 --> 00:02:19.600]  甚至如果我有個老婆的話
[00:02:19.600 --> 00:02:23.600]  所以我們相信普羅、亞波羅、基法
[00:02:23.600 --> 00:02:26.800]  都曾經在哥倫多教會出現過
[00:02:26.800 --> 00:02:31.000]  而被他們接受他們的模樣等等
[00:02:31.000 --> 00:02:32.600]  當然有另外一組
[00:02:32.600 --> 00:02:36.200]  就說我是屬於基督的
[00:02:36.200 --> 00:02:38.600]  OK 普羅開始回應了
[00:02:38.600 --> 00:02:43.400]  普羅說:基督是分離的嗎?
[00:02:43.400 --> 00:02:46.600]  普羅為你們釘了十字架嗎?
[00:02:46.600 --> 00:02:49.800]  你們是奉普羅的名受了洗嗎?
[00:02:49.800 --> 00:02:50.900]  我感謝上帝
[00:02:50.900 --> 00:02:54.800]  除了《基理事報》和該由以外
[00:02:54.800 --> 00:02:58.400]  我沒有給你們中任何一個人受洗
[00:02:58.400 --> 00:03:00.400]  免得有人說
[00:03:00.400 --> 00:03:03.400]  你們是奉我的名受洗的
[00:03:03.400 --> 00:03:04.400]  我不知道我們當中
[00:03:04.400 --> 00:03:06.800]  有沒有人是那些名目受洗的
[00:03:06.800 --> 00:03:08.400]  有沒有?
[00:03:08.400 --> 00:03:09.200]  有沒有人還記得
[00:03:09.200 --> 00:03:11.700]  哇 你知道我是誰受洗的
[00:03:11.700 --> 00:03:14.400]  我告訴你我是譚耿輝受洗的
[00:03:14.400 --> 00:03:17.000]  你知道嗎? 厲害吧?
[00:03:17.000 --> 00:03:19.000]  我記得我回去香港的時候
[00:03:19.000 --> 00:03:21.000]  我和蕭壽宏牧師
[00:03:21.000 --> 00:03:22.600]  就是現在我們北宣的牧師
[00:03:22.600 --> 00:03:23.800]  就是主要牧師
[00:03:23.800 --> 00:03:25.400]  你知道北宣在香港很大
[00:03:25.400 --> 00:03:27.200]  七、八千人
[00:03:27.200 --> 00:03:28.200]  我和他說
[00:03:28.200 --> 00:03:29.200]  他計算了年數
[00:03:29.200 --> 00:03:32.000]  他說:原來你那年是譚耿輝牧師
[00:03:32.000 --> 00:03:34.000]  最後一次幫人受洗
[00:03:34.000 --> 00:03:35.800]  你最後一次收到
[00:03:35.800 --> 00:03:39.200]  所以是否有些人會這樣呢?
[00:03:39.200 --> 00:03:42.000]  會說因為哪個位幫我受洗
[00:03:42.000 --> 00:03:45.200]  我覺得我特別蒙上帝祝福
[00:03:45.200 --> 00:03:47.000]  可能當時的人是這樣
[00:03:47.000 --> 00:03:48.800]  可能
[00:03:48.800 --> 00:03:52.200]  我曾為私提犯那家受洗過
[00:03:52.200 --> 00:03:54.200]  此外我已記不清
[00:03:54.200 --> 00:03:57.000]  有沒有給別人私過洗
[00:03:57.000 --> 00:03:58.800]  因為基督差遣
[00:03:58.800 --> 00:04:01.200]  我不是私洗
[00:04:01.200 --> 00:04:02.800]  而是全福音
[00:04:02.800 --> 00:04:06.800]  並不是用智慧的言語
[00:04:06.800 --> 00:04:09.800]  免得基督十字架落尿空
[00:04:09.800 --> 00:04:11.800]  保羅開始說
[00:04:11.800 --> 00:04:15.000]  他們可能因為不同的人為他們受洗
[00:04:15.000 --> 00:04:17.600]  而組成了不同的群組
[00:04:17.600 --> 00:04:18.800]  而保羅說
[00:04:18.800 --> 00:04:20.600]  我不太在乎受洗
[00:04:20.600 --> 00:04:22.400]  我是在乎福音
[00:04:22.400 --> 00:04:23.400]  為何保羅這樣說
[00:04:23.400 --> 00:04:24.600]  不是受洗不重要
[00:04:24.600 --> 00:04:26.200]  大家都知道受洗是重要的
[00:04:26.200 --> 00:04:29.400]  你也知道在保羅的信仰的教義中
[00:04:29.400 --> 00:04:30.400]  受洗是重要的
