
[00:00:00.000 --> 00:00:02.600]  你知不知道其實在這段時間
[00:00:02.600 --> 00:00:05.200]  對於一些未有子女的夫婦來說
[00:00:05.200 --> 00:00:08.800]  都可能面對很大的適應和考驗
[00:00:08.800 --> 00:00:10.100]  為什麼我這樣說呢?
[00:00:10.100 --> 00:00:12.400]  因為如果兩夫婦都是上班族
[00:00:12.400 --> 00:00:15.300]  由早忙到晚,早出晚歸
[00:00:15.300 --> 00:00:16.600]  現在是怎樣?
[00:00:16.600 --> 00:00:18.000]  成日work from home
[00:00:18.000 --> 00:00:20.200]  變了兩個人日對夜對
[00:00:20.200 --> 00:00:22.800]  雖然在家裡各有各的工作
[00:00:22.800 --> 00:00:25.500]  但在家裡如果兩夫婦都是上班族
[00:00:25.500 --> 00:00:28.100]  但在家裡如果兩夫婦都是上班族
[00:00:28.100 --> 00:00:31.300]  雖然在家裡各有各的工作
[00:00:31.300 --> 00:00:33.700]  但始終見面的時間多了很多
[00:00:33.700 --> 00:00:36.300]  難免就會有很多的摩擦
[00:00:36.300 --> 00:00:39.700]  還有,如果有些是家庭主婦
[00:00:39.700 --> 00:00:41.900]  他們習慣一個人自己在家
[00:00:41.900 --> 00:00:44.700]  現在無端端的丈夫經常在
[00:00:44.700 --> 00:00:47.300]  真的會有一些無形的壓力
[00:00:47.300 --> 00:00:51.700]  其實夫婦能夠多點時間見面和溝通
[00:00:51.700 --> 00:00:53.300]  應該是很好的
[00:00:53.300 --> 00:00:56.900]  亦是夫婦相處之道不可或缺的事情
[00:00:56.900 --> 00:00:58.900]  只不過大家都忙
[00:00:58.900 --> 00:01:01.900]  就將這樣這麼重要的事情擺開了
[00:01:01.900 --> 00:01:04.500]  又以為只要住在一間屋
[00:01:04.500 --> 00:01:06.500]  就能夠保持一個好的關係
[00:01:06.500 --> 00:01:09.900]  但忘記了夫婦相處之道
[00:01:09.900 --> 00:01:14.900]  那個關係是需要用時間栽種和培育的
[00:01:14.900 --> 00:01:16.300]  同意
[00:01:16.300 --> 00:01:19.100]  所以我想我們現在應該盡量
[00:01:19.100 --> 00:01:23.100]  利用這段時間多點坦誠溝通
[00:01:23.100 --> 00:01:26.100]  發掘多點對方的優點
[00:01:26.100 --> 00:01:29.100]  我們可以說多點欣賞的話
[00:01:29.100 --> 00:01:31.100]  讚賞的話
[00:01:31.100 --> 00:01:35.100]  和看到對方的好處
[00:01:35.100 --> 00:01:39.100]  亦都可以一起檢視一下自己生命中的優次
[00:01:39.100 --> 00:01:42.100]  我們每天亦都可以找多點時間
[00:01:42.100 --> 00:01:45.700]  一起去讀經、祈禱、靈修
[00:01:45.700 --> 00:01:49.300]  重拾我們在忙碌的生活裏面
[00:01:49.300 --> 00:01:50.900]  找不到的時間
[00:01:50.900 --> 00:01:54.500]  可以一起在主裏彼此建立
