
[00:00:00.000 --> 00:00:01.600]  各位電影姐妹,主內平安
[00:00:01.600 --> 00:00:06.440]  我們又回到《全導書》了
[00:00:06.440 --> 00:00:09.200]  《全導書》今天講到第五章
[00:00:09.200 --> 00:00:11.800]  我想大家對《全導書》的印象
[00:00:11.800 --> 00:00:13.880]  都會是很灰
[00:00:13.880 --> 00:00:15.840]  很虛空
[00:00:15.840 --> 00:00:19.000]  所以多謝剛才私奔獻唱小組
[00:00:19.000 --> 00:00:22.600]  說我們再次進入這麼灰的《全導書》之前
[00:00:22.600 --> 00:00:24.600]  加一點點色彩
[00:00:29.720 --> 00:00:32.800]  《全導書》真的給人的感覺是很...
[00:00:32.800 --> 00:00:34.160]  講虛空
[00:00:34.160 --> 00:00:35.120]  很灰的
[00:00:35.120 --> 00:00:37.480]  而《全導書》它講的虛空
[00:00:37.480 --> 00:00:38.960]  其實是特別針對
[00:00:38.960 --> 00:00:41.920]  人在日光之下勞碌
[00:00:41.920 --> 00:00:43.600]  這件事來講的
[00:00:43.600 --> 00:00:45.800]  就是它雖然講了很多空虛
[00:00:45.800 --> 00:00:46.960]  但是特別是講我們
[00:00:46.960 --> 00:00:48.000]  手所作的
[00:00:48.000 --> 00:00:49.200]  勞碌得來的
[00:00:49.200 --> 00:00:50.520]  是虛空的
[00:00:50.520 --> 00:00:51.360]  虛空的
[00:00:51.360 --> 00:00:53.920]  那這樣就更慘了,是不是?
[00:00:53.920 --> 00:00:55.040]  我們呢
[00:00:55.040 --> 00:00:56.640]  我們不做不行
[00:00:56.640 --> 00:00:58.000]  是不是?為了謀生
[00:00:58.480 --> 00:01:00.400]  但是做了《全導書》卻說只有一個"吉"
[00:01:00.400 --> 00:01:02.840]  那樣就更
[00:01:02.840 --> 00:01:03.920]  虛空
[00:01:03.920 --> 00:01:07.560]  其實我們教務團隊也注意到這件事
[00:01:07.560 --> 00:01:09.880]  所以我們其實有溝通過
[00:01:09.880 --> 00:01:10.400]  大家
[00:01:10.400 --> 00:01:12.480]  講到準備講章的時候
[00:01:12.480 --> 00:01:13.800]  你會講什麼呢?
[00:01:13.800 --> 00:01:16.160]  如果大家發現我們每一次
[00:01:16.160 --> 00:01:16.880]  《全導》
[00:01:16.880 --> 00:01:18.640]  就是我們講完之後
[00:01:18.640 --> 00:01:21.400]  都嘗試會用一個新藥
[00:01:21.400 --> 00:01:22.840]  或者其他的例子也好
[00:01:22.840 --> 00:01:24.760]  嘗試給大家一個出路
[00:01:24.760 --> 00:01:28.560]  不想大家虛空、很灰心地過一個星期
[00:01:28.560 --> 00:01:34.520]  因此我今天要先跟大家做一個心理準備
[00:01:34.520 --> 00:01:37.120]  因為當我去準備講章的時候
[00:01:37.120 --> 00:01:38.640]  我也在想
[00:01:38.640 --> 00:01:41.640]  不如最後給大家一個出路吧
[00:01:41.640 --> 00:01:44.320]  但是我又想
[00:01:44.320 --> 00:01:46.160]  有時候
[00:01:46.160 --> 00:01:51.400]  適時地留在一個灰的狀態裡面
[00:01:51.400 --> 00:01:53.800]  也未必是一件壞事
[00:01:55.560 --> 00:01:56.920]  甚至我認為
[00:01:56.920 --> 00:02:00.440]  這是《全導》者的用意
[00:02:00.440 --> 00:02:05.120]  你要尋得著它想表達的智慧
[00:02:05.120 --> 00:02:08.960]  這個過程是需要明白、虛空的
[00:02:08.960 --> 00:02:11.320]  所以大家知道我今天有心理準備
[00:02:11.320 --> 00:02:13.000]  最後沒有一個新藥的出路
[00:02:13.000 --> 00:02:14.600]  可能你會灰心地走
[00:02:14.600 --> 00:02:15.600]  OK?
[00:02:24.760 --> 00:02:27.640]  我的電視可以看到我的電話號碼嗎?
[00:02:27.640 --> 00:02:30.920]  謝謝
[00:02:30.920 --> 00:02:36.520]  好,今天首先講一講這段經文
[00:02:36.520 --> 00:02:39.640]  今天到了《全導書》第五章一至七節
[00:02:39.640 --> 00:02:43.760]  你可以很簡單地將這段經文分開做上下兩部份
[00:02:43.760 --> 00:02:48.120]  第一部份一到二節是講一個人去到聖殿的態度
[00:02:48.120 --> 00:02:51.280]  然後第三節是一個總結
[00:02:51.280 --> 00:02:52.400]  夢啊
