
[00:00:00.000 --> 00:00:01.820]  國慶弟兄姊妹主禮平安
[00:00:01.820 --> 00:00:07.240]  亦都向在網上的弟兄姊妹和來賓問安
[00:00:07.240 --> 00:00:08.520]  今日是荒主日
[00:00:08.520 --> 00:00:11.560]  都在這裡謹代表教會
[00:00:11.560 --> 00:00:21.000]  來向每一位弟兄姊妹邀請出席我們荒主日的來賓
[00:00:21.000 --> 00:00:23.720]  或者你收到一些單張資訊
[00:00:23.720 --> 00:00:26.280]  知道今天是有關於
[00:00:26.280 --> 00:00:28.920]  特別是講到我們荒訊息
[00:00:28.920 --> 00:00:32.200]  都想來到我們當中了解我們信仰的
[00:00:32.200 --> 00:00:35.760]  如果有些朋友都想你向我們揮手致意
[00:00:35.760 --> 00:00:38.360]  今日你是被邀請來出席的
[00:00:38.360 --> 00:00:41.080]  甚至你是收到這個單張
[00:00:41.080 --> 00:00:42.280]  知道今天是荒主日
[00:00:42.280 --> 00:00:44.640]  想知道我們信仰多些的
[00:00:44.640 --> 00:00:47.120]  都想請你向我們揮手致意
[00:00:47.120 --> 00:00:48.600]  讓我們彼此認識
[00:00:48.600 --> 00:00:53.400]  不知道有沒有這些來賓呢?
[00:00:53.400 --> 00:00:59.000]  即是在這幾樓、小禮堂、甚至是三樓的
[00:00:59.000 --> 00:01:07.920]  有沒有來賓來到出席呢今天?
[00:01:07.920 --> 00:01:10.880]  暫時不是很見得到
[00:01:10.880 --> 00:01:11.480]  不過不要緊
[00:01:11.480 --> 00:01:15.280]  可能你覺得可能在當中
[00:01:15.280 --> 00:01:19.560]  我相信都有想了解你信仰的朋友
[00:01:19.560 --> 00:01:26.280]  我們都去盼望今天的訊息都對大家有幫助
[00:01:26.280 --> 00:01:32.840]  有人說鎖大概是人類最無聊的一種發明
[00:01:32.840 --> 00:01:34.080]  怎麼說呢?
[00:01:34.080 --> 00:01:39.040]  好像保護財物和防姦
[00:01:39.040 --> 00:01:46.320]  但同時把這個不信任向這個世界表達出來
[00:01:46.320 --> 00:01:50.680]  有時說得好聽就叫做保安
[00:01:50.680 --> 00:01:51.960]  即是保鏢
[00:01:51.960 --> 00:01:54.520]  但同時這些人是怎樣呢?
[00:01:54.520 --> 00:01:56.560]  好聽就是保護
[00:01:56.560 --> 00:01:58.160]  不好聽是甚麼?
[00:01:58.160 --> 00:02:01.160]  監視和拘禁
[00:02:01.160 --> 00:02:06.680]  你請人來都可以盯緊自己
[00:02:06.680 --> 00:02:08.280]  就好像看護一樣
