
[00:00:00.000 --> 00:00:03.960]  多謝剛才林牧師介紹的小書
[00:00:03.960 --> 00:00:05.760]  如果大家覺得有幫助的話
[00:00:05.760 --> 00:00:07.760]  我希望你也可以拿來看看
[00:00:07.760 --> 00:00:09.760]  我心裏的負擔是希望
[00:00:09.760 --> 00:00:12.760]  希望這個這麼重要的題目
[00:00:12.760 --> 00:00:14.760]  我相信基督徒當中
[00:00:14.760 --> 00:00:17.760]  不需要再強調祈禱重要
[00:00:17.760 --> 00:00:18.760]  這個真的不需要再說
[00:00:18.760 --> 00:00:21.760]  不過實際上
[00:00:21.760 --> 00:00:25.760]  我們將祈禱實踐
[00:00:25.760 --> 00:00:28.760]  卻離開理想的情況還很遠
[00:00:28.760 --> 00:00:32.760]  我相信這個一般在香港的教會
[00:00:32.760 --> 00:00:34.760]  現在實際的情況
[00:00:34.760 --> 00:00:36.760]  因此我今天選了經文
[00:00:36.760 --> 00:00:42.760]  馬達福音第十八章十五到二十節
[00:00:42.760 --> 00:00:45.760]  講一個關於禱告權柄的題目
[00:00:45.760 --> 00:00:48.760]  這個也是我多年來很大掙扎的
[00:00:48.760 --> 00:00:51.760]  究竟祈禱是什麼意思
[00:00:51.760 --> 00:00:57.760]  教會要一起努力祈禱的原因是什麼
[00:00:57.760 --> 00:01:01.760]  我嘗試將這些資料整理和大家分享
[00:01:01.760 --> 00:01:04.760]  一般當我們祈禱的時候
[00:01:04.760 --> 00:01:08.760]  都會包括讚美、感恩、認罪、代求
[00:01:08.760 --> 00:01:12.760]  或者是自己的需要來祈禱
[00:01:12.760 --> 00:01:15.760]  大概在我們初信主義的時候
[00:01:15.760 --> 00:01:17.760]  都會說祈禱的五大方向
[00:01:17.760 --> 00:01:19.760]  為什麼要祈禱呢?
[00:01:19.760 --> 00:01:22.760]  我們很容易說是因為和上帝溝通
[00:01:22.760 --> 00:01:23.760]  和上帝建立關係
[00:01:23.760 --> 00:01:26.760]  但是我今天想集中說後面那兩個
[00:01:26.760 --> 00:01:32.760]  為什麼我們要為其他人代求和為自己祈求
[00:01:32.760 --> 00:01:35.760]  就是說如果上帝是什麼都知道
[00:01:35.760 --> 00:01:38.760]  為什麼我們還要代求
[00:01:38.760 --> 00:01:40.760]  如果我們求的時候
[00:01:40.760 --> 00:01:42.760]  上帝聽
[00:01:42.760 --> 00:01:45.760]  那會不會引申一些神學的問題呢?
