
[00:00:00.000 --> 00:00:03.000]  慈愛父神,我們來到祢的庚前,
[00:00:03.000 --> 00:00:06.000]  最多謝祢讓我們能夠這樣相聚,
[00:00:06.000 --> 00:00:09.000]  不單止多謝祢讓我們有實體去崇拜,
[00:00:09.000 --> 00:00:11.000]  多謝祢讓我們有生命見識,
[00:00:11.000 --> 00:00:16.000]  多謝祢在我們生命裏刺下一切祢豐盛的恩典,
[00:00:16.000 --> 00:00:18.000]  使我們得以願意和好。
[00:00:18.000 --> 00:00:21.000]  當我們進入經文的時候,
[00:00:21.000 --> 00:00:26.000]  祢帶領孩子有一個清晰的講解,
[00:00:26.000 --> 00:00:30.000]  帶領我們每一個能夠專心的進入聖經的世界,
[00:00:30.000 --> 00:00:33.000]  因為祢的話語是靈,是生命,
[00:00:33.000 --> 00:00:35.000]  要眺望我們生命裏面的靈火,
[00:00:35.000 --> 00:00:37.000]  多謝祢為我們禱告耕佛,
[00:00:37.000 --> 00:00:39.000]  救主的生命致祈禱。
[00:00:39.000 --> 00:00:44.000]  今天可以在同一個實體崇拜,
[00:00:44.000 --> 00:00:47.000]  有些緊張,有些興奮,
[00:00:47.000 --> 00:00:49.000]  緊張是因為我講道,
[00:00:49.000 --> 00:00:52.000]  興奮是因為可以見到大家,
[00:00:52.000 --> 00:00:57.000]  我們講道經文是以我所書一章三至十四節,
[00:00:57.000 --> 00:00:59.000]  如果你有留意我的講題,
[00:00:59.000 --> 00:01:00.000]  我榮耀中一,
[00:01:00.000 --> 00:01:02.000]  所以你可以預計有二,有三,
[00:01:02.000 --> 00:01:06.000]  有幾段的講道都是關於這一段的經文,
[00:01:06.000 --> 00:01:09.000]  三至十四節好像很短,
[00:01:09.000 --> 00:01:10.000]  有些人問,
[00:01:10.000 --> 00:01:13.000]  為什麼我不將它用一篇的講道可以講完呢?
[00:01:13.000 --> 00:01:15.000]  如果你知道的話,
[00:01:15.000 --> 00:01:18.000]  其實三至十四節裏面所蘊含的信息量,
[00:01:18.000 --> 00:01:22.000]  是足夠我們講十幾、二十幾次,
[00:01:22.000 --> 00:01:23.000]  不過以我的能力,
[00:01:23.000 --> 00:01:25.000]  我講三次的選擇。
[00:01:25.000 --> 00:01:27.000]  聖經學者告訴我們,
[00:01:27.000 --> 00:01:30.000]  三至十四節其實在希臘文的原文,
[00:01:30.000 --> 00:01:32.000]  是一個一連貫的句子,
[00:01:32.000 --> 00:01:34.000]  總共有二百多個字,
[00:01:34.000 --> 00:01:36.000]  中間是沒有句號的,
