
[00:00:00.000 --> 00:00:19.000]  【音樂】
[00:00:19.000 --> 00:00:29.000]  醫生準備停啊,我們今天來看張卷書,這個是一本書,剛剛大家已經念過一篇。
[00:00:29.000 --> 00:00:44.000]  雖然是整卷書,但是呢,就二十五節,不是太長的一封書信,就是保羅寫給一個人,叫做菲利雲的一封信。
[00:00:44.000 --> 00:00:56.000]  大家可以先打開比利文書,如果你比較難找比利文書的話,在聖經當中心願你找到西班牙書,就找到比利文書的了。
[00:00:56.000 --> 00:01:06.000]  比利文書因爲很短,所以一下子就越過了。西班牙書之前的一卷書就是比利文書。
[00:01:06.000 --> 00:01:15.000]  那麼,比利文書呢,剛纔我們念出來的時候,已經大概有一點的概念。
[00:01:15.000 --> 00:01:28.000]  那麼你聽我今天給這個比利文書的題目有點比較文學性,我們說是在一個良國殘酷的社會里面的愛的故事。
[00:01:28.000 --> 00:01:44.000]  那麼比利文書究竟是寫什麼呢?我們說從這個書信的內容,還有我們對當時候的情況的理解,大概我們也猜到了一個有這樣的背景。
[00:01:44.000 --> 00:01:55.000]  比利文書就是保羅在羅馬做監獨的時候寫的,大概祖後五十八年到六十年吧。
[00:01:55.000 --> 00:02:12.000]  那麼他爲什麼寫這個書呢?這個書很個人性的,他寫給現在的希臘,哥勒斯地區的一個教會的領袖,也是一個有錢人吧,應該有錢的基督徒。
[00:02:12.000 --> 00:02:23.000]  富有的基督這個比利文,那麼爲什麼要把這個書信寫給他呢?就是當時候應該發生了這樣的事情。
[00:02:23.000 --> 00:02:38.000]  這個書信裏面提到有另外一個人叫做阿尼西蒙的,這個阿尼西蒙本來應該就是這個比利文的一個奴隸,當時羅馬社會是一個奴隸的基督的社會。
[00:02:38.000 --> 00:02:48.000]  所以有錢的人家裏面就總是有不少的奴隸來服侍他們,做工作和方面的勞動力。
[00:02:48.000 --> 00:02:52.000]  那麼阿尼西蒙就是其中的一個奴隸。
[00:02:52.000 --> 00:03:07.000]  然後呢,應該就是這樣,終於有一天這個阿尼西蒙就決定要逃亡了,那麼要逃亡了就跑到外面去了,不再當這個奴隸。
[00:03:07.000 --> 00:03:31.000]  那麼不當奴隸是非常嚴重的事情,尤其是逃亡是一個死罪,當時候羅馬社會如果你當奴隸,你跑掉,抓了以後死定了,而且死得非常慘的,很殘酷的,應該大部分都丁時死掉,大家可以想象得到,是很嚴重的罪。
[00:03:31.000 --> 00:03:39.000]  但是阿尼西蒙就決定要走,而且我們相信他走的時候不當是這樣走,反正命都拿出來了。
[00:03:39.000 --> 00:03:47.000]  所以走的時候把家裏面,菲律門的家裏面有極淺的東西偷了一遍。
[00:03:47.000 --> 00:03:58.000]  所以呢,書記裏面保羅說這個人以前對你沒有好處,背後的意思是說他不當走,而且把你的東西也拿走,所以這個非常嚴重的罪。
[00:03:58.000 --> 00:04:03.000]  當他走的時候就逃亡了,逃亡了之後,不知道他在哪裏。
[00:04:03.000 --> 00:04:08.000]  準確地我們相信他跑到了羅馬,意大利的羅馬。
[00:04:08.000 --> 00:04:22.000]  就當他這樣的身份沒工作可以做,就做了非常卑下的工作,就做到了監獨裏面的一個非常地下的工作。
[00:04:22.000 --> 00:04:26.000]  在監獨裏面就有機會碰到做監獨的保羅。
[00:04:26.000 --> 00:04:34.000]  那麼當然保羅呢,我們從這書生裏面就知道了,保羅抓緊這個機會,向這個人來傳福音。
[00:04:34.000 --> 00:04:39.000]  那麼後來這個亞歷西蒙就在保羅的福音當中吸了耶穌。
[00:04:39.000 --> 00:04:49.000]  那吸了耶穌以後呢,我不知道進入了什麼一個原因,反正他心裏面有一個負擔心,覺得好難過,會感染。
[00:04:49.000 --> 00:04:56.000]  當然可能是保羅也鼓勵他,最後他們做了一個非常冒險的決定。
[00:04:56.000 --> 00:05:12.000]  這個冒險的決定呢,就是這個亞歷西蒙決定回到他本來以前那個老闆,就是他的主人,徐立門那裏,對他要表示悔意,而重慶回到他的家。
[00:05:12.000 --> 00:05:21.000]  大家也知道如果這樣一個決定也是足以致命的,你跟一個奴隸就跑掉了,他的罪就是死罪。
[00:05:21.000 --> 00:05:27.000]  然後這個死罪的人,竟然致死討回本來的那個主人的身邊。
[00:05:27.000 --> 00:05:33.000]  如果主人這個時候很簡單,把你叫光了,叫尾光了,他就死定了。
