
[00:00:00.000 --> 00:00:04.320]  如果大家有看司徒行傳就會發覺到有很多的旅程
[00:00:04.320 --> 00:00:06.320]  不知道大家喜不喜歡去旅行
[00:00:06.320 --> 00:00:08.320]  喜不喜歡
[00:00:08.320 --> 00:00:10.320]  當然喜歡啦
[00:00:10.320 --> 00:00:12.880]  去旅行都很興奮的
[00:00:12.880 --> 00:00:15.840]  我們年少的時候
[00:00:15.840 --> 00:00:17.840]  去旅行晚上睡不著覺
[00:00:17.840 --> 00:00:19.520]  將來都去旅行嘛
[00:00:19.520 --> 00:00:21.520]  不知道大家有沒有這樣的經歷
[00:00:21.520 --> 00:00:23.520]  人生就是一個旅程來的
[00:00:23.520 --> 00:00:26.400]  人生就是一個很特別的旅程
[00:00:26.400 --> 00:00:28.400]  我們先低頭祈禱
[00:00:28.400 --> 00:00:33.680]  因主感謝祢給我們這段時間可以來到去
[00:00:33.680 --> 00:00:38.160]  一邊聽道的時候一邊敬拜祢
[00:00:38.160 --> 00:00:40.160]  將榮耀歸給祢
[00:00:40.160 --> 00:00:42.160]  願主對我們講說話
[00:00:42.160 --> 00:00:44.160]  在這段時間安靜我們的心
[00:00:44.160 --> 00:00:47.920]  讓我們有那種快樂
[00:00:47.920 --> 00:00:49.920]  就是與主同行
[00:00:49.920 --> 00:00:51.920]  祢帶我們去到哪裡
[00:00:51.920 --> 00:00:53.920]  都是很興奮的事
[00:00:53.920 --> 00:00:56.560]  與我們同行的時候
[00:00:56.560 --> 00:00:58.560]  我們發覺人生
[00:00:58.560 --> 00:01:00.560]  不是很平凡的過去
[00:01:00.560 --> 00:01:02.560]  是可以經歷我們的主
[00:01:02.560 --> 00:01:04.560]  我們感謝禱告奉耶穌名求
[00:01:04.560 --> 00:01:06.560]  阿們
[00:01:06.560 --> 00:01:08.560]  我記得幾年前
[00:01:08.560 --> 00:01:10.560]  我們結婚30週年
[00:01:10.560 --> 00:01:12.560]  我的女兒
[00:01:12.560 --> 00:01:17.600]  很有心送兩張船票給我和我太太
[00:01:17.600 --> 00:01:19.600]  去遊船河
[00:01:19.600 --> 00:01:21.600]  看看遊船河的照片好不好
[00:01:21.600 --> 00:01:23.600]  差不多吧
[00:01:23.600 --> 00:01:27.600]  去阿拉斯加
[00:01:27.600 --> 00:01:29.600]  遊船河最痛苦的是什麼呢
[00:01:29.600 --> 00:01:31.600]  就是經常要吃東西
[00:01:31.600 --> 00:01:33.600]  吃了就沒有運動
[00:01:33.600 --> 00:01:35.600]  又怕肥
[00:01:35.600 --> 00:01:37.600]  感謝主
[00:01:37.600 --> 00:01:39.600]  這個照片
[00:01:39.600 --> 00:01:41.600]  我們人生裡
[00:01:41.600 --> 00:01:43.600]  有時候旅程很快樂
[00:01:43.600 --> 00:01:45.600]  遊船河
[00:01:45.600 --> 00:01:47.600]  我們回來後聽到消息
[00:01:47.600 --> 00:01:49.600]  遊船河不是很開心
[00:01:49.600 --> 00:01:51.600]  突然船的引擎壞了
[00:01:51.600 --> 00:01:53.600]  沒電沒水
[00:01:53.600 --> 00:01:55.600]  那些船可以坐二千多人
[00:01:55.600 --> 00:01:57.600]  即是遊客
[00:01:57.600 --> 00:01:59.600]  有些坐三千多人
[00:01:59.600 --> 00:02:01.600]  二千多人沒水沒電都很大件事
[00:02:01.600 --> 00:02:03.600]  我們不知道人生的旅程是怎樣
[00:02:03.600 --> 00:02:05.600]  最近也看到一個
[00:02:05.600 --> 00:02:07.600]  消息大家都聽過
[00:02:07.600 --> 00:02:09.600]  一班大陸的遊客
[00:02:09.600 --> 00:02:11.600]  去台灣
[00:02:11.600 --> 00:02:13.600]  有24個人
[00:02:13.600 --> 00:02:15.600]  和導遊和司機
[00:02:15.600 --> 00:02:17.600]  坐巴士
[00:02:17.600 --> 00:02:19.600]  大家看這個巴士
[00:02:19.600 --> 00:02:21.600]  著火
[00:02:21.600 --> 00:02:23.600]  二十多人坐一個大的巴士
[00:02:23.600 --> 00:02:25.600]  本來很開心
[00:02:25.600 --> 00:02:27.600]  誰知他們回家的途中
[00:02:27.600 --> 00:02:29.600]  上飛機之前
[00:02:29.600 --> 00:02:31.600]  巴士撞了
[00:02:31.600 --> 00:02:33.600]  著火 全部死了
[00:02:33.600 --> 00:02:35.600]  我們聽到都很傷心
[00:02:35.600 --> 00:02:37.600]  現在還在查
[00:02:37.600 --> 00:02:39.600]  什麼原因會這樣做
[00:02:39.600 --> 00:02:41.600]  為什麼走不出來
[00:02:41.600 --> 00:02:43.600]  人生就是這樣
[00:02:43.600 --> 00:02:45.600]  我們不知道下一步是怎樣
[00:02:45.600 --> 00:02:47.600]  我們人生就像一個旅程
[00:02:47.600 --> 00:02:49.600]  所以
[00:02:49.600 --> 00:02:51.600]  我們人生就像
[00:02:51.600 --> 00:02:53.600]  坐船
