
[00:00:00.000 --> 00:00:08.000]  這裏是一幅分隔著以色列人和巴勒斯坦人的一幅高牆
[00:00:08.000 --> 00:00:11.000]  由2002年開始
[00:00:11.000 --> 00:00:14.000]  以色列就以國防理由
[00:00:14.000 --> 00:00:20.000]  沿著巴勒斯坦人聚居的西岸地區邊境和加薩地帶
[00:00:20.000 --> 00:00:23.000]  建築了這裏的圍牆
[00:00:23.000 --> 00:00:28.000]  不准巴勒斯坦人隨意進入以色列人聚居的地方
[00:00:28.000 --> 00:00:32.000]  這幅牆分為東西兩邊
[00:00:32.000 --> 00:00:36.000]  東邊是和約旦邊境接壤的地方
[00:00:36.000 --> 00:00:40.000]  主要是用鐵絲網來建成
[00:00:40.000 --> 00:00:48.000]  西邊是由8米高的石屎來建築而成
[00:00:48.000 --> 00:00:51.000]  8米高還高過柏林圍牆
[00:00:51.000 --> 00:00:55.000]  全長有685公里
[00:00:55.000 --> 00:01:00.000]  也就是地鐵港島線由柴灣到堅尼地城
[00:01:00.000 --> 00:01:04.000]  全長的43倍
[00:01:04.000 --> 00:01:12.000]  巴勒斯坦人被這幅高牆圍住
[00:01:12.000 --> 00:01:16.000]  如果他們想去以色列打工賺多點錢的話
[00:01:16.000 --> 00:01:19.000]  他們就要申請通行證
[00:01:19.000 --> 00:01:25.000]  要經過安檢出入邊境的關卡
[00:01:25.000 --> 00:01:30.000]  如果他們要出境的話
[00:01:30.000 --> 00:01:35.000]  快則要一個多小時就可以過關
[00:01:35.000 --> 00:01:38.000]  慢則要三四個小時
[00:01:38.000 --> 00:01:43.000]  也有巴勒斯坦人居住的地方和自己擁有的農地
[00:01:43.000 --> 00:01:46.000]  被這幅高牆分隔了
[00:01:46.000 --> 00:01:49.000]  原本只是走十分鐘的路程
[00:01:49.000 --> 00:01:51.000]  要繞一個大圈
[00:01:51.000 --> 00:01:57.000]  還要經過安檢和出入境的關卡
[00:01:57.000 --> 00:01:58.000]  說到巴黎衡
[00:01:58.000 --> 00:02:03.000]  大家可能會想起這幅浪漫的圖畫
[00:02:03.000 --> 00:02:07.000]  不過巴黎衡已經金飛色彼
