
[00:00:00.000 --> 00:00:04.500]  回教會沒多久就開始在教會裡面侍奉
[00:00:04.500 --> 00:00:06.400]  其中一個很特別的侍奉是什麼呢?
[00:00:06.400 --> 00:00:07.600]  那時候比較大一點
[00:00:07.600 --> 00:00:10.500]  應該是讀中學,還沒入大學的
[00:00:10.500 --> 00:00:16.600]  我們教會在香港赤柱一個婚堂,是一個福音堂
[00:00:16.600 --> 00:00:19.400]  好像我們現在在這裡成年人做婚堂一樣
[00:00:19.400 --> 00:00:21.200]  我們暑假的時候
[00:00:21.200 --> 00:00:26.200]  我們一班年輕人就會去赤柱這個婚堂裡面
[00:00:26.200 --> 00:00:31.200]  去幫忙做隔離成年學校,一個星期就住在那裡
[00:00:31.200 --> 00:00:32.700]  很開心的,為什麼呢?
[00:00:32.700 --> 00:00:35.100]  年輕人有伴一起工作,當然很開心
[00:00:35.100 --> 00:00:36.800]  但是最重要的是什麼呢?
[00:00:36.800 --> 00:00:39.000]  工作完之後,下午就沒事做了
[00:00:39.000 --> 00:00:40.400]  隔離成年是早上的
[00:00:40.400 --> 00:00:43.600]  工作完之後,大家有些檢討時間之後
[00:00:43.600 --> 00:00:46.600]  大家在這裡就很輕鬆地玩
[00:00:46.600 --> 00:00:49.000]  其中一樣我們最喜歡的是什麼呢?
[00:00:49.000 --> 00:00:51.000]  赤柱的後海灘
[00:00:51.000 --> 00:00:52.600]  不知道有多少人在香港來的
[00:00:52.600 --> 00:00:54.800]  有沒有去過赤柱?
[00:00:54.800 --> 00:00:58.600]  以前是漁村,已經幾十年前了
[00:00:58.600 --> 00:01:03.900]  後海灘可以讓你租一艘艇去爬小艇
[00:01:03.900 --> 00:01:06.000]  這是我們其中一個很享受的
[00:01:06.000 --> 00:01:09.000]  通常小艇只有兩個人或者三個人
[00:01:09.000 --> 00:01:11.200]  不知道師母有沒有跟著我去同一艘艇
[00:01:11.200 --> 00:01:12.400]  我不記得了
[00:01:12.400 --> 00:01:15.700]  總之,有一次我們晚上也是
[00:01:15.700 --> 00:01:18.800]  早上教育書檢討完,晚上就去爬小艇
[00:01:18.800 --> 00:01:21.700]  黃昏的時間,不是晚上是黃昏的
[00:01:21.700 --> 00:01:23.300]  快樂不知時日過
[00:01:23.300 --> 00:01:28.300]  特別有女生在艇上,你們說有多少人有說嗎?
[00:01:28.300 --> 00:01:29.600]  快樂不知時日過
[00:01:29.600 --> 00:01:31.100]  咦,入黑了
[00:01:31.100 --> 00:01:35.600]  糟糕,入黑的時候,開始看不到東西了
[00:01:35.600 --> 00:01:39.000]  那案子在哪裡呢?
[00:01:39.000 --> 00:01:40.600]  看著水平線的時候
[00:01:40.600 --> 00:01:45.000]  你看到那些燈光還是月色的反光呢?
[00:01:45.000 --> 00:01:47.200]  你不知道
[00:01:47.200 --> 00:01:48.500]  開始害怕了
[00:01:48.500 --> 00:01:51.100]  咦,會不會漂流出大海呢?
[00:01:51.100 --> 00:01:53.000]  那時候怎麼辦呢?
[00:01:53.000 --> 00:01:55.300]  因為你望是好像閃閃亮亮
[00:01:55.300 --> 00:01:57.600]  在那裡望遠的時候
[00:01:57.600 --> 00:02:02.600]  但你不知道是那些漁村的燈火
[00:02:02.600 --> 00:02:05.000]  還是月光那種反照
[00:02:05.000 --> 00:02:06.200]  所以越想越害怕
[00:02:06.200 --> 00:02:09.800]  害怕了就拼命希望爬回岸
[00:02:09.800 --> 00:02:11.900]  因為其實岸在哪裡都不知道
[00:02:11.900 --> 00:02:13.700]  停泊的地方都不知道
[00:02:13.700 --> 00:02:17.600]  總之,向著那裡似是燈火那些
[00:02:17.600 --> 00:02:18.900]  那就爬回去
[00:02:18.900 --> 00:02:20.400]  那就感謝主了
[00:02:20.400 --> 00:02:24.200]  越近的時候,你發現這些是岸上的燈光
[00:02:24.200 --> 00:02:25.500]  越近的時候
[00:02:25.500 --> 00:02:29.200]  我們大概就知道那個方位在哪裡
[00:02:29.200 --> 00:02:33.300]  結果就平安拍到岸
[00:02:33.300 --> 00:02:36.300]  但是一額汗都很害怕
[00:02:36.300 --> 00:02:39.500]  真的就應該怎麼說
[00:02:39.500 --> 00:02:40.500]  虛驚了一場
[00:02:40.500 --> 00:02:44.000]  但是結果是個個都平安的
[00:02:44.000 --> 00:02:46.200]  那為什麼講故事給大家聽呢?
[00:02:46.200 --> 00:02:48.000]  不知道大家有沒有留意到
[00:02:48.000 --> 00:02:51.500]  有時候我們都是信耶穌,在座大部分
[00:02:51.500 --> 00:02:53.500]  我估計大部分都是信耶穌的
[00:02:53.500 --> 00:02:55.100]  我們信耶穌當然是主
[00:02:55.100 --> 00:02:57.200]  但是我們口裡認耶穌是主
[00:02:57.200 --> 00:03:00.100]  心裡信神,結他,從死裡復活就必得救
[00:03:00.100 --> 00:03:02.500]  感謝主,我又承認我相信我得救了
[00:03:02.500 --> 00:03:04.300]  我受了陣了
[00:03:04.300 --> 00:03:05.800]  我已經是救了他成員了
[00:03:05.800 --> 00:03:08.200]  我又一九年沒幫助了
[00:03:08.200 --> 00:03:09.600]  但是很多時候
[00:03:09.600 --> 00:03:11.600]  雖然我們走到這一步
[00:03:11.600 --> 00:03:12.700]  不知道為什麼
[00:03:12.700 --> 00:03:17.900]  我們對上帝渴望那種心
[00:03:17.900 --> 00:03:19.000]  還是差一點
[00:03:19.000 --> 00:03:19.900]  我不知道大家
[00:03:19.900 --> 00:03:22.400]  剛才我們說一會兒我們有 Bible study
[00:03:22.400 --> 00:03:23.900]  現在只有十個人報名而已
[00:03:23.900 --> 00:03:26.400]  也多過十個
[00:03:26.400 --> 00:03:28.600]  我們現在也有一百多人在這裡
[00:03:28.600 --> 00:03:31.000]  是不是其他人我們不需要知道多一點聖經呢?
[00:03:31.000 --> 00:03:31.500]  不是的
