
[00:00:00.000 --> 00:00:03.040]  歡迎大家來到今天的周六崇拜
[00:00:03.040 --> 00:00:08.000]  今天我們會繼續一起去研讀《馬可福音》
[00:00:08.000 --> 00:00:13.120]  我們說到系列的總題叫做「非凡的見證」
[00:00:13.120 --> 00:00:17.040]  不是因為馬可是一個非凡的作者
[00:00:17.040 --> 00:00:21.440]  而是因為主耶穌基督是一個非凡的救主
[00:00:21.440 --> 00:00:27.120]  今天我們的經文是《馬可福音》第四章第十節至二十五節
[00:00:27.120 --> 00:00:33.120]  我們說到的題目是「照亮黑暗的明燈」
[00:00:33.120 --> 00:00:34.800]  如果你上個星期有在這裡
[00:00:34.800 --> 00:00:38.800]  你應該會記得上個星期我們剛剛開始研讀
[00:00:38.800 --> 00:00:42.880]  耶穌基督說的天國比喻
[00:00:42.880 --> 00:00:48.240]  其實在《馬可福音》第四章一至三十四節裏面
[00:00:48.240 --> 00:00:52.160]  所有都是在說天國的比喻
[00:00:52.160 --> 00:00:59.360]  我們總共需要三堂講道才可以講完第一節至三十四節
[00:00:59.360 --> 00:01:02.480]  所以上個星期我們所講的是上集
[00:01:02.480 --> 00:01:05.440]  這個星期我們講的是中集
[00:01:05.440 --> 00:01:07.600]  而九月第一個星期回來
[00:01:07.600 --> 00:01:10.560]  我會帶大家一起看完下集
[00:01:10.560 --> 00:01:15.520]  上個星期的題目是「聽呀,並要再聽」
[00:01:15.520 --> 00:01:20.720]  這個星期的題目是「照亮黑暗的明燈」
[00:01:20.720 --> 00:01:26.160]  九月第一個星期的題目是「從天而降的種子」
[00:01:26.160 --> 00:01:30.640]  所以一切都是從《馬可福音》第四章第一節開始
[00:01:30.640 --> 00:01:32.560]  《馬可福音》第四章第一節這樣說
[00:01:32.560 --> 00:01:35.520]  耶穌又在海邊教導人
[00:01:35.520 --> 00:01:38.800]  有一大群人在他那裡聚集
[00:01:38.800 --> 00:01:41.200]  他只好上船坐下
[00:01:41.200 --> 00:01:42.960]  船在海裡
[00:01:42.960 --> 00:01:45.280]  眾人都靠近海
[00:01:45.280 --> 00:01:47.040]  站在岸上
[00:01:47.040 --> 00:01:52.400]  耶穌就用許多比喻教導他們
[00:01:52.400 --> 00:01:54.880]  當我們踏進《馬可福音》第四章的時候
[00:01:54.880 --> 00:02:00.000]  我們感覺到耶穌基督在地上的事供再次的升級
