
[00:00:00.000 --> 00:00:15.140]  大家好,感謝神讓我們仍然有動力去崇拜,這是神的恩典,我們低頭,低頭有個禱告
[00:00:15.140 --> 00:00:22.640]  天父我們感謝你,因為你的恩情和你救贖的愛引領我們來到當中
[00:00:22.640 --> 00:00:30.240]  因為你要用你的話語去改變,你要改變這個世界,你創造這個世界,你更加要改變人的心靈
[00:00:30.240 --> 00:00:36.040]  今天我們願意在這段時刻裏面,讓你的聖靈在每一個人的心裏面去工作
[00:00:36.040 --> 00:00:43.440]  讓你的話語成就在我們的心裏面,以致我們能夠成為一個被你閲立的人
[00:00:43.440 --> 00:00:46.840]  多謝你,將你的時間交給你,你親自帶領我們
[00:00:46.840 --> 00:00:53.440]  禱告交託是奉靠你,主耶穌基督,得聖名靠,Amen
[00:00:53.440 --> 00:00:58.640]  Channel 1月1日就會獨立成為一間教會
[00:00:58.640 --> 00:01:06.040]  你都知道這個過程裏面,包括我們在我們的講道裏面都在預備這個訊息
[00:01:06.040 --> 00:01:08.640]  因為要預備我們的心進入去
[00:01:08.640 --> 00:01:22.040]  我們就說用哪本書,使徒行傳,因為使徒行傳是神親自顯露他自己怎樣去建立第一間教會,或者第一所的教會
[00:01:22.040 --> 00:01:32.440]  我們在當中去學習,上帝怎樣去帶領我們進入這個里程碑裏面
[00:01:32.440 --> 00:01:39.840]  六堂,不知道你們這個禮拜有沒有一個總結班,剛才我和一些弟兄姊妹說他們在用不同的材料
[00:01:39.840 --> 00:01:48.240]  應該是頭六個,我們說有三個大環節,第一個環節就完了,現在第二個大環節叫做突破界限
[00:01:48.240 --> 00:01:51.640]  這個心靈工程總共有十八堂
[00:01:51.640 --> 00:02:00.240]  現在在第二個大環節裏面,我們進入第一個題目,叫做拆尼巴
[00:02:00.240 --> 00:02:07.240]  尼巴來自一個字,有兩個意思,一個叫尼巴是甚麼?
[00:02:07.240 --> 00:02:16.040]  是人與人之間隔的牆的尼巴,另外一個諧音叫做neighbor,是你的鄰舍
[00:02:16.040 --> 00:02:28.040]  我們嘗試從今天的經文,在使徒行傳的八章的四至四十節裏面
[00:02:28.040 --> 00:02:34.240]  如何揣摩上帝,如何引領我們進入心靈工程裏面
[00:02:34.240 --> 00:02:38.440]  心靈工程主要的內容是建立我們的內心
[00:02:38.440 --> 00:02:46.840]  上一次我們說我們有些挑戰,今次我們開始知道有甚麼挑戰,我們要調整我們的心理裏面
[00:02:46.840 --> 00:02:58.440]  第一課就是這個叫做拆尼巴,這幅圖我第一次看的時候,我以為它在中東
[00:02:58.440 --> 00:03:03.440]  因為你見到有些軍隊指著一個人,再耐心去看的時候
[00:03:03.440 --> 00:03:06.240]  你知不知道這件事有一件大事發生了這兩個星期
[00:03:06.240 --> 00:03:14.040]  在Times雜誌說兩次在美國裏面,在Ferguson這個地方發生了一個騷亂
[00:03:14.040 --> 00:03:22.640]  這個騷亂發生之後,這些其實是警察,但警察的裝備就好像軍人一樣
[00:03:22.640 --> 00:03:28.640]  這件事是怎樣發生的呢?Ferguson是在甚麼地方呢?我以前都不認識他
[00:03:28.640 --> 00:03:34.640]  其實是在美國的中部,Missouri州裏面有個County叫St. Louis
[00:03:34.640 --> 00:03:41.840]  裏面有個鎮叫Ferguson,發生了這件事就是當中有一個黑人的青年
[00:03:41.840 --> 00:03:49.640]  是被警察開了六槍射死,而這個Michael Brown這個年青人是黑人
[00:03:49.640 --> 00:03:59.440]  他是手無寸鐵,當時目擊的人說他是舉著手,但是被人射殺
[00:03:59.440 --> 00:04:05.440]  在美國來說是很大件事的,你說在中東,在一些戰亂的地方
[00:04:05.440 --> 00:04:09.440]  這些事發生就好像很小事,但在美國是很大件事
[00:04:09.440 --> 00:04:14.440]  大件事是甚麼呢?不單止是因為這班人被人射殺
[00:04:14.440 --> 00:04:23.440]  更加是因為引起一段種族歧視的鬥爭再一次出現
[00:04:23.440 --> 00:04:32.440]  當中有兩方面的說法,警察就說當時因為很多人騷亂
[00:04:32.440 --> 00:04:38.440]  所以警察就在自衛之下要射六槍,這個是警察的說法
[00:04:38.440 --> 00:04:45.440]  但是在黑人方面的說法就是這個人是手無寸鐵,你不需要開六槍
[00:04:45.440 --> 00:04:49.440]  現在暫時還不知道結果是怎樣,因為FBI已經介入
[00:04:49.440 --> 00:04:56.440]  FBI介入之後就不想將這個警察的名字暴露,因為他現在是停職的
[00:04:56.440 --> 00:05:00.440]  保存著他那個,怕著有生命危險
[00:05:00.440 --> 00:05:07.440]  Ferguson是在甚麼地方呢?Ferguson是一個有二萬人住的地方
[00:05:07.440 --> 00:05:17.440]  三分之二的人口是黑人,但是城市裏面的白人佔了高層,全部都是白人
[00:05:17.440 --> 00:05:27.440]  而他們的生活包括警察部,很多政府部門都是以白人為主
[00:05:27.440 --> 00:05:40.440]  當時的情況就是這個城市裏面,黑人和白人之間的種族關係不是很好
[00:05:40.440 --> 00:05:47.440]  當地人說黑人常常被警察捉住,在街上截停車輛等等的事情發生
[00:05:47.440 --> 00:05:52.440]  這件事之後更加一連串發生了很多的騷亂
[00:05:52.440 --> 00:05:59.440]  抗拒政府,現在奧巴馬政府都需要在這件事裏面不敢發聲
[00:05:59.440 --> 00:06:08.440]  因為他實在太敏感了,關於黑白人之間的種族仇恨
[00:06:08.440 --> 00:06:22.440]  其實聖路易斯這個地方原來是在南北戰爭開始,已經開始有種族仇恨的歷史發生
[00:06:22.440 --> 00:06:31.440]  所以今天到這裏,人們就問一個問題,為甚麼仍然到今天,人與人之間的仇恨仍然繼續發生呢?
[00:06:31.440 --> 00:06:44.440]  今日的社會,人與人之間仍然有很多關係上的破裂
[00:06:44.440 --> 00:06:48.440]  因為我們不溝通,因為我們之間的關係不好
[00:06:48.440 --> 00:06:55.440]  形成了很多人不再信任,人與人之間的牆一幅幅的建立
[00:06:55.440 --> 00:07:07.440]  有些是種族的,有些是階級的,有些是文化的,有些是外貌的,會被人歧視
[00:07:07.440 --> 00:07:17.440]  拆尼巴或尼巴人與人之間的牆,不單止在未信的人身上發生
[00:07:17.440 --> 00:07:21.440]  就算今天我們在信徒裏面仍然有這些牆
[00:07:21.440 --> 00:07:28.440]  今日在討論裏面,在這堂訊息裏面
[00:07:28.440 --> 00:07:33.440]  我嘗試和大家探討一下,從經文裏面看看有甚麼牆
[00:07:33.440 --> 00:07:41.440]  以及神如何透過他的話語教我們如何將這些牆一幅一幅拆開
