
[00:00:00.000 --> 00:00:02.500]  我們聽道之詩我們也一起祈禱
[00:00:02.500 --> 00:00:09.000]  宗上帝多謝祢給我們剛才有一段可以唱詩歌去親近祢
[00:00:09.000 --> 00:00:11.000]  去尋求祢
[00:00:11.000 --> 00:00:13.000]  也將我們的心意獻上
[00:00:13.000 --> 00:00:18.500]  我們真的百不得我們每一天也將我們整個人獻給祢
[00:00:18.500 --> 00:00:20.000]  但是我們有時也會軟弱
[00:00:20.000 --> 00:00:22.000]  因為這個世界給我們很多資訊
[00:00:22.000 --> 00:00:23.000]  給我們很多期望
[00:00:23.000 --> 00:00:24.500]  給我們很多要求
[00:00:24.500 --> 00:00:30.000]  大神啊 我有心知道祢正在幫助我們 祢不斷似下祢的話
[00:00:30.000 --> 00:00:33.500]  要成為我們今天面對人生種種的事情
[00:00:33.500 --> 00:00:37.000]  無論是價值觀或者是我們實際所遭遇的事情
[00:00:37.000 --> 00:00:38.500]  祢給我們指引
[00:00:38.500 --> 00:00:40.500]  願祢帶領我們
[00:00:40.500 --> 00:00:43.500]  好叫我們靠祢得力量得智慧
[00:00:43.500 --> 00:00:46.000]  也將教會我們的牧者
[00:00:46.000 --> 00:00:48.000]  我們的頂尖妹交託給祢
[00:00:48.000 --> 00:00:51.500]  求祢給我們在患難的時候能夠互相扶持
[00:00:51.500 --> 00:00:55.500]  在喜樂的時候我們一起來感謝祢
[00:00:55.500 --> 00:00:58.500]  我們真的需要上帝給我們這份屬天的智慧
[00:00:58.500 --> 00:01:02.000]  可以和頂尖妹一起來陪伴成長
[00:01:02.000 --> 00:01:03.500]  願上帝祢施恩康護
[00:01:03.500 --> 00:01:05.500]  多謝主 求祢繼續帶領我們以下的時間
[00:01:05.500 --> 00:01:09.500]  叫我們能夠在過程裡面繼續與祢相近
[00:01:09.500 --> 00:01:11.500]  奉耶穌基督的聖名禱告 阿門
[00:01:21.500 --> 00:01:24.500]  很想與頂尖妹一起思想
[00:01:24.500 --> 00:01:27.500]  傳統我們一直都說八福
[00:01:27.500 --> 00:01:29.500]  很自然就會想
[00:01:29.500 --> 00:01:32.500]  就是虛心的人有福
[00:01:32.500 --> 00:01:34.500]  就是哀動的福
[00:01:34.500 --> 00:01:37.500]  溫柔 饑渴無意 憐恕人的
[00:01:37.500 --> 00:01:40.500]  清心的人 洗人和睦的人
[00:01:40.500 --> 00:01:42.500]  還有畏首逼北的人
[00:01:42.500 --> 00:01:43.500]  這八福
[00:01:43.500 --> 00:01:48.500]  這種計算的方式是指八種蒙福的人
[00:01:48.500 --> 00:01:50.500]  這八類人
[00:01:50.500 --> 00:01:53.500]  有另一個計算的方式
[00:01:53.500 --> 00:01:55.500]  就是說七福
[00:01:55.500 --> 00:01:56.500]  為什麼呢
[00:01:56.500 --> 00:01:58.500]  不是說八種蒙福的人
[00:01:58.500 --> 00:02:02.500]  是說這八種人所得到的福氣
[00:02:02.500 --> 00:02:04.500]  你看看他們所得到的福氣
[00:02:04.500 --> 00:02:06.500]  是哪七種的福氣
[00:02:06.500 --> 00:02:07.500]  有沒有流打出來
[00:02:07.500 --> 00:02:09.500]  按一按
[00:02:09.500 --> 00:02:11.500]  你看到天國是他們的
[00:02:11.500 --> 00:02:13.500]  他們必得安慰
[00:02:13.500 --> 00:02:14.500]  他們必承受地土
[00:02:14.500 --> 00:02:16.500]  他們必得飽足
[00:02:16.500 --> 00:02:17.500]  他們必蒙廉恤
[00:02:17.500 --> 00:02:18.500]  他們必得見神
[00:02:18.500 --> 00:02:20.500]  他們必稱為神的兒子
[00:02:20.500 --> 00:02:22.500]  最後那一個
[00:02:22.500 --> 00:02:23.500]  原來是重複的
[00:02:23.500 --> 00:02:24.500]  天國是他們的
[00:02:24.500 --> 00:02:28.500]  第一和第八是重複的
[00:02:28.500 --> 00:02:31.500]  所以有人說其實是七福
[00:02:31.500 --> 00:02:34.500]  特別是說他們所蒙的福
[00:02:34.500 --> 00:02:37.500]  不是說那些蒙福的人
[00:02:37.500 --> 00:02:39.500]  但他一向都說八福
[00:02:39.500 --> 00:02:41.500]  是不是不可能呢
[00:02:41.500 --> 00:02:43.500]  這七福是有根據的
[00:02:43.500 --> 00:02:47.500]  因為《馬太科脈》23章有說七禍
[00:02:47.500 --> 00:02:50.500]  七福和七禍都很相對
[00:02:50.500 --> 00:02:52.500]  還有路加福音
[00:02:52.500 --> 00:02:53.500]  如果你有機會看
[00:02:53.500 --> 00:02:54.500]  路加福音和《馬太福音》
