
[00:00:00.000 --> 00:00:01.480]  「家傳之寶」
[00:00:01.480 --> 00:00:04.160]  這個題目大家會想起什麼呢?
[00:00:04.160 --> 00:00:06.400]  大家的家
[00:00:06.400 --> 00:00:08.880]  你的「家傳之寶」是什麼呢?
[00:00:08.880 --> 00:00:12.960]  是不是可能在某個床下
[00:00:12.960 --> 00:00:15.460]  有一個月餅罐
[00:00:15.460 --> 00:00:17.000]  或者一個木箱
[00:00:17.000 --> 00:00:18.460]  裡面一撇開
[00:00:18.460 --> 00:00:21.660]  是一個名貴的鐘錶
[00:00:21.660 --> 00:00:23.560]  就是「家傳之寶」
[00:00:23.560 --> 00:00:26.260]  在你家裡面「家傳之寶」是什麼呢?
[00:00:26.260 --> 00:00:28.280]  我在網上搜尋的時候
[00:00:28.280 --> 00:00:30.620]  又有一個留言說
[00:00:30.620 --> 00:00:35.740]  我在我爸爸的床下裡找到一堆醫學書本
[00:00:35.740 --> 00:00:38.640]  這些知識真的是「家傳之寶」
[00:00:38.640 --> 00:00:42.320]  我們今天留什麼給我們的下一代呢?
[00:00:42.320 --> 00:00:46.960]  猶太人的「家傳之寶」是什麼呢?
[00:00:46.960 --> 00:00:50.000]  為什麼我無緣無故會去到猶太人那裡呢?
[00:00:50.000 --> 00:00:52.340]  原來我最近看一些研究
[00:00:52.340 --> 00:00:55.780]  原來在世界的富豪榜
[00:00:55.780 --> 00:00:58.080]  福布斯富豪榜裡面
[00:00:58.080 --> 00:01:00.480]  頭50名的富豪
[00:01:00.480 --> 00:01:04.480]  長期都有很多猶太人榜上有名
[00:01:04.480 --> 00:01:07.040]  佔了32%
[00:01:07.040 --> 00:01:13.580]  就是說有16人都是猶太族裔的有錢人
[00:01:13.580 --> 00:01:17.680]  我們教會或者基督教不是追求有錢而已
[00:01:17.680 --> 00:01:19.680]  我們追求智慧嘛
[00:01:19.680 --> 00:01:21.680]  原來諾貝爾獎
[00:01:21.680 --> 00:01:26.080]  一個全世界最著名的頒獎
[00:01:26.080 --> 00:01:29.920]  給一些有學術無論是在科學、化學、經濟
[00:01:29.920 --> 00:01:33.440]  甚至在和平當中對世界有貢獻的人
