
[00:00:00.000 --> 00:00:02.440]  而當我自己預備這篇講章的時候
[00:00:02.440 --> 00:00:04.360]  特別感受到這首詩歌
[00:00:04.360 --> 00:00:07.200]  對我自己很大的提醒
[00:00:07.200 --> 00:00:10.120]  這首詩歌說求主充滿我們的心
[00:00:10.120 --> 00:00:12.240]  求主也觸摸我們的靈
[00:00:12.240 --> 00:00:15.800]  求主也去甦醒我們的心
[00:00:15.800 --> 00:00:17.560]  有時我們人生當中
[00:00:17.560 --> 00:00:19.920]  我們會說我們的信仰
[00:00:19.920 --> 00:00:24.560]  究竟在我們的生命裡有多真實
[00:00:24.560 --> 00:00:27.320]  信仰很多時候可以是很智慧
[00:00:27.320 --> 00:00:28.600]  很多的知識
[00:00:28.600 --> 00:00:29.920]  但究竟這個信仰
[00:00:29.920 --> 00:00:31.040]  我們的認知
[00:00:31.040 --> 00:00:33.160]  有多少在我們的生命當中
[00:00:33.160 --> 00:00:34.280]  能夠確信
[00:00:34.280 --> 00:00:35.840]  原來我們所信的神
[00:00:35.840 --> 00:00:38.880]  是一個真正有能力的神
[00:00:38.880 --> 00:00:40.320]  甚至有時我們都說
[00:00:40.320 --> 00:00:43.120]  我們今天所能夠做到的事
[00:00:43.120 --> 00:00:44.360]  聖經那邊教導我們
[00:00:44.360 --> 00:00:46.520]  是非勢力、非才能
[00:00:46.520 --> 00:00:50.440]  乃是依靠神的靈方能成事
[00:00:50.440 --> 00:00:51.240]  有時我們會想
[00:00:51.240 --> 00:00:53.440]  究竟我們是甚麼人
[00:00:53.440 --> 00:00:54.600]  究竟我們是誰
[00:00:54.600 --> 00:00:57.800]  但上帝竟然這麼顧念我們
[00:00:57.800 --> 00:00:59.800]  以至到今天我們在人生路上
[00:00:59.800 --> 00:01:00.960]  我明白的
[00:01:00.960 --> 00:01:03.160]  我們每一天都面對很多衝擊
[00:01:03.160 --> 00:01:06.520]  無論我們有沒有上班
[00:01:06.520 --> 00:01:08.000]  在任何環境裡
[00:01:08.000 --> 00:01:09.960]  我們都會面對很多衝擊
[00:01:09.960 --> 00:01:10.960]  但另一方面
[00:01:10.960 --> 00:01:13.080]  當我們要勝過這個衝擊
[00:01:13.080 --> 00:01:14.640]  要好像約伯一樣
[00:01:14.640 --> 00:01:17.240]  我覺得絕對不單單是約伯
[00:01:17.240 --> 00:01:19.160]  他是一個很特別的人
[00:01:19.160 --> 00:01:20.720]  當我們看約伯記的時候
[00:01:20.720 --> 00:01:23.080]  我發覺約伯也是一個普通人
[00:01:23.080 --> 00:01:25.120]  他和你和我是沒有分別
[00:01:25.120 --> 00:01:28.080]  不過他能夠在過程當中
[00:01:28.080 --> 00:01:30.960]  他有些地方值得我們去學習的原因
[00:01:30.960 --> 00:01:33.320]  就是因為我深信約伯
[00:01:33.320 --> 00:01:36.440]  他每一天讓上帝的靈去充滿他
[00:01:36.440 --> 00:01:39.680]  讓他能夠真的不是靠他自己來勝過
[00:01:39.680 --> 00:01:41.640]  約伯在人的眼中
[00:01:41.640 --> 00:01:42.240]  聖經告訴我們
[00:01:42.240 --> 00:01:44.120]  他是一個完全正直
[00:01:44.120 --> 00:01:45.480]  敬畏神
[00:01:45.480 --> 00:01:47.680]  也是遠離惡事
[00:01:47.680 --> 00:01:50.600]  同樣不單單是人眼中的約伯是這樣
[00:01:50.600 --> 00:01:52.400]  而神的眼中
[00:01:52.400 --> 00:01:55.760]  神親自同樣說了一句說話
[00:01:55.760 --> 00:01:58.640]  他說地上再沒有人能夠像他
[00:01:58.640 --> 00:02:00.400]  是完全的正直
[00:02:00.400 --> 00:02:01.400]  敬畏神
[00:02:01.400 --> 00:02:02.760]  遠離惡事
[00:02:02.760 --> 00:02:04.120]  同樣在神的眼中
[00:02:04.120 --> 00:02:07.560]  他不單單是說出人眼中的約伯
[00:02:07.560 --> 00:02:08.920]  甚至神自己說
[00:02:08.920 --> 00:02:11.520]  他說約伯是我的僕人
[00:02:11.520 --> 00:02:12.600]  以致我們看到
[00:02:12.600 --> 00:02:16.480]  約伯是一個完全信服上帝的一位人物
[00:02:16.480 --> 00:02:17.200]  當然
[00:02:17.200 --> 00:02:19.840]  上星期我們說了這段聖經
[00:02:19.840 --> 00:02:21.240]  我們今天不會重複
[00:02:21.240 --> 00:02:22.120]  但另一方面
[00:02:22.120 --> 00:02:24.520]  當我們看回約伯記第一章的時候
[00:02:24.520 --> 00:02:26.160]  我們發覺如果
[00:02:26.160 --> 00:02:28.960]  將約伯記變成一齣電影的時候
[00:02:28.960 --> 00:02:30.960]  我們發覺有不同的佈景
[00:02:30.960 --> 00:02:32.480]  一開始的時候在地上
[00:02:32.480 --> 00:02:33.520]  接著是天上
[00:02:33.520 --> 00:02:35.360]  然後去到今天我們所說的時候
[00:02:35.360 --> 00:02:36.480]  又從天上
[00:02:36.480 --> 00:02:38.040]  回到地上
[00:02:38.040 --> 00:02:40.280]  當然我們會認為主角
[00:02:40.280 --> 00:02:42.120]  肯定是約伯
[00:02:42.120 --> 00:02:44.240]  當然約伯記的主角當然是約伯
[00:02:44.240 --> 00:02:44.920]  但另一方面
[00:02:44.920 --> 00:02:47.080]  我們發覺約伯這個主角
[00:02:47.080 --> 00:02:52.200]  並不知道他自己在人生當中的劇情
[00:02:52.200 --> 00:02:53.760]  究竟會發生什麼事
[00:02:53.760 --> 00:02:55.360]  當他在地上的時候
[00:02:55.360 --> 00:02:59.000]  他仍然不知道天上有撒旦和神在聊天
[00:02:59.000 --> 00:03:00.880]  是關於他的情況
[00:03:00.880 --> 00:03:02.000]  他完全不知道
[00:03:02.000 --> 00:03:03.240]  有時候我們會看著聖經
[00:03:03.240 --> 00:03:04.120]  看著約伯記
[00:03:04.120 --> 00:03:04.760]  我們會覺得
[00:03:04.760 --> 00:03:05.560]  哇 約伯
[00:03:05.560 --> 00:03:06.520]  我真的想跟你說
[00:03:06.520 --> 00:03:07.360]  你真是傻的
[00:03:07.360 --> 00:03:10.720]  你知不知道天上撒旦現在在和神聊天
[00:03:10.720 --> 00:03:12.320]  今天我們拿著聖經
[00:03:12.320 --> 00:03:13.360]  我們會知道
[00:03:13.360 --> 00:03:14.200]  但另一方面
[00:03:14.200 --> 00:03:16.080]  我發覺約伯記的人生裡面
[00:03:16.080 --> 00:03:18.960]  正正是今天你和我的寫照
[00:03:18.960 --> 00:03:20.800]  今天你和我都無法知道
[00:03:20.800 --> 00:03:22.400]  究竟我們在天上
[00:03:22.400 --> 00:03:24.400]  究竟撒旦有沒有和神聊天
[00:03:24.400 --> 00:03:25.720]  關於何志狄
