
[00:00:00.000 --> 00:00:02.000]  日本三章十六字
[00:00:02.000 --> 00:00:07.000]  神愛世人 甚至將他的獨生子賜給他們
[00:00:07.000 --> 00:00:12.000]  叫一切順他的 不至滅亡 反得永生
[00:00:12.000 --> 00:00:16.000]  林子祥阿叻在《最愛》這套電影裡
[00:00:16.000 --> 00:00:18.000]  唱了一首非常好聽的主題曲
[00:00:18.000 --> 00:00:20.000]  叫《最愛是誰》
[00:00:20.000 --> 00:00:22.000]  有多少人聽過?
[00:00:22.000 --> 00:00:24.000]  大多數都聽過
[00:00:24.000 --> 00:00:26.000]  他的歌詞是這樣說的
[00:00:26.000 --> 00:00:29.000]  在世間尋覓愛侶
[00:00:29.000 --> 00:00:31.000]  尋獲了但求共聚
[00:00:31.000 --> 00:00:34.000]  然而共處半生都過去
[00:00:34.000 --> 00:00:36.000]  我偏偏又後悔
[00:00:36.000 --> 00:00:39.000]  為何離別了但願再相隨
[00:00:39.000 --> 00:00:43.000]  為何能共對又平淡似水
[00:00:43.000 --> 00:00:46.000]  問如何也許為何猜不對
[00:00:46.000 --> 00:00:51.000]  何謂愛其實最愛只有誰
[00:00:51.000 --> 00:00:57.000]  這首歌是反映到今天香港人對愛的看法
[00:00:57.000 --> 00:00:59.000]  對婚姻的質疑
[00:00:59.000 --> 00:01:03.000]  他們以為愛就像發燒一樣
[00:01:03.000 --> 00:01:05.000]  要講感覺
[00:01:05.000 --> 00:01:07.000]  有一種激情在裡面
[00:01:07.000 --> 00:01:09.000]  中間那些老夫老妻
[00:01:09.000 --> 00:01:14.000]  可能已經忘記了牽手的那種感受激情
[00:01:14.000 --> 00:01:17.000]  既然愛是愛到發燒
[00:01:17.000 --> 00:01:20.000]  但願求相聚
[00:01:20.000 --> 00:01:23.000]  但半生過去又發覺平淡似水
[00:01:23.000 --> 00:01:25.000]  那種激情沒了 發燒沒了
[00:01:25.000 --> 00:01:27.000]  不僅如此
[00:01:27.000 --> 00:01:30.000]  以前看對方很瀟灑很豪放
[00:01:30.000 --> 00:01:32.000]  今天發覺他頂心頂肺
[00:01:32.000 --> 00:01:34.000]  以前覺得他口才好好的
[00:01:34.000 --> 00:01:36.000]  口若鉛河
[00:01:36.000 --> 00:01:39.000]  今天發覺他說話太多 囉囉嗦嗦
[00:01:39.000 --> 00:01:42.000]  以前覺得對方苗條身材
[00:01:42.000 --> 00:01:44.000]  今天生了兩個BB
[00:01:44.000 --> 00:01:47.000]  BB突然驟然多了幾十磅
[00:01:47.000 --> 00:01:49.000]  一切都好像平淡似水
[00:01:49.000 --> 00:01:51.000]  偏偏後悔
[00:01:51.000 --> 00:01:54.000]  於是有七年滋養婚外情
[00:01:54.000 --> 00:01:56.000]  何謂愛?
[00:01:56.000 --> 00:02:00.000]  阿叻說其實最愛只有誰
[00:02:00.000 --> 00:02:03.000]  意思是似乎沒有愛
[00:02:03.000 --> 00:02:06.000]  所以你聽到那些在電台的DJ
[00:02:06.000 --> 00:02:08.000]  就會告訴你
[00:02:08.000 --> 00:02:10.000]  當你覺得你不再愛對方
[00:02:10.000 --> 00:02:12.000]  沒有感覺的時候
[00:02:12.000 --> 00:02:14.000]  就應該在這段婚姻結束的時候
[00:02:14.000 --> 00:02:16.000]  好像很瀟灑
[00:02:16.000 --> 00:02:18.000]  但這種毒素 這種意識
[00:02:18.000 --> 00:02:21.000]  不知道害死了幾個家庭 幾個子女
[00:02:21.000 --> 00:02:23.000]  那些專欄作家又會告訴你
[00:02:23.000 --> 00:02:27.000]  緣來緣去 命運注定 順其自然
[00:02:27.000 --> 00:02:29.000]  離了婚的男演員又會告訴你
[00:02:29.000 --> 00:02:31.000]  與其痛苦在一起
[00:02:31.000 --> 00:02:33.000]  不如勇敢地分手
[00:02:33.000 --> 00:02:35.000]  這些老土的事幾十年前都聽過
[00:02:35.000 --> 00:02:37.000]  長痛不如短痛
[00:02:37.000 --> 00:02:39.000]  那些女明星又會告訴你
[00:02:39.000 --> 00:02:43.000]  因誤會而結合 因了解而分手
[00:02:43.000 --> 00:02:47.000]  這種毒素影響我們今天整個社會
[00:02:47.000 --> 00:02:49.000]  侵蝕每一個家庭
[00:02:49.000 --> 00:02:52.000]  如果愛只是講感覺
[00:02:52.000 --> 00:02:54.000]  只是講激情
[00:02:54.000 --> 00:02:56.000]  只有兩個結果
[00:02:56.000 --> 00:02:58.000]  第一個結果很快就淡了
[00:02:58.000 --> 00:03:00.000]  淡完之後
[00:03:00.000 --> 00:03:02.000]  你就會好像瓊瑤的小說
[00:03:02.000 --> 00:03:04.000]  褪了色的愛
[00:03:04.000 --> 00:03:06.000]  不如另外找一個
