
[00:00:00.000 --> 00:00:04.200]  好 多謝你們一起讀出神的話語
[00:00:04.200 --> 00:00:06.560]  你們讀了三十一節
[00:00:06.560 --> 00:00:07.960]  辛苦了
[00:00:07.960 --> 00:00:10.600]  讀三十一節其實挺累的
[00:00:10.600 --> 00:00:13.120]  上一次讀了二十九節
[00:00:13.120 --> 00:00:17.760]  即是總共大家讀了耶利米斯是六十節
[00:00:17.760 --> 00:00:20.000]  沒記錯吧
[00:00:20.000 --> 00:00:23.600]  在開始的時候我們做了一些溫習
[00:00:23.600 --> 00:00:25.840]  在過往的兩個禮拜
[00:00:25.840 --> 00:00:32.360]  大家有沒有很好的過悔改的生活
[00:00:32.360 --> 00:00:36.560]  我們要記得耶穌基督給我們特赦
[00:00:36.560 --> 00:00:42.400]  祂是給特赦那些願意接受特赦的人
[00:00:42.400 --> 00:00:45.200]  祂唯一的要求就是
[00:00:45.200 --> 00:00:50.400]  人要在特赦之後要悔改
[00:00:50.400 --> 00:00:52.640]  另一方面我們要記得
[00:00:52.640 --> 00:00:56.840]  悔改是在神的福音之後
[00:00:56.840 --> 00:01:00.440]  是耶穌基督的福音的宣佈之後
[00:01:00.440 --> 00:01:01.840]  所以我們是悔改
[00:01:01.840 --> 00:01:07.160]  但我們不是單單靠我們的能力去悔改
[00:01:07.160 --> 00:01:09.360]  如果我們靠我們的能力去悔改
[00:01:09.360 --> 00:01:13.840]  想將自己改得可愛
[00:01:13.840 --> 00:01:16.360]  改得矜貴的話
[00:01:16.360 --> 00:01:19.640]  這個是不可能的
[00:01:19.640 --> 00:01:23.840]  因為人心比萬物都詭詐
[00:01:23.840 --> 00:01:25.640]  壞到極點
[00:01:25.640 --> 00:01:27.960]  誰能識透呢?
[00:01:27.960 --> 00:01:31.240]  所以如果我們想著只靠我們的能力
[00:01:31.240 --> 00:01:34.360]  我們去改變自己
[00:01:34.360 --> 00:01:36.440]  這個是愚蠢的
[00:01:36.440 --> 00:01:38.640]  因為你只是在一個踏步機上面
[00:01:38.640 --> 00:01:41.040]  你跑呀跑呀跑呀跑呀
[00:01:41.040 --> 00:01:43.240]  你沒有去到任何地方
[00:01:43.240 --> 00:01:44.840]  只是繼續跑呀跑呀
[00:01:44.840 --> 00:01:46.240]  你只會罰倦
[00:01:46.240 --> 00:01:48.040]  你只會虛空
[00:01:48.040 --> 00:01:50.840]  所以我們真是去領受神的邀請
[00:01:50.840 --> 00:01:52.240]  神的恩惠
