
[00:00:00.000 --> 00:00:02.000]  聽神的禮儀先讓我們同心投靈
[00:00:02.000 --> 00:00:05.000]  在祈神到之前先引經禱告
[00:00:05.000 --> 00:00:08.000]  賜給父神多謝祢
[00:00:08.000 --> 00:00:11.000]  讓我們能夠再次打開祢的說話
[00:00:11.000 --> 00:00:14.000]  求祢賜給我們的靈
[00:00:14.000 --> 00:00:16.000]  陪伴著我們
[00:00:16.000 --> 00:00:19.000]  打開我們明白祢道理的心竅
[00:00:19.000 --> 00:00:23.000]  進入到主祢教訓的當中
[00:00:23.000 --> 00:00:28.000]  讓我們成為上帝祢所合用的器皿
[00:00:28.000 --> 00:00:29.000]  求祢與我們同在
[00:00:29.000 --> 00:00:31.000]  讓新的一年
[00:00:31.000 --> 00:00:35.000]  讓我們有一個更活潑的生命
[00:00:35.000 --> 00:00:39.000]  能夠朝著那個永恆的主我們走過去
[00:00:39.000 --> 00:00:41.000]  求祢的幫助
[00:00:41.000 --> 00:00:42.000]  我們禱告
[00:00:42.000 --> 00:00:43.000]  奉主耶穌基督
[00:00:43.000 --> 00:00:44.000]  得勝的名字
[00:00:44.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:51.000]  新的一年很多的機構都要研究一下
[00:00:51.000 --> 00:00:53.000]  今年的業績如何
[00:00:53.000 --> 00:00:57.000]  新的一年很多機構都要研究
[00:00:57.000 --> 00:01:00.000]  新的一年的業績如何
[00:01:00.000 --> 00:01:02.000]  好像最近這幾個禮拜
[00:01:02.000 --> 00:01:04.000]  好像最近這幾個禮拜
[00:01:04.000 --> 00:01:10.000]  很多科技公司都頒布他們過去一年的業績
[00:01:10.000 --> 00:01:14.000]  很多科技公司都公佈他們過去一年的業績
[00:01:14.000 --> 00:01:20.000]  也都從而希望帶領整個公司走向下一個更好的發展
[00:01:20.000 --> 00:01:24.000]  希望帶領公司走向更好的發展
[00:01:24.000 --> 00:01:28.000]  所以我們知道在商業世界當中
[00:01:28.000 --> 00:01:30.000]  我不知道在商業世界當中
[00:01:30.000 --> 00:01:32.000]  就不只是看過去
[00:01:32.000 --> 00:01:34.000]  不光是只看過去
[00:01:34.000 --> 00:01:36.000]  而是永遠要看將來
[00:01:36.000 --> 00:01:38.000]  也還看將來
[00:01:38.000 --> 00:01:42.000]  每一次我們見到在一個股票市場裏面
[00:01:42.000 --> 00:01:45.000]  有一個公司他的股價是升值
[00:01:45.000 --> 00:01:50.000]  在這個股票市場看到一個公司股市在升值
[00:01:50.000 --> 00:01:52.000]  主要不是因為他過去業績那麼簡單
[00:01:52.000 --> 00:01:54.000]  不是他過去業績那麼簡單
[00:01:54.000 --> 00:01:58.000]  而是他將來怎樣能夠有更好的發展
[00:01:58.000 --> 00:02:01.000]  而是他將來有怎樣更好的發展
[00:02:01.000 --> 00:02:03.000]  所以有三個字
[00:02:03.000 --> 00:02:04.000]  所以有三個字
[00:02:04.000 --> 00:02:06.000]  下一步
[00:02:06.000 --> 00:02:07.000]  下一步
[00:02:07.000 --> 00:02:11.000]  是所有商業世界裏面都非常著重的主題
[00:02:11.000 --> 00:02:13.000]  是所有商業世界裏面都非常著重的主題
[00:02:13.000 --> 00:02:17.000]  英文就是What is the next step
[00:02:17.000 --> 00:02:19.000]  我下一步是究竟怎樣做呢
[00:02:19.000 --> 00:02:21.000]  我下一步該怎麼做呢
[00:02:21.000 --> 00:02:23.000]  於是不同的公司
[00:02:23.000 --> 00:02:24.000]  於是不同的公司
[00:02:24.000 --> 00:02:26.000]  他們的管理階層
[00:02:26.000 --> 00:02:27.000]  他們的管理階層
[00:02:27.000 --> 00:02:30.000]  往往為了要解答這三個字
[00:02:30.000 --> 00:02:31.000]  下一步
[00:02:31.000 --> 00:02:33.000]  為了解答這三個字
[00:02:33.000 --> 00:02:34.000]  下一步
[00:02:34.000 --> 00:02:36.000]  就會花盡大量的金錢
[00:02:36.000 --> 00:02:37.000]  人力
[00:02:37.000 --> 00:02:38.000]  物力
[00:02:38.000 --> 00:02:39.000]  和智慧
[00:02:39.000 --> 00:02:41.000]  會花上大量的金錢
[00:02:41.000 --> 00:02:42.000]  人力
[00:02:42.000 --> 00:02:43.000]  物力和金錢
[00:02:43.000 --> 00:02:46.000]  去為他們的下一步去考慮
[00:02:46.000 --> 00:02:48.000]  會為他們的下一步去考慮
[00:02:48.000 --> 00:02:50.000]  原來每一件事
[00:02:50.000 --> 00:02:51.000]  原來每一件事
[00:02:51.000 --> 00:02:55.000]  如果我們不為下一步去有這個籌劃打算的話
[00:02:55.000 --> 00:02:57.000]  如果我們不為下一步去有這個籌劃打算的話
[00:02:57.000 --> 00:02:58.000]  特別是商業社會
[00:02:58.000 --> 00:02:59.000]  特別是商業社會
[00:02:59.000 --> 00:03:02.000]  就等同於等待被人淘汰一樣
[00:03:02.000 --> 00:03:04.000]  就等同於等待被人淘汰一樣
[00:03:04.000 --> 00:03:07.000]  就等同於等待被人淘汰一樣
