
[00:00:00.000 --> 00:00:03.700]  親愛的主耶穌,我們感謝祢給我們一段經文
[00:00:03.700 --> 00:00:07.600]  今天晚上我們一同進入到這段專注重的經文
[00:00:07.600 --> 00:00:10.600]  在我們逆境當中,讓我們一同去讚頌祢
[00:00:10.600 --> 00:00:13.800]  在逆境困難當中,我們看不到出路的時候
[00:00:13.800 --> 00:00:17.500]  上帝我們仍然懷著這份信心、這份盼望
[00:00:17.500 --> 00:00:20.000]  我們深知上帝祢會帶領我們
[00:00:20.000 --> 00:00:22.700]  好像昔日一樣,主求祢幫助我們
[00:00:22.700 --> 00:00:26.000]  我們這樣禱告,奉耶穌基督名字,阿門
[00:00:26.000 --> 00:00:29.600]  身處在香港真的不容易
[00:00:29.600 --> 00:00:32.000]  自從去年中這個社會運動
[00:00:32.000 --> 00:00:34.800]  今年年頭就有新冠疫情
[00:00:34.800 --> 00:00:37.800]  在世界上,中美貿易戰
[00:00:37.800 --> 00:00:40.200]  最近我們又聽到黎巴嫩有大爆炸
[00:00:40.200 --> 00:00:42.400]  一波未平,一波又起
[00:00:42.400 --> 00:00:44.800]  我們在中間真的不容易
[00:00:44.800 --> 00:00:47.800]  我們今天仍然都在這個疫情當中
[00:00:47.800 --> 00:00:51.000]  在這個非常嚴重的抗疫當中
[00:00:51.000 --> 00:00:55.200]  弟兄姊妹都要在家裏一同去敬拜上帝
[00:00:55.200 --> 00:00:59.200]  人與人在過去這大半年裏
[00:00:59.200 --> 00:01:02.000]  好像失聯了
[00:01:02.000 --> 00:01:06.200]  往日昔日見的朋友、同事
[00:01:06.200 --> 00:01:08.600]  好像很久都沒有見面
[00:01:08.600 --> 00:01:12.200]  以往的日子、生活好像遙不可及
[00:01:12.200 --> 00:01:15.600]  不知道何時才可以上班、上學
[00:01:15.600 --> 00:01:18.800]  有空又去旅行的日子
[00:01:18.800 --> 00:01:23.800]  最近有一份調查、一個報告
[00:01:23.800 --> 00:01:25.800]  說到受訪當中的人
[00:01:25.800 --> 00:01:33.600]  有差不多四成是有中度至嚴重的創傷後壓力症狀
[00:01:33.600 --> 00:01:40.200]  有差不多七成的人是患上嚴重的抑鬱
[00:01:40.200 --> 00:01:44.000]  其中有三成半是這兩種症狀
[00:01:44.000 --> 00:01:48.000]  在疫情當中我們有很多情緒的困擾
[00:01:48.000 --> 00:01:49.600]  不知道你有沒有以下這幾樣東西
[00:01:49.600 --> 00:01:55.000]  譬如精神緊張、焦慮、擔心這擔心那
[00:01:55.000 --> 00:01:58.000]  每天看電視,看看有多少人確診
[00:01:58.000 --> 00:02:03.000]  看看有沒有確診的人在我們家附近住
[00:02:03.000 --> 00:02:05.800]  害怕,害怕這害怕那
[00:02:05.800 --> 00:02:08.800]  害怕傳染病毒
[00:02:08.800 --> 00:02:11.000]  心裏很不安
[00:02:11.000 --> 00:02:15.000]  甚至晚上睡不著、失眠
[00:02:15.000 --> 00:02:17.200]  不知道大英姐妹們有沒有這個經歷
