
[00:00:00.000 --> 00:00:01.780]  我們做個簡單的祈禱
[00:00:01.780 --> 00:00:04.740]  天父我們求禰讓我們有聆聽的耳朵
[00:00:04.740 --> 00:00:06.280]  有明白的心
[00:00:06.280 --> 00:00:08.060]  能夠明白
[00:00:08.060 --> 00:00:09.920]  能夠知道禰的心意
[00:00:09.920 --> 00:00:11.220]  又能夠明白
[00:00:11.220 --> 00:00:12.740]  知道我們的需要
[00:00:12.740 --> 00:00:15.640]  以致能夠回應禰對我們的愛
[00:00:15.640 --> 00:00:17.080]  帶領以下的時間
[00:00:17.080 --> 00:00:18.020]  幫助我們
[00:00:18.020 --> 00:00:19.340]  奉耶穌的名祈禱
[00:00:19.340 --> 00:00:20.100]  阿們
[00:00:20.100 --> 00:00:21.640]  有一次在家裏喫飯
[00:00:21.640 --> 00:00:22.480]  喫着喫着
[00:00:22.480 --> 00:00:24.720]  我的兒子問了一個問題
[00:00:24.720 --> 00:00:25.980]  他問什麼問題呢?
[00:00:25.980 --> 00:00:27.080]  他用英文
[00:00:27.080 --> 00:00:29.000]  因爲我的兒子在加拿大出生
[00:00:29.000 --> 00:00:29.900]  他說:爹地啊
[00:00:29.900 --> 00:00:32.120]  How high is the sky?
[00:00:32.120 --> 00:00:34.040]  你兒子有沒有問過這個問題?
[00:00:34.040 --> 00:00:35.160]  他說天有幾高
[00:00:35.160 --> 00:00:37.580]  沒有人的兒子問過這個問題?
[00:00:37.580 --> 00:00:39.680]  只有我兒子問過這個問題?
[00:00:39.680 --> 00:00:41.420]  是不是我兒子不是很正常?
[00:00:41.420 --> 00:00:42.440]  突然間他問
[00:00:42.440 --> 00:00:43.800]  爹地天有幾高啊?
[00:00:43.800 --> 00:00:45.200]  我們正在喫飯
[00:00:45.200 --> 00:00:46.660]  我很快回答他
[00:00:46.660 --> 00:00:48.260]  Very high
[00:00:48.260 --> 00:00:49.300]  喫吧喫吧
[00:00:49.300 --> 00:00:50.240]  喫飯吧
[00:00:50.240 --> 00:00:52.180]  喫了不夠十秒鐘他又再問
[00:00:52.180 --> 00:00:53.400]  他說到底
[00:00:53.400 --> 00:00:55.520]  Well actually how high then?
[00:00:55.520 --> 00:00:56.840]  我說Very high
[00:00:56.840 --> 00:00:58.160]  How high?
[00:00:58.160 --> 00:01:00.040]  我當時正在喫飯
[00:01:00.040 --> 00:01:02.280]  正在喫西蘭花炒牛肉
[00:01:02.280 --> 00:01:03.460]  正在喫飯
[00:01:03.460 --> 00:01:05.360]  你喫飯問這麼深的問題
[00:01:05.360 --> 00:01:07.080]  會不消化的
[00:01:07.080 --> 00:01:08.940]  我就很敷衍
[00:01:08.940 --> 00:01:09.660]  我說
[00:01:09.660 --> 00:01:12.340]  Well it's very very high
[00:01:12.340 --> 00:01:13.160]  接着我說
[00:01:13.160 --> 00:01:14.960]  Eat, don't talk
[00:01:14.960 --> 00:01:17.500]  Eat no talk, sleep no talk
[00:01:17.500 --> 00:01:19.360]  喫不言,沉不語
[00:01:19.360 --> 00:01:20.280]  最好了
[00:01:20.280 --> 00:01:21.500]  那就不要問了
[00:01:21.500 --> 00:01:23.000]  我兒子又不敢再問了
[00:01:23.000 --> 00:01:24.940]  因爲我也有點腹炎
[00:01:24.940 --> 00:01:25.980]  那就不再問了
[00:01:25.980 --> 00:01:27.740]  喫完飯我回房間之後
[00:01:27.740 --> 00:01:30.060]  我坐在房間想起我兒子問的問題
[00:01:30.060 --> 00:01:32.740]  其實我覺得他問得挺有意思的
[00:01:32.740 --> 00:01:35.860]  很少人想天有多高
[00:01:35.860 --> 00:01:37.600]  真的很少人想的
[00:01:37.600 --> 00:01:39.040]  那天晚上我坐在那裏想
[00:01:39.040 --> 00:01:40.540]  越想
[00:01:40.540 --> 00:01:42.500]  這個問題真的越深
[00:01:42.500 --> 00:01:44.700]  我後來看了一本書
[00:01:44.700 --> 00:01:46.180]  我查了一下有個圖
[00:01:46.180 --> 00:01:47.140]  寫着
[00:01:47.140 --> 00:01:48.900]  原來宇宙真的很大
[00:01:48.900 --> 00:01:50.860]  天真的很高
[00:01:50.860 --> 00:01:52.500]  你用光速
[00:01:52.500 --> 00:01:55.060]  一秒鐘環繞地球七次
[00:01:55.060 --> 00:01:57.380]  兩秒鐘可以繞過月球
[00:01:57.380 --> 00:01:59.220]  四分鐘去到火星
[00:01:59.220 --> 00:02:01.820]  五小時去到冥王星
[00:02:01.820 --> 00:02:04.540]  但是你需要200萬光年
[00:02:04.540 --> 00:02:07.380]  200萬年以光速前行
[00:02:07.380 --> 00:02:10.020]  纔可以去到另一個銀河系
[00:02:10.020 --> 00:02:11.940]  你明不明白多大
[00:02:11.940 --> 00:02:13.580]  大到我也想不到多大
[00:02:13.580 --> 00:02:16.580]  是以200萬年的光速
[00:02:16.580 --> 00:02:17.780]  去到另一個銀河系
[00:02:17.780 --> 00:02:19.580]  在銀河系當中有個太陽系
[00:02:19.580 --> 00:02:20.980]  太陽系當中有個地球
[00:02:20.980 --> 00:02:22.580]  地球裏面有個北美洲
[00:02:22.580 --> 00:02:23.860]  北美洲裏面有個加拿大
[00:02:23.860 --> 00:02:25.220]  加拿大里面有個多倫多
[00:02:25.220 --> 00:02:27.660]  多倫多里面有個列治文山
[00:02:27.660 --> 00:02:29.380]  列治文山的街道叫Queen's Way
[00:02:29.380 --> 00:02:31.020]  就是我住的
[00:02:31.020 --> 00:02:31.740]  裏面有間屋
[00:02:31.740 --> 00:02:32.580]  裏面有間房
[00:02:32.580 --> 00:02:33.220]  房裏面有一張牀
[00:02:33.220 --> 00:02:34.620]  我坐在那裏
[00:02:34.620 --> 00:02:36.580]  想着我兒子這個問題
[00:02:36.580 --> 00:02:38.100]  天有多高
[00:02:38.100 --> 00:02:39.740]  告訴我當晚想的時候
[00:02:39.740 --> 00:02:43.220]  我覺得我這個人真的很渺小
[00:02:43.220 --> 00:02:45.140]  當你仰望星空
[00:02:45.140 --> 00:02:46.900]  當你看這個宇宙
[00:02:46.900 --> 00:02:48.220]  你真的會說一句話
[00:02:48.220 --> 00:02:50.460]  就是人算什麼呢
[00:02:50.460 --> 00:02:52.380]  人算什麼呢
[00:02:52.380 --> 00:02:53.540]  人到底有多大
[00:02:53.540 --> 00:02:55.660]  其實人真的很渺小
[00:02:55.660 --> 00:02:56.980]  不僅是渺小
[00:02:56.980 --> 00:03:01.060]  在歷史和時間的巨輪當中
[00:03:01.060 --> 00:03:01.940]  我不是說電視劇
[00:03:01.940 --> 00:03:04.500]  不過在歷史和時間的巨輪當中
[00:03:04.500 --> 00:03:07.220]  你發現人有時真的很無奈
[00:03:07.220 --> 00:03:09.020]  你不可以停止時間
[00:03:09.020 --> 00:03:11.260]  甚至你不可以改變歷史
[00:03:11.260 --> 00:03:15.340]  你只能夠跟着歷史的巨輪前進
[00:03:15.340 --> 00:03:16.740]  人就是這樣
[00:03:16.740 --> 00:03:19.180]  人很多時候真的相當的無奈
[00:03:19.180 --> 00:03:22.260]  大家知道有一首詩叫《滿江紅》
[00:03:22.260 --> 00:03:24.620]  是誰寫的
[00:03:24.620 --> 00:03:26.340]  岳飛
[00:03:26.340 --> 00:03:27.260]  裏面有句話說
[00:03:27.260 --> 00:03:29.540]  仰天長嘯
[00:03:29.540 --> 00:03:30.980]  下面有幾個字
[00:03:30.980 --> 00:03:34.460]  過兩句叫做空悲切
[00:03:34.460 --> 00:03:36.020]  雖然他很用心
[00:03:36.020 --> 00:03:37.500]  很忠心
[00:03:37.500 --> 00:03:40.300]  很可惜事與願違
[00:03:40.300 --> 00:03:41.460]  人有心無力
[00:03:41.460 --> 00:03:42.340]  沒辦法
[00:03:42.340 --> 00:03:44.420]  他只能夠仰天長嘯
[00:03:44.420 --> 00:03:46.180]  空悲切
[00:03:46.180 --> 00:03:48.580]  這種感覺我曾經有過
[00:03:48.580 --> 00:03:50.380]  有一次我在學校考試
[00:03:50.380 --> 00:03:51.940]  當我打開試卷
[00:03:51.940 --> 00:03:53.940]  我就仰天長嘯
[00:03:53.940 --> 00:03:55.420]  空悲切
[00:03:55.420 --> 00:03:57.300]  因爲我真的不懂那些題目
