
[00:00:00.000 --> 00:00:05.400]  剛纔那段經文是講到耶穌和當時的宗教領袖的衝突
[00:00:05.400 --> 00:00:08.560]  最後就引發成爲他們決定的密謀
[00:00:08.560 --> 00:00:10.960]  要去除掉耶穌
[00:00:10.960 --> 00:00:15.560]  耶穌的一言一行挑動到猶太的領袖
[00:00:15.560 --> 00:00:17.480]  其實已經是很長的時間了
[00:00:17.480 --> 00:00:19.040]  在他們的眼裏
[00:00:19.040 --> 00:00:22.720]  耶穌不斷地和他們對着幹
[00:00:22.720 --> 00:00:25.280]  不僅藐視他們的權威
[00:00:25.280 --> 00:00:30.840]  好像想推翻他們宗教上很多既定有的權力
[00:00:30.840 --> 00:00:32.880]  其中一個最冒犯他們的行爲
[00:00:32.880 --> 00:00:34.600]  就是今天大家看到的
[00:00:34.600 --> 00:00:35.480]  在安息日
[00:00:35.480 --> 00:00:39.400]  他竟然當着他們面前去醫病
[00:00:39.400 --> 00:00:40.560]  有什麼問題呢?
[00:00:40.560 --> 00:00:42.400]  就是因爲破壞了
[00:00:42.400 --> 00:00:45.360]  猶太宗教條例裏面的
[00:00:45.360 --> 00:00:48.160]  安息日不可以做的那些條例
[00:00:48.160 --> 00:00:51.720]  其實我相信破壞這條條例也很時少
[00:00:51.720 --> 00:00:56.040]  醫好一個人對他們沒什麼影響
[00:00:56.040 --> 00:00:58.120]  是因爲挑動到他們的神經系
[00:00:58.120 --> 00:01:00.360]  挑戰他們的權力
[00:01:00.360 --> 00:01:02.920]  而且耶穌已經不是第一次這樣做
[00:01:02.920 --> 00:01:04.880]  耶穌這次來到安息日
[00:01:04.880 --> 00:01:06.240]  進入會堂裏面
[00:01:06.240 --> 00:01:08.280]  遇到一個手枯乾的人
[00:01:08.280 --> 00:01:10.440]  只是他的手有點萎縮
[00:01:10.440 --> 00:01:11.480]  可能是肌肉
[00:01:11.480 --> 00:01:12.600]  可能是先天
[00:01:12.600 --> 00:01:14.120]  可能是後天
[00:01:14.120 --> 00:01:16.240]  我以前也認識
[00:01:16.240 --> 00:01:17.920]  可能患過司馬庇症
[00:01:17.920 --> 00:01:19.080]  或者發過高燒
[00:01:19.080 --> 00:01:21.280]  他的手不能夠再生長
[00:01:21.280 --> 00:01:24.280]  他就會有一個萎縮的情況
[00:01:24.280 --> 00:01:26.920]  當時的人是很需要靠勞動
[00:01:26.920 --> 00:01:28.960]  是農業或者是畜牧業
[00:01:28.960 --> 00:01:32.040]  所以他沒了手基本上是等於失業
[00:01:32.040 --> 00:01:35.480]  他平時的生活可能有困難
[00:01:35.480 --> 00:01:36.560]  影響到生計
[00:01:36.560 --> 00:01:37.880]  影響到社會地位
[00:01:37.880 --> 00:01:39.960]  那些人看低他
[00:01:39.960 --> 00:01:43.040]  我相信他自己內心也很痛苦
[00:01:43.040 --> 00:01:44.600]  我想耶穌見到這個人
[00:01:44.600 --> 00:01:46.560]  不是單純見到一個病
[00:01:46.560 --> 00:01:47.840]  他要去醫
[00:01:47.840 --> 00:01:50.440]  他是見到這個人的痛苦
[00:01:50.440 --> 00:01:53.240]  他心裏面產生了一種憐憫
[00:01:53.240 --> 00:01:55.720]  很想去幫助醫好他
[00:01:55.720 --> 00:01:59.480]  但這個時候有班法利塞人在旁邊
[00:01:59.480 --> 00:02:03.880]  他們就藉着這個機會去挑釁耶穌
[00:02:03.880 --> 00:02:05.000]  他就問他
[00:02:05.000 --> 00:02:08.360]  安息日治病是否合法
[00:02:08.360 --> 00:02:11.840]  你試一下代入這個場景
[00:02:11.840 --> 00:02:15.800]  你又知道這個不是一個信仰探討的問題
[00:02:15.800 --> 00:02:19.080]  他是指着眼前這個人來挑戰耶穌
[00:02:19.080 --> 00:02:21.800]  你是不是要違反法例
[00:02:21.800 --> 00:02:23.640]  又去醫他
