
[00:00:00.000 --> 00:00:02.000]  好 大兄姊妹 早晨
[00:00:02.000 --> 00:00:05.000]  我們再一次低頭禱告
[00:00:05.000 --> 00:00:07.000]  天父我們願祢帶領我們
[00:00:07.000 --> 00:00:11.000]  我們知道祢是創造宇宙萬物的真神
[00:00:11.000 --> 00:00:13.000]  祢擁有一切的權柄
[00:00:13.000 --> 00:00:18.000]  一切的邪惡勢力都不能夠和祢相比
[00:00:18.000 --> 00:00:20.000]  祢是萬皇之王 萬主之主
[00:00:20.000 --> 00:00:23.000]  當現在很多的異端邪說
[00:00:23.000 --> 00:00:26.000]  來到去迷惑人的心的時候
[00:00:26.000 --> 00:00:28.000]  求祢讓我們認識真理
[00:00:28.000 --> 00:00:31.000]  求祢宿幾多吉明祈求 阿們
[00:00:31.000 --> 00:00:33.000]  好 很快就Halloween了
[00:00:33.000 --> 00:00:34.000]  大家都知道了
[00:00:34.000 --> 00:00:36.000]  今天就說一個題目
[00:00:36.000 --> 00:00:39.000]  靈界是否真實的呢
[00:00:39.000 --> 00:00:45.000]  這個我想很多人都很有興趣的一個話題
[00:00:45.000 --> 00:00:46.000]  有一次我記得
[00:00:46.000 --> 00:00:50.000]  就和一個朋友來到去聊天
[00:00:50.000 --> 00:00:54.000]  就嘗試和他來到去傳福音
[00:00:54.000 --> 00:00:57.000]  他就很斬釘切鐵地和我說
[00:00:57.000 --> 00:00:59.000]  我就不信有神了
[00:00:59.000 --> 00:01:02.000]  你不用再和我說了
[00:01:02.000 --> 00:01:04.000]  後來我就問他
[00:01:04.000 --> 00:01:07.000]  那你信不信有鬼
[00:01:07.000 --> 00:01:10.000]  他就說 那我就信
[00:01:10.000 --> 00:01:12.000]  我就問他
[00:01:12.000 --> 00:01:16.000]  為什麼你信有鬼又不信有神呢
[00:01:16.000 --> 00:01:18.000]  他就說了一個經歷給我
[00:01:18.000 --> 00:01:21.000]  他說其實我什麼都不信
[00:01:21.000 --> 00:01:27.000]  我不是那些人說什麼就信什麼的人
[00:01:27.000 --> 00:01:28.000]  所以我什麼都不信
[00:01:28.000 --> 00:01:29.000]  神鬼什麼都不信
[00:01:29.000 --> 00:01:31.000]  但是有一次
[00:01:31.000 --> 00:01:35.000]  他們說那些小孩子的時候
[00:01:35.000 --> 00:01:38.000]  就一班同學就貪得意
[00:01:38.000 --> 00:01:41.000]  就說去鬼屋探險
[00:01:41.000 --> 00:01:43.000]  他其實他就想著
[00:01:43.000 --> 00:01:45.000]  晚上走出來玩一下
[00:01:45.000 --> 00:01:48.000]  他不會覺得有任何的東西
[00:01:48.000 --> 00:01:50.000]  因為他什麼都不信
[00:01:50.000 --> 00:01:55.000]  但是那次他那個經歷
[00:01:55.000 --> 00:01:57.000]  自此之後他說
[00:01:57.000 --> 00:01:59.000]  我仍然都不信有神
[00:01:59.000 --> 00:02:03.000]  不過我真的覺得是會有鬼
[00:02:03.000 --> 00:02:06.000]  因為他說那次他們一班同學
[00:02:06.000 --> 00:02:08.000]  去到進去那間
[00:02:08.000 --> 00:02:09.000]  他們就
[00:02:09.000 --> 00:02:13.000]  那裡說相傳那裡是鬼屋
