
[00:00:00.000 --> 00:00:06.280]  今天和大家講到 繼續是人生照明的系列
[00:00:06.280 --> 00:00:08.240]  如果大家沒有忘記
[00:00:08.240 --> 00:00:10.480]  雖然社會的事件很影響大家的焦點
[00:00:10.480 --> 00:00:11.960]  很影響大家的心情
[00:00:11.960 --> 00:00:15.400]  忘記我們教會19年的主題
[00:00:15.400 --> 00:00:17.000]  是講照明人生
[00:00:17.000 --> 00:00:19.800]  幫助頂尖妹妹明白自己人生的照明
[00:00:19.800 --> 00:00:24.280]  以致我們可以過一個豐盛又滿足的生命
[00:00:24.280 --> 00:00:25.680]  甚麼是照明呢
[00:00:25.680 --> 00:00:30.160]  楊綺說 神創造了人 向人發出呼召
[00:00:30.160 --> 00:00:31.960]  人以生命來對回應
[00:00:31.960 --> 00:00:33.920]  這個就是照明
[00:00:33.920 --> 00:00:36.080]  所以照明包含著三個觀念
[00:00:36.080 --> 00:00:37.760]  是創造的觀念
[00:00:37.760 --> 00:00:41.400]  呼召或者呼喚 是神呼喚我們
[00:00:41.400 --> 00:00:42.840]  然後是用回應
[00:00:42.840 --> 00:00:43.840]  我們怎樣去回應呢
[00:00:43.840 --> 00:00:45.680]  是用我們整個的生命
[00:00:45.680 --> 00:00:47.880]  我們全年的目標在講道
[00:00:47.880 --> 00:00:50.160]  特別在崇拜裏面分為三個時段
[00:00:50.160 --> 00:00:54.160]  一至四月 我們想和頂尖妹妹講人生需要照明
[00:00:54.160 --> 00:00:56.320]  五至八月是講第二部分
[00:00:56.320 --> 00:00:59.000]  是告訴大家我們怎樣找自己的照明
[00:00:59.000 --> 00:01:00.280]  是需要回顧的
[00:01:00.280 --> 00:01:01.920]  但五至八月發生很多事情
[00:01:01.920 --> 00:01:04.000]  所以可能那個焦點不是很強烈
[00:01:04.000 --> 00:01:07.640]  九至十二月是講我們的照明是需要回應
[00:01:07.640 --> 00:01:10.160]  我們每一年做得完所有事情
[00:01:10.160 --> 00:01:12.040]  即是說每一年你就找到照明
[00:01:12.040 --> 00:01:14.720]  每一年你就回顧得完所有事情
[00:01:14.720 --> 00:01:16.760]  每一年又即刻做到回應
[00:01:16.760 --> 00:01:19.320]  盼望我們記住有這樣的事情
[00:01:19.320 --> 00:01:22.000]  然後我們在人生裏就一直去找
[00:01:22.000 --> 00:01:26.560]  在這幾堂課我分別講了甚麼呢
[00:01:26.560 --> 00:01:28.280]  回顧我們的人生
[00:01:28.280 --> 00:01:31.760]  包括回顧我們人生的轉捩點
[00:01:31.760 --> 00:01:34.440]  我就講了雅各的故事
[00:01:34.440 --> 00:01:37.320]  回顧和超越我們不知的憂慮
[00:01:37.320 --> 00:01:40.520]  有時很多不知的事情影響著我們
[00:01:40.520 --> 00:01:42.960]  怎樣去發現自己人生的照明
[00:01:42.960 --> 00:01:46.160]  或者怎樣去回應上帝給我們的照明
[00:01:46.160 --> 00:01:48.760]  再之前一次就是回應這個時代
[00:01:48.760 --> 00:01:51.160]  但其實都是和我們照明有關的
[00:01:51.160 --> 00:01:53.800]  是生於亂世有種堅持
[00:01:53.800 --> 00:01:56.360]  有時在世界影響底下
[00:01:56.360 --> 00:01:57.720]  我們怎樣找自己的照明
[00:01:57.720 --> 00:01:58.960]  在一路找的時候
[00:01:58.960 --> 00:02:00.000]  可能找的都找不到
[00:02:00.000 --> 00:02:01.320]  我們怎樣堅持下去
[00:02:01.320 --> 00:02:02.680]  或者這種社會的境況
[00:02:02.680 --> 00:02:03.840]  一直都不轉變的時候
[00:02:03.840 --> 00:02:05.440]  我們怎樣堅持下去
[00:02:05.440 --> 00:02:09.640]  今日跟大家講回顧人生無力的時候
[00:02:09.640 --> 00:02:11.400]  近日社會事件
[00:02:11.400 --> 00:02:13.000]  或者在平常我們的生活
[00:02:13.000 --> 00:02:16.040]  不知大家有沒有試過無力感
[00:02:16.040 --> 00:02:17.520]  這種狀態
[00:02:17.520 --> 00:02:19.920]  你覺得很無力嗎
[00:02:19.920 --> 00:02:21.440]  在你的家庭
[00:02:21.440 --> 00:02:24.480]  可能你一路來維持這個家庭
[00:02:24.480 --> 00:02:27.360]  但維持的都有些事情發生
[00:02:27.360 --> 00:02:29.560]  你覺得很累了
