
[00:00:00.000 --> 00:00:03.980]  由我們先一起禱告
[00:00:03.980 --> 00:00:08.360]  讚美主耶穌 我們在這個時間紀念祢
[00:00:08.360 --> 00:00:11.080]  紀念祢在世界上雖然只有短短
[00:00:11.080 --> 00:00:14.840]  好像大概33年的日子
[00:00:14.840 --> 00:00:16.640]  而工作主要有三年
[00:00:16.640 --> 00:00:19.260]  但這三年實在是不得了
[00:00:19.260 --> 00:00:26.300]  是將整個世界 將整個人類的永恆命運扭轉了
[00:00:26.300 --> 00:00:28.840]  是透過你自己的血液流血
[00:00:28.840 --> 00:00:33.780]  透過父神 上主 道化人心
[00:00:33.780 --> 00:00:37.200]  你來到將救贖 將救恩執行
[00:00:37.200 --> 00:00:40.940]  聖靈又繼續做這個救恩的施行者
[00:00:40.940 --> 00:00:47.540]  三天上主是同心合意將這個救贖賞賜給世人
[00:00:47.540 --> 00:00:49.140]  讚美你
[00:00:49.140 --> 00:00:50.820]  今天能夠成為何等樣人
[00:00:50.820 --> 00:00:52.920]  完全因為是你的恩典
[00:00:52.920 --> 00:00:54.540]  讚美上主
[00:00:54.540 --> 00:00:57.540]  你實在好施恩 為廣行赦免
[00:00:57.540 --> 00:01:00.740]  饒恕每一個到你面前的人
[00:01:00.740 --> 00:01:05.440]  真心信靠你的 都得在永生 得蒙救贖
[00:01:05.440 --> 00:01:08.940]  讚美上主 你在世上的時候
[00:01:08.940 --> 00:01:10.940]  當主耶穌在的時候
[00:01:10.940 --> 00:01:14.100]  是彰顯了上主無窮的大能
[00:01:14.100 --> 00:01:17.880]  因為我們思想你自己趕鬼的能力
[00:01:17.880 --> 00:01:20.680]  你沒有一次是不成功的
[00:01:20.680 --> 00:01:23.960]  主讓我們讚美你 你的能力實在好大
[00:01:23.960 --> 00:01:27.540]  實在鬼見仇 實在鬼見怕
[00:01:27.540 --> 00:01:31.840]  是每一次污鬼見到你都懼怕 震驚的
[00:01:31.840 --> 00:01:34.640]  因此我們跟隨你 有你自己的護蔭
[00:01:34.640 --> 00:01:36.640]  心裏面很平安
[00:01:36.640 --> 00:01:41.020]  因為我們都有主的保護 有主所賞賜的能力
[00:01:41.020 --> 00:01:44.600]  只要奉你的名 能夠戚俗污鬼
[00:01:44.600 --> 00:01:47.640]  讚美上主好大的能力
[00:01:47.640 --> 00:01:51.520]  願你得著榮耀稱讚 你配受尊崇
[00:01:51.520 --> 00:01:53.880]  我敬拜你 我榮耀你
[00:01:53.880 --> 00:01:55.880]  我尊崇你
[00:01:55.880 --> 00:02:02.600]  各道權兵榮耀 全是你的 直到永遠 阿們
[00:02:02.600 --> 00:02:10.300]  在2025年生命樹網新書架網絡
[00:02:10.300 --> 00:02:12.300]  如虎騎靈修40天
[00:02:12.300 --> 00:02:15.900]  就是由40個角度去看主耶穌基督
[00:02:15.900 --> 00:02:19.280]  主題是「耶穌 我主我神」
[00:02:19.280 --> 00:02:21.780]  「我主我神 耶穌基督」是怎樣的呢?
[00:02:21.780 --> 00:02:25.660]  今天第十二天 主耶穌做了一些很偉大的事
[00:02:25.660 --> 00:02:27.660]  就是行神蹟
[00:02:27.660 --> 00:02:32.680]  第一點要說的神蹟就是趕鬼
[00:02:32.680 --> 00:02:35.340]  趕鬼 我們去看看吧
[00:02:35.340 --> 00:02:38.160]  主耶穌生平重要的事有很多個
[00:02:38.160 --> 00:02:40.760]  行神蹟是其中一個
[00:02:40.760 --> 00:02:42.760]  有很多重要的事
[00:02:42.760 --> 00:02:47.540]  譬如當然是祂自己的同類所生
[00:02:47.540 --> 00:02:50.700]  然後他道成肉身來到這個世界
[00:02:50.700 --> 00:02:52.700]  還有就是祂受洗
[00:02:52.700 --> 00:02:54.360]  接受試探
[00:02:54.360 --> 00:02:56.360]  而且三打撒旦
[00:02:56.360 --> 00:02:59.780]  然後來到今天行神蹟趕鬼
[00:02:59.780 --> 00:03:00.980]  在聖經裏面
[00:03:00.980 --> 00:03:04.940]  福音書記載主耶穌趕鬼的記載有很多
[00:03:04.940 --> 00:03:09.780]  其中有五個 我自己去搜尋一下
[00:03:09.780 --> 00:03:13.100]  大概有五次趕鬼的記載
[00:03:13.100 --> 00:03:16.380]  一次是在加伯隆會堂
[00:03:16.380 --> 00:03:18.780]  一次已經很出名了
[00:03:18.780 --> 00:03:23.320]  格拉森被群鬼附著的人
[00:03:23.320 --> 00:03:24.840]  他將他趕走了
[00:03:24.840 --> 00:03:27.860]  有機會講一下被群鬼附著
[00:03:27.860 --> 00:03:29.460]  那裏很精彩
[00:03:29.460 --> 00:03:32.860]  第三就是有個阿巴鬼
[00:03:32.860 --> 00:03:36.400]  馬太福音路加都有記載的
[00:03:36.400 --> 00:03:42.320]  第四就是迦南婦人的女兒被鬼附
[00:03:42.320 --> 00:03:45.880]  還有癲癇孩子的鬼
[00:03:45.880 --> 00:03:49.160]  有五個很重要的神蹟
[00:03:49.160 --> 00:03:51.160]  有些是三個福音
[00:03:51.160 --> 00:03:55.220]  即是對觀福音或者叫做芙蕾福音都有講到的
[00:03:55.220 --> 00:03:58.560]  有些只是一卷福音有
[00:03:58.560 --> 00:04:03.700]  大家看看還有一些其他的概括性的記載
[00:04:03.700 --> 00:04:06.520]  譬如馬可福音第一章就說
[00:04:06.520 --> 00:04:09.240]  趕出許多鬼
[00:04:09.240 --> 00:04:12.300]  不在上面那五次裏面的
[00:04:12.300 --> 00:04:17.620]  另外就有很多人帶著鬼附的來求醫治耶穌
[00:04:17.620 --> 00:04:21.500]  都治好他們 路加福音
[00:04:21.500 --> 00:04:24.200]  這裏記載是比較特別的
[00:04:24.200 --> 00:04:27.720]  被鬼附是來求醫治
[00:04:27.720 --> 00:04:32.640]  而主耶穌趕鬼是叫做治好他們
[00:04:32.640 --> 00:04:35.440]  都有很多趕鬼的經驗
[00:04:35.440 --> 00:04:38.180]  如果你有機會是縱觀看看主耶穌
[00:04:38.180 --> 00:04:42.560]  祂在祂的生平要事裏面有幾樣事情要做
[00:04:42.560 --> 00:04:47.000]  第一是趕鬼 趕鬼這件事祂做了很多
[00:04:47.000 --> 00:04:48.440]  第二就是醫病
[00:04:48.440 --> 00:04:52.120]  所以趕鬼醫病是主耶穌兩個事事做的
[00:04:52.120 --> 00:04:54.600]  第三個就是宣講
[00:04:54.600 --> 00:04:56.680]  所以趕鬼醫病宣講
[00:04:56.680 --> 00:05:02.120]  醫病趕鬼你怎樣數次序都不要緊的
[00:05:02.120 --> 00:05:06.320]  就是主耶穌一個很重要的生平要事裏面
[00:05:06.320 --> 00:05:08.840]  這三件事是祂做的
[00:05:08.840 --> 00:05:13.820]  因此教導了我們今天教會同樣要跟隨主耶穌
[00:05:13.820 --> 00:05:15.980]  都是在這三件事上做的
[00:05:15.980 --> 00:05:19.360]  當然今天趕鬼是少一點的
[00:05:19.360 --> 00:05:20.800]  不過其實是不是沒有鬼呢?
[00:05:20.800 --> 00:05:23.140]  不是 是很多污鬼
[00:05:23.140 --> 00:05:25.640]  很多時候他們都收起來了
[00:05:25.640 --> 00:05:28.240]  沒有像以前那樣全部凸出來
[00:05:28.240 --> 00:05:32.680]  又或者是我們少接觸一點
[00:05:32.680 --> 00:05:35.020]  其實市面上都很多人被鬼附的
