
[00:00:00.000 --> 00:00:06.380]  首先我講講「會幕」、「帳幕」這個詞有什麼解釋、有什麼意思
[00:00:06.380 --> 00:00:11.820]  這個詞其實在希伯來文和希臘文遠文都有兩個相同的意義
[00:00:11.820 --> 00:00:14.480]  一個是一個名詞
[00:00:14.480 --> 00:00:17.600]  說的就是帳幕,好像我們去露營的帳幕
[00:00:17.600 --> 00:00:20.800]  另外一個動詞就是「居住」
[00:00:20.800 --> 00:00:23.300]  那個名詞和動詞都是同一個詞
[00:00:23.300 --> 00:00:26.560]  所以好像啟示錄說
[00:00:26.560 --> 00:00:29.620]  「神的帳幕在人間,他要與人同住」
[00:00:29.620 --> 00:00:31.440]  其實是同一個詞
[00:00:31.440 --> 00:00:38.240]  「神的帳幕在人間」就是「與人同住」
[00:00:38.240 --> 00:00:41.760]  我想講講一個概念,可能老師會比較清楚
[00:00:41.760 --> 00:00:44.980]  有一個叫 Inductive 和 Deductive Learning
[00:00:44.980 --> 00:00:48.720]  是什麼來的呢?有沒有人聽過?
[00:00:48.720 --> 00:00:51.700]  Inductive Learning 就是一個歸納式的學習
[00:00:51.700 --> 00:00:53.060]  例如什麼呢?
[00:00:53.060 --> 00:00:56.600]  例如嬰兒什麼都不懂的時候,他們學說話
[00:00:56.600 --> 00:00:58.280]  你會怎麼做呢?
[00:00:58.280 --> 00:01:01.160]  你會用一些很簡單的詞語跟他們說
[00:01:01.160 --> 00:01:05.660]  「爸爸」、「媽媽」、「嬰兒」、「車車」、「花花」
[00:01:05.660 --> 00:01:06.740]  會說什麼呢?
[00:01:06.740 --> 00:01:09.040]  說一百次、一千次、一萬次
[00:01:09.040 --> 00:01:10.440]  說到他們認得
[00:01:10.440 --> 00:01:12.700]  這是「爸爸」,別叫錯別人
[00:01:12.700 --> 00:01:14.160]  認得這些詞語
[00:01:14.160 --> 00:01:16.400]  然後你會再教他們更多的詞語
[00:01:16.400 --> 00:01:19.360]  一路一路告訴他們更多的詞語
[00:01:19.360 --> 00:01:21.440]  而他們聽完之後
[00:01:21.440 --> 00:01:24.000]  他們會自己在腦子裡
[00:01:24.000 --> 00:01:26.020]  就會形成了他們會明白
[00:01:26.020 --> 00:01:27.880]  這個詞語就是代表這個詞語
[00:01:27.880 --> 00:01:29.460]  那樣東西就是代表那樣東西
[00:01:29.460 --> 00:01:34.320]  是他們自己去建立這些理論的
[00:01:34.320 --> 00:01:37.200]  所以是說由例子去理論
[00:01:37.200 --> 00:01:38.940]  你不會跟一個嬰兒說
[00:01:38.940 --> 00:01:42.860]  「你講一句說話要有文法的」
[00:01:42.860 --> 00:01:48.880]  「要有動詞、有名詞、動詞、形容詞、助語詞」
[00:01:48.880 --> 00:01:51.120]  你不會這樣說,他不會知道你在說什麼
[00:01:51.120 --> 00:01:53.940]  你是要由很簡單的例子開始
[00:01:53.940 --> 00:01:57.180]  讓他自己去明白
[00:01:57.180 --> 00:01:58.620]  Deductive Learning是什麼呢?
[00:01:58.620 --> 00:02:00.160]  剛剛相反
[00:02:00.160 --> 00:02:03.900]  我給你一些規矩、方程式
[00:02:03.900 --> 00:02:07.580]  很多時候我們學數學、科學都是用這個方法
[00:02:07.580 --> 00:02:09.220]  給你一條方程式
[00:02:09.220 --> 00:02:12.660]  你會用現實生活的例子
[00:02:12.660 --> 00:02:14.100]  放進去那個方程式
[00:02:14.100 --> 00:02:15.100]  看看對不對
[00:02:15.100 --> 00:02:16.020]  看看能不能做到
[00:02:16.020 --> 00:02:17.960]  看看那個方程式對不對
[00:02:17.960 --> 00:02:23.160]  這個就是說從理論去到例子
