
[00:00:00.000 --> 00:00:02.000]  邢智梅,午安!
[00:00:02.000 --> 00:00:08.000]  我不知道你看到這個題目,令你想起些什麼呢?
[00:00:08.000 --> 00:00:15.000]  3G、4G、手機網絡,對不對?
[00:00:15.000 --> 00:00:22.000]  其實呢,在現在這個網絡時代,
[00:00:22.000 --> 00:00:29.000]  很多人都說:嘩!不是吧?還在用3G,6G都來了!
[00:00:30.000 --> 00:00:43.000]  究竟3G、4G,跟我今天要跟大家分享的文數記十三章,關什麼事呢?
[00:00:43.000 --> 00:00:51.000]  其實呢,我要告訴大家,為什麼我選擇一個這樣的題目之前呢,
[00:00:51.000 --> 00:00:59.500]  我想先跟大家分享一個真實的事件,真人真事來的。
[00:01:00.000 --> 00:01:16.000]  在90年代初,有些人就提出禁止使用一種叫做一氧化二氫(Dihydrogen Monoxide)這個化學物質。
[00:01:16.000 --> 00:01:22.000]  他們就發起說:不行!我們不能用它!為什麼呢?
[00:01:22.000 --> 00:01:34.000]  因為它對個人的身體健康,甚至是對整個世界的環境都造成了負面的影響。
[00:01:34.000 --> 00:01:41.000]  當時提出這個論點的那群人就這樣說:
[00:01:41.000 --> 00:01:58.000]  「一氧化二氫(Dihydrogen Monoxide)是酸雨的主要成分,令泥土流失,溫室效應,攝取太多會不舒服,
[00:01:58.000 --> 00:02:06.000]  末期癌症的病人在他的腫瘤當中會見到這些物質,
[00:02:06.000 --> 00:02:12.000]  在不同動物的研究中很殘忍地使用它。
[00:02:12.000 --> 00:02:18.000]  甚至這些所謂垃圾的食物總是有這個成分,成為添加劑,
[00:02:18.000 --> 00:02:24.000]  然後如果放在密室裡,增加溫度就會爆發。」
[00:02:24.000 --> 00:02:30.000]  當時他們真的曾經發起一個簽名運動,
[00:02:30.000 --> 00:02:40.000]  如果是你,你會不會簽名同意這個「一氧化二氫」不好呢?
[00:02:40.000 --> 00:02:43.000]  真的很多人簽名,告訴大家。
[00:02:43.000 --> 00:02:50.000]  不過這種化物質仍然是廣泛地被使用,為什麼呢?
[00:02:50.000 --> 00:02:53.000]  其實是惡作劇來的。
[00:02:53.000 --> 00:02:59.000]  大家知不知道「一氧化二氫」(Dihydrogen Monoxide)
[00:02:59.000 --> 00:03:03.000]  究竟是什麼來的?
[00:03:03.000 --> 00:03:08.000]  是H2O,是水來的。
[00:03:08.000 --> 00:03:16.000]  這個化物質的負面影響被人作大了,
[00:03:16.000 --> 00:03:22.000]  就在散佈恐慌,為什麼呢?很簡單而已。
[00:03:22.000 --> 00:03:27.000]  酸雨也是雨,主要成分當然是水,
[00:03:27.000 --> 00:03:34.000]  水在脆弱泥土表面太多,沖散,水土流失。
[00:03:34.000 --> 00:03:38.000]  水蒸氣是溫室效應的其中一種,
[00:03:38.000 --> 00:03:42.000]  水中毒是會的,不過很難,需要很多才行。
[00:03:42.000 --> 00:03:47.000]  末期癌症病人的腫瘤,所有細胞都有水。
[00:03:47.000 --> 00:03:50.000]  講下去,你會發覺離譜。
[00:03:50.000 --> 00:03:57.000]  竟然有些人做了這樣的惡作劇。
[00:03:57.000 --> 00:04:01.000]  不過透過這件事,都值得我們去想一想,
[00:04:01.000 --> 00:04:06.000]  其實在生活上,我們遇到的林林總總的經歷,
[00:04:06.000 --> 00:04:14.000]  究竟我們能否有效分辨哪些是真,哪些是假,
[00:04:14.000 --> 00:04:16.000]  不會被人欺騙了呢?
[00:04:16.000 --> 00:04:23.000]  今天我要跟大家分享這個4G的選擇。
[00:04:23.000 --> 00:04:29.000]  為什麼呢?因為我要分享的幾個重點,
[00:04:29.000 --> 00:04:32.000]  其實在英文聖經的版本,
[00:04:32.000 --> 00:04:37.000]  都是用「G」這個英文字母來開頭的。
[00:04:37.000 --> 00:04:40.000]  究竟我們應該選擇哪一個「G」呢?
[00:04:40.000 --> 00:04:44.000]  我一邊講的時候,你就會明白了。
[00:04:44.000 --> 00:04:50.000]  在文數記的第13章,其實對於以色列文來說,
[00:04:50.000 --> 00:04:52.000]  是一個分水嶺來的。
[00:04:52.000 --> 00:04:56.000]  因為在當中,其實講到他們原本,
[00:04:56.000 --> 00:05:01.000]  已經可以由西乃山起行的了。
[00:05:01.000 --> 00:05:09.000]  不過就是因為在第13至第14章這個片段的發生,
[00:05:09.000 --> 00:05:19.000]  令到他們整個以色列文這一代,就在抗爺地花了40年的時間。
[00:05:19.000 --> 00:05:22.000]  這個經歷,我想告訴大家,
[00:05:22.000 --> 00:05:26.000]  不是單單和以色列文有關,
[00:05:26.000 --> 00:05:30.000]  而是和我們今天的處境都很相似,
[00:05:30.000 --> 00:05:33.000]  可以成為我們的提醒。
[00:05:33.000 --> 00:05:39.000]  整章聖經用了差不多一半的節數,
[00:05:39.000 --> 00:05:42.000]  這裡可以看到第1至第20節,
[00:05:42.000 --> 00:05:49.000]  來交代這個事情發生之前究竟是怎樣的。
[00:05:49.000 --> 00:05:53.000]  我們先看看頭兩節的聖經,
[00:05:53.000 --> 00:05:55.000]  第1至第2節。
[00:05:55.000 --> 00:05:57.000]  經文這樣說:
[00:05:57.000 --> 00:06:03.000]  「耶和華曉諭摩西說:「你打發人去窺探我所刺激以色列人的迦南地,
[00:06:03.000 --> 00:06:09.000]  他們每支派中要打發一個人,都要作首領的。」
[00:06:09.000 --> 00:06:13.000]  如果我們參考生命記的技術,
[00:06:13.000 --> 00:06:20.000]  在第1章21至23節,摩西是這樣說的:
[00:06:20.000 --> 00:06:25.000]  「看啊!耶和華你的神已將那地擺在你面前,
[00:06:25.000 --> 00:06:29.000]  你要照耶和華你列祖的神所說的,
[00:06:29.000 --> 00:06:31.000]  上去得那地為業。
[00:06:31.000 --> 00:06:34.000]  不要懼怕,也不要驚慌!
[00:06:34.000 --> 00:06:39.000]  你們都就近我來說,我們要先打發人去,
[00:06:39.000 --> 00:06:42.000]  為我們窺探那地,
[00:06:42.000 --> 00:06:48.000]  將我們上去該走河道,必進河城,都回報我們。
[00:06:48.000 --> 00:06:54.000]  這話我以為美,就從你們中間選了十二個人,
[00:06:54.000 --> 00:06:56.000]  每支派一人。」
[00:06:56.000 --> 00:07:00.000]  我們將這兩段經文放在一起,
