
[00:00:00.000 --> 00:00:05.200]  各位姐妹今天和大家分享的一個很特別的題目
[00:00:05.200 --> 00:00:07.800]  就是「自制」
[00:00:07.800 --> 00:00:10.960]  很深信在《真言書》裏面
[00:00:10.960 --> 00:00:15.520]  每一句說話都是跟智慧人說的
[00:00:15.520 --> 00:00:18.720]  我們每一個信靠耶穌基督的人
[00:00:18.720 --> 00:00:20.440]  都是有智慧的
[00:00:20.440 --> 00:00:22.080]  我們是智慧人
[00:00:22.080 --> 00:00:26.240]  而「自制」也是智慧人的生命品格
[00:00:26.240 --> 00:00:28.520]  今天和大家分享的經文
[00:00:28.520 --> 00:00:36.040]  是記載在《真言書》第25章16節27至28節
[00:00:36.040 --> 00:00:37.520]  三節經文
[00:00:37.520 --> 00:00:39.800]  短短的三節經文
[00:00:39.800 --> 00:00:42.800]  有很豐富的內容
[00:00:42.800 --> 00:00:48.480]  也是我們說在我們的生活裏面常常遇到
[00:00:48.480 --> 00:00:50.800]  在我們生活的細節裏面
[00:00:50.800 --> 00:00:54.360]  都會經歷的一些事情
[00:00:54.360 --> 00:00:57.680]  我們來讀出這三節經文
[00:00:57.680 --> 00:00:59.320]  預備起
[00:00:59.320 --> 00:01:03.000]  「你得了物嗎?只可吃夠而已
[00:01:03.000 --> 00:01:07.440]  恐怕你過飽就嘔吐出來
[00:01:07.440 --> 00:01:09.600]  吃物過多是不好的
[00:01:09.600 --> 00:01:14.120]  考究自己的榮耀也是可驗的
[00:01:14.120 --> 00:01:16.400]  人不制服自己的心
[00:01:16.400 --> 00:01:22.600]  好像毀壞的誠意沒有償還」
[00:01:22.600 --> 00:01:27.160]  這三節經文收納在《真言書》第25章
[00:01:27.160 --> 00:01:28.800]  從第25章開始
[00:01:28.800 --> 00:01:30.880]  開宗明義說到
[00:01:30.880 --> 00:01:37.720]  由猶大王希西加命人騰祿所羅門王的真言
[00:01:37.720 --> 00:01:39.760]  我們很清楚
[00:01:39.760 --> 00:01:45.280]  因為所羅門王真的寫了很多真言
[00:01:45.280 --> 00:01:52.480]  而希西加王就是命人來騰祿抄寫
[00:01:52.480 --> 00:01:55.680]  我們所認識的希西加王
[00:01:55.680 --> 00:01:59.720]  他是一位幸耶和華眼中捍衛正義的士
[00:01:59.720 --> 00:02:02.960]  效法他祖大為一切所行的君王
[00:02:02.960 --> 00:02:05.080]  聖經給他的讚許
[00:02:05.080 --> 00:02:06.440]  這樣說的
[00:02:06.440 --> 00:02:10.080]  「希西加依靠耶和華以色列的神
[00:02:10.080 --> 00:02:14.080]  在他前後的猶大列王中
[00:02:14.080 --> 00:02:18.640]  沒有一個及他的」
[00:02:18.640 --> 00:02:21.520]  真是很敬虔的君王
[00:02:21.520 --> 00:02:23.880]  而在他的生命歷程裏面
