
[00:00:00.000 --> 00:00:03.140]  好,大兄姐妹,我們繼續今天的主題
[00:00:03.140 --> 00:00:04.740]  過去的三講
[00:00:04.740 --> 00:00:06.740]  兩講,今次第三講
[00:00:06.740 --> 00:00:08.740]  我們講到新天新地
[00:00:08.740 --> 00:00:13.140]  《聖經》裡面啟示了一個世界的觀念
[00:00:13.140 --> 00:00:15.540]  或者怎樣去看我們人生的觀念
[00:00:15.540 --> 00:00:20.940]  不是一個沒完沒了不斷循環的觀念
[00:00:20.940 --> 00:00:24.040]  看我們人生或者看我們世界的歷史
[00:00:24.040 --> 00:00:28.040]  都不是一個沒完沒了一直在循環
[00:00:28.040 --> 00:00:30.040]  好像一首樂章一樣
[00:00:30.040 --> 00:00:32.040]  總是有一個目的地要去的
[00:00:32.040 --> 00:00:34.040]  那個叫coda,或者conclusion
[00:00:34.040 --> 00:00:36.040]  一定會是一條直線
[00:00:36.040 --> 00:00:39.040]  雖然可能有時會重複一些東西
[00:00:39.040 --> 00:00:42.040]  但是到最後會有一個結論
[00:00:42.040 --> 00:00:44.040]  這個就是《聖經》告訴我們有的世界觀
[00:00:44.040 --> 00:00:46.040]  就是新天新地
[00:00:46.040 --> 00:00:48.040]  《聖經》由開始的第一頁
[00:00:48.040 --> 00:00:51.040]  到最後的那兩章
[00:00:51.040 --> 00:00:53.040]  就好像bookend那樣
[00:00:53.040 --> 00:00:56.040]  告訴我們整個的時間表
[00:00:56.040 --> 00:00:59.040]  由頭到尾,上帝是帶領著整個歷史
[00:00:59.040 --> 00:01:01.040]  而在中間發生了什麼事
[00:01:01.040 --> 00:01:03.040]  中間就是耶穌基督來到
[00:01:03.040 --> 00:01:05.040]  祂的誕生,祂的傳道
[00:01:05.040 --> 00:01:08.040]  然後在耶穌眼上,祂寫在十字架上
[00:01:08.040 --> 00:01:11.040]  為我們罪人擔當我們的罪
[00:01:11.040 --> 00:01:13.040]  然後第三天
[00:01:13.040 --> 00:01:15.040]  埋葬之後,祂就復活了
[00:01:15.040 --> 00:01:17.040]  墳墓是空的
[00:01:17.040 --> 00:01:20.040]  然後神的兒子也聖天
[00:01:20.040 --> 00:01:22.040]  現在坐在天上作惑
