
[00:00:00.000 --> 00:00:03.120]  好凍呀,大家有冇喺出面飲杯熱茶先入嚟呀?
[00:00:03.120 --> 00:00:06.140]  我有喎,我覺得好凍
[00:00:06.140 --> 00:00:10.760]  咁呢,我喺香港嘅時候呢,我就同兩個阿姨、姨長呢就飲茶
[00:00:10.760 --> 00:00:13.560]  咁飲茶嘅時候,我同
[00:00:13.560 --> 00:00:17.400]  阿姨長啦、大姨長啦、同大阿姨呢就先到咗
[00:00:17.400 --> 00:00:20.740]  咁呢,我大阿姨呢就必喺十一點之前呢
[00:00:20.740 --> 00:00:22.280]  要嗱嗱聲落點心
[00:00:22.280 --> 00:00:23.300]  知唔知點解呀?
[00:00:23.300 --> 00:00:25.340]  因為有九節囉
[00:00:25.340 --> 00:00:27.400]  咁就嗱嗱聲點咗啦
[00:00:27.640 --> 00:00:31.740]  咁細阿姨、姨長呢就跟住到喇,一到嘅時候呢,阿細阿姨就問
[00:00:31.740 --> 00:00:36.600]  點咗點心未呀?咁大阿姨即刻stop咗,唔好唔好唔好點呀
[00:00:36.600 --> 00:00:38.400]  我已經點咗十樣啦
[00:00:38.400 --> 00:00:41.460]  咁我細阿姨就話,嘩,五個人十樣咁多
[00:00:41.460 --> 00:00:43.780]  咁但係唔緊要
[00:00:43.780 --> 00:00:47.100]  十就十全十美
[00:00:47.100 --> 00:00:50.180]  九呢就長長久久
[00:00:50.180 --> 00:00:52.740]  八呢就大發突發
[00:00:52.740 --> 00:00:55.540]  總之唔係七就得喇
[00:00:55.800 --> 00:00:58.620]  如果係七嘅話呢,加多碟豉油都得嘅
[00:00:58.620 --> 00:01:01.680]  咁我坐喺度聽嘅時候呢,我就覺得
[00:01:01.680 --> 00:01:03.480]  Oh, that is so interesting
[00:01:03.480 --> 00:01:05.020]  咁有趣嘅
[00:01:05.020 --> 00:01:06.040]  咁因為
[00:01:06.040 --> 00:01:07.580]  七呢個號碼
[00:01:07.580 --> 00:01:10.380]  係一個靚number嚟㗎嘛,係咪呀?
[00:01:10.380 --> 00:01:12.700]  對於我哋基督徒嚟講
[00:01:12.700 --> 00:01:14.480]  即係呢個係個靚number
[00:01:14.480 --> 00:01:16.780]  喺聖經裏面呢係代表
[00:01:16.780 --> 00:01:17.820]  完全
[00:01:17.820 --> 00:01:19.100]  圓滿
[00:01:19.100 --> 00:01:20.880]  完成嘅狀態
[00:01:20.880 --> 00:01:24.220]  呢個觀念呢係源自創造㗎
[00:01:24.460 --> 00:01:27.520]  喺成本聖經裏面呢係不停咁樣去出現㗎
[00:01:27.520 --> 00:01:30.340]  咁呢亦都咁啱呢
[00:01:30.340 --> 00:01:32.140]  我今次呢係講
[00:01:32.140 --> 00:01:34.180]  傳道書三章
[00:01:34.180 --> 00:01:38.020]  呢段經文裏面呢就正正係有一首詩呢
[00:01:38.020 --> 00:01:39.820]  就有七對
[00:01:39.820 --> 00:01:41.600]  相對嘅句子
[00:01:41.600 --> 00:01:46.980]  描述人生裏面唔同時間裏面嘅一啲狀態
[00:01:46.980 --> 00:01:52.100]  咁我係咁易講返傳道書一至二章講過啲乜嘢先
[00:01:52.360 --> 00:01:56.700]  傳道者呢就用智慧去尋求滿足嘛記唔記得
[00:01:56.700 --> 00:01:59.260]  佢嘗試去搵人生意義
[00:01:59.260 --> 00:02:02.340]  最終係發覺喺呢個日光之下
[00:02:02.340 --> 00:02:04.900]  所有嘢呢都係好短暫㗎
[00:02:04.900 --> 00:02:05.920]  come
[00:02:05.920 --> 00:02:06.940]  and gone
[00:02:06.940 --> 00:02:09.500]  咁好尋好尋
[00:02:09.500 --> 00:02:12.320]  直至最尾嗰兩節呀
[00:02:12.320 --> 00:02:15.140]  將我哋嘅眼光呢帶返去邊呀
[00:02:15.140 --> 00:02:17.960]  帶返去我哋嘅飯檯上面
[00:02:17.960 --> 00:02:19.240]  而將
[00:02:19.740 --> 00:02:23.320]  二十四至廿五節佢話咩呀人最好
[00:02:23.320 --> 00:02:24.340]  是吃喝
[00:02:24.340 --> 00:02:27.940]  在自己嘅勞碌中自得其樂
[00:02:27.940 --> 00:02:29.460]  Oh by the way
[00:02:29.460 --> 00:02:32.280]  這也是出於神的手
[00:02:32.280 --> 00:02:36.120]  唔好忘記添喎離開了他
[00:02:36.120 --> 00:02:38.180]  誰能有吃的呢
[00:02:38.180 --> 00:02:39.460]  誰能
[00:02:39.460 --> 00:02:40.480]  享樂呢
[00:02:40.480 --> 00:02:43.540]  嚟到第三章呢度呢
[00:02:43.540 --> 00:02:46.360]  傳道者就講緊一啲
[00:02:46.360 --> 00:02:49.700]  好似既定時間會發生嘅事情
[00:02:50.460 --> 00:02:53.020]  而去到三章十四節嗰度呢
[00:02:53.020 --> 00:02:56.600]  再一次提起一個我哋成日聽到嘅
[00:02:56.600 --> 00:02:57.640]  概念呀
[00:02:57.640 --> 00:02:59.420]  敬畏神
[00:02:59.420 --> 00:03:00.960]  Fear God
[00:03:00.960 --> 00:03:06.080]  今日呢我想藉住傳道書三章一至十五節
[00:03:06.080 --> 00:03:08.640]  同大家去思考
[00:03:08.640 --> 00:03:09.920]  兩個問題
[00:03:09.920 --> 00:03:15.300]  萬事都有定期
[00:03:15.300 --> 00:03:18.880]  天下萬物都有定時
[00:03:19.140 --> 00:03:22.220]  如果神已經安排曬所有嘅嘢
[00:03:22.220 --> 00:03:25.280]  所有嘢都有神嘅時間
[00:03:25.280 --> 00:03:28.360]  咁我哋人其實係咪仲有選擇嘅呢
[00:03:28.360 --> 00:03:32.460]  如果係咁嘅時候我哋仲
[00:03:32.460 --> 00:03:33.740]  即係咁努力
[00:03:33.740 --> 00:03:35.020]  做乜嘢呢
[00:03:35.020 --> 00:03:43.200]  呢段經文再一次提到敬畏神呢個概念
[00:03:43.200 --> 00:03:47.300]  其實敬畏神係咩意思呀
[00:03:48.080 --> 00:03:51.140]  我哋點樣先叫做係敬畏神呢
[00:03:51.140 --> 00:03:58.560]  仲有喎喺呢段經文裏面嗰個敬畏神呢同呢個凡事都有定期
[00:03:58.560 --> 00:04:01.140]  天下萬物都有定時
[00:04:01.140 --> 00:04:02.920]  有咩關係㗎呢
[00:04:02.920 --> 00:04:06.760]  咁我先同大家讀一讀
[00:04:06.760 --> 00:04:08.040]  呢段經文
[00:04:08.040 --> 00:04:11.120]  傳道書三章一至八節
[00:04:11.120 --> 00:04:14.180]  佢話萬事都有定期天下萬物
[00:04:14.180 --> 00:04:15.460]  都有定時
[00:04:15.460 --> 00:04:17.780]  生有時死有時
[00:04:18.020 --> 00:04:19.040]  栽種有時
[00:04:19.040 --> 00:04:21.340]  拔出所種的也有時
[00:04:21.340 --> 00:04:22.880]  殺戮有時
[00:04:22.880 --> 00:04:25.180]  醫治有時拆毀有時
[00:04:25.180 --> 00:04:26.720]  建造有時
[00:04:26.720 --> 00:04:28.780]  哭有時笑有時
[00:04:28.780 --> 00:04:30.060]  哀動有時
[00:04:30.060 --> 00:04:32.360]  踰躍有時
[00:04:32.360 --> 00:04:34.660]  拋擲石頭有時
[00:04:34.660 --> 00:04:37.740]  堆砌石頭有時擁抱有時
[00:04:37.740 --> 00:04:39.260]  避免擁抱有時
[00:04:39.260 --> 00:04:40.800]  尋找有時
[00:04:40.800 --> 00:04:42.080]  捨棄有時
[00:04:42.080 --> 00:04:44.640]  保存有時捨棄有時
[00:04:44.640 --> 00:04:46.020]  施力有時
[00:04:46.020 --> 00:04:47.460]  逢補有時
[00:04:47.720 --> 00:04:50.020]  靜默有時講話有時
[00:04:50.020 --> 00:04:54.880]  愛有時恨有時戰爭有時和平有時
[00:04:54.880 --> 00:05:00.520]  可能咁你離開之後個腦裏面呢就不斷轉住呢個有時有時有時有時
[00:05:00.520 --> 00:05:07.440]  第三章一開始啦其實佢係同前面嗰兩章係有啲唔同好似
[00:05:07.440 --> 00:05:08.960]  有一個新嘅段落
[00:05:08.960 --> 00:05:12.560]  呢八節裏面呢有七對嘅對立面
[00:05:12.560 --> 00:05:14.600]  講到生死啦
[00:05:14.600 --> 00:05:16.640]  栽種拔出啦
[00:05:17.160 --> 00:05:18.440]  哭笑等等
[00:05:18.440 --> 00:05:21.000]  喺呢度呢七對對立
[00:05:21.000 --> 00:05:24.840]  免係希伯來斯歌一個典型嘅特徵呀
[00:05:24.840 --> 00:05:27.900]  對古代希伯來斯人嚟講呢
[00:05:27.900 --> 00:05:30.720]  係代表圓滿
