
[00:00:00.000 --> 00:00:08.000]  第五案 按照教會在主日講道的安排
[00:00:08.000 --> 00:00:14.000]  這個星期就去到聖本督會規第五和第六條
[00:00:14.000 --> 00:00:17.000]  聖本督在這兩條的會規裏面
[00:00:17.000 --> 00:00:23.000]  就引用了《耳福所書》第四章二十八至三十二節
[00:00:23.000 --> 00:00:26.000]  如果我們看一看這段聖經的上文
[00:00:26.000 --> 00:00:28.000]  即是十七至二十四節
[00:00:28.000 --> 00:00:33.000]  其實就告訴我們原來在信徒生活裏面
[00:00:33.000 --> 00:00:37.000]  我們需要脫去舊人 穿上新人
[00:00:37.000 --> 00:00:41.000]  然後在第四章剩下來的篇幅
[00:00:41.000 --> 00:00:45.000]  本來就教導群體
[00:00:45.000 --> 00:00:50.000]  怎樣在屬靈的功課上的實踐
[00:00:50.000 --> 00:00:54.000]  升職差不多去到農曆新年
[00:00:54.000 --> 00:00:57.000]  我們又剛剛過了新曆新年
[00:00:57.000 --> 00:01:00.000]  其實這個都是一個很好的機會
[00:01:00.000 --> 00:01:05.000]  來給我們看看新幾年在信仰的實踐上
[00:01:05.000 --> 00:01:07.000]  我們可以怎樣做
[00:01:07.000 --> 00:01:12.000]  聖本督是被稱為西方修道運動之父
[00:01:12.000 --> 00:01:15.000]  在較早期的歷史裏面
[00:01:15.000 --> 00:01:19.000]  修道主義是佔了一個相當重要的環節
[00:01:19.000 --> 00:01:23.000]  其實他是來自主後三世紀期間
[00:01:23.000 --> 00:01:27.000]  在埃及的偏遠山區和敘利亞的東道
[00:01:27.000 --> 00:01:37.000]  當時有一些信徒選擇了離開一個充滿罪惡和紛亂的社會
[00:01:37.000 --> 00:01:42.000]  於是他們就有些人去到沙漠當中
[00:01:42.000 --> 00:01:44.000]  來到有苦修的生活
[00:01:44.000 --> 00:01:47.000]  但是對於那些沒有那麼極端的信徒
[00:01:47.000 --> 00:01:50.000]  他們就選擇離開大城市
[00:01:50.000 --> 00:01:53.000]  但是仍然有一班志同道合的人
[00:01:53.000 --> 00:01:58.000]  和他們一起去過一個群體的修道生活
[00:01:58.000 --> 00:02:02.000]  如果你在外國旅行的時候有參觀過這些修道院
[00:02:02.000 --> 00:02:06.000]  你可能會發現其實這些建築物本身
[00:02:06.000 --> 00:02:10.000]  它的結構都是反映著一個這樣的觀念
[00:02:10.000 --> 00:02:17.000]  複合性的建築物通常在外牆是很高的
[00:02:17.000 --> 00:02:23.000]  強調他們是要與世隔絕和撤離世界的一個世界觀
[00:02:23.000 --> 00:02:29.000]  聖管督的會區是以無條件的追隨耶穌基督為中心
[00:02:29.000 --> 00:02:36.000]  但是由於他是一個比較適度平衡和全面的修道操練
[00:02:36.000 --> 00:02:38.000]  所以去到六世紀的時候
[00:02:38.000 --> 00:02:44.000]  就成為了皇后修道生活的一個基本的指南
[00:02:44.000 --> 00:02:49.000]  由於他很多次去引述新約不同的聖經
[00:02:49.000 --> 00:02:53.000]  所以有一個十七世紀的法國神學家
[00:02:53.000 --> 00:02:58.000]  甚至說聖管督的會區好像是福音的縮影
[00:02:58.000 --> 00:03:05.000]  他不覺得一個極端的苦修生活是合宜的
[00:03:05.000 --> 00:03:09.000]  所以他強調除了要過一個有紀律的生活之外
[00:03:09.000 --> 00:03:14.000]  他仍然需要出世並且入世
[00:03:14.000 --> 00:03:18.000]  他的會區主要分成為兩個的部分
[00:03:18.000 --> 00:03:24.000]  由他的序言去到第七章是說關於一些屬靈的教義
[00:03:24.000 --> 00:03:28.000]  從第八章開始去到七十三章
[00:03:28.000 --> 00:03:33.000]  分長的篇幅是說到修軟的生活和紀律
[00:03:33.000 --> 00:03:37.000]  當你在篇幅的比例上面一看
[00:03:37.000 --> 00:03:45.000]  你就會知道其實他是多麼重視信仰上的經歷和實踐
[00:03:45.000 --> 00:03:48.000]  當我們聽聽他所說的第四章的後半部分
[00:03:48.000 --> 00:03:50.000]  即是二十五至三十二節
[00:03:50.000 --> 00:03:54.000]  其實保羅在這裡提出了六項的規矩
[00:03:54.000 --> 00:03:58.000]  需要信徒去脫去和穿上的
[00:03:58.000 --> 00:04:01.000]  但因為聖管督的會區第五至第六條
[00:04:01.000 --> 00:04:05.000]  主要是集中在二十八至三十二節
[00:04:05.000 --> 00:04:11.000]  所以今天的訊息只是圍繞這五節的經文和大家分享
[00:04:11.000 --> 00:04:15.000]  剛才牧師和我們一起讀過這五節的經文
[00:04:15.000 --> 00:04:22.000]  但我今天用的是一個新漢語譯本和大家分享
[00:04:22.000 --> 00:04:24.000]  剛才讀的時候聽到
[00:04:24.000 --> 00:04:28.000]  我不知道你是否覺得這幾節的經文好像很獨立
[00:04:28.000 --> 00:04:30.000]  簡單來說好像沒什麼關係
[00:04:30.000 --> 00:04:39.000]  但如果你仔細去看就會看到保羅其實用了一個相當固定的格式來寫
[00:04:39.000 --> 00:04:42.000]  這個格式分成三個部分
[00:04:42.000 --> 00:04:45.000]  第一個部分是一個消極的禁令
[00:04:45.000 --> 00:04:51.000]  換句話說是告訴他們救人的樣式是怎樣的
[00:04:51.000 --> 00:04:54.000]  然後他有一個積極的訓誨
[00:04:54.000 --> 00:05:01.000]  告訴他們不要這樣了 你作為一個新人你應該有什麼樣的行為樣式
