
[00:00:00.000 --> 00:00:02.160]  歡迎大家來到我們的「週六崇拜」
[00:00:02.160 --> 00:00:07.080]  上年12月,我們開始了一個新的港島系列
[00:00:07.080 --> 00:00:11.840]  我們要宣講的是《舊約聖經》裡面的《彈爾里書》
[00:00:11.840 --> 00:00:18.040]  我們宣講的系列題目叫做《在巴比倫等待君王》
[00:00:18.040 --> 00:00:23.720]  有不少人誤以為《彈爾里書》是一本普通的兒童故事書
[00:00:23.720 --> 00:00:28.560]  但是其實它是一本精挑細奪的文學作品
[00:00:29.440 --> 00:00:33.760]  整本書的主題是致死忠心見證天國
[00:00:33.760 --> 00:00:37.280]  由一系列的天國異象所組成
[00:00:37.280 --> 00:00:42.160]  再緊緊包住兩個忠心致死的見證
[00:00:42.160 --> 00:00:44.400]  就是烈火堯的故事
[00:00:44.400 --> 00:00:47.080]  獅子坑的故事
[00:00:47.080 --> 00:00:51.640]  有趣的是在整本書的中心部位
[00:00:51.640 --> 00:00:59.400]  作者故意擺放了兩個外邦君王受審判的故事
[00:01:00.440 --> 00:01:05.600]  一個是尼布格尼薩王受審判的故事
[00:01:05.600 --> 00:01:09.880]  另一個是伯沙薩王受審判的故事
[00:01:09.880 --> 00:01:13.400]  表面上作者好像想告訴我們
[00:01:13.400 --> 00:01:15.840]  至高者耶和華掌權
[00:01:15.840 --> 00:01:20.560]  他要審判所有外邦的君王、外邦的國度
[00:01:20.560 --> 00:01:25.160]  於是如果你屬於上帝的子民
[00:01:25.440 --> 00:01:29.520]  他一定會保守你、一定會拯救你
[00:01:29.520 --> 00:01:31.720]  出你的危難
[00:01:31.720 --> 00:01:37.120]  但是當我們仔細去思想這兩個故事的時候
[00:01:37.120 --> 00:01:40.320]  我們發現原來這兩個故事的矛頭
[00:01:40.320 --> 00:01:43.720]  是指向當時的以色列人
[00:01:43.720 --> 00:01:47.360]  這兩個故事不是給他們一些安慰
[00:01:47.360 --> 00:01:50.240]  而是給他們警告
[00:01:50.240 --> 00:01:53.160]  在達爾里書第四章裏面
[00:01:53.160 --> 00:01:58.880]  上帝通過他對尼布格尼薩的雙重命令
[00:01:58.880 --> 00:02:00.200]  A double command
[00:02:00.200 --> 00:02:01.360]  命令是甚麼?
[00:02:01.360 --> 00:02:04.400]  砍大樹、流殘幹
[00:02:04.400 --> 00:02:07.640]  還有尼布格尼薩那個人變獸
[00:02:07.640 --> 00:02:11.080]  後來又獸變回人的故事情節
[00:02:11.080 --> 00:02:13.120]  他通過這個故事
[00:02:13.120 --> 00:02:16.920]  通過他雙重的命令
[00:02:16.920 --> 00:02:19.600]  去呼籲眾人
[00:02:19.600 --> 00:02:23.160]  因為那段聖經其實是亞蘭文所寫的
[00:02:23.160 --> 00:02:25.040]  再不是希伯來文那麼簡單
[00:02:25.040 --> 00:02:28.000]  是當時的英文、當時的國際語言
[00:02:28.000 --> 00:02:31.880]  他呼籲眾人、萬民
[00:02:31.880 --> 00:02:34.240]  尤其是上帝的子民
[00:02:34.240 --> 00:02:37.320]  要悔改、要仰望上帝
[00:02:37.320 --> 00:02:42.200]  要跟隨那個卑微十字架上面的耶穌基督
[00:02:42.200 --> 00:02:45.680]  要逃離妖獸的都市
[00:02:45.680 --> 00:02:49.440]  要進入人子 son of man
[00:02:49.680 --> 00:02:51.400]  人子的國度
