
[00:00:00.000 --> 00:00:05.000]  禁食禱告主要的焦點是禱告
[00:00:05.000 --> 00:00:09.000]  不過這個禱告和公禱、私禱、默禱不同
[00:00:09.000 --> 00:00:12.000]  就是和禁食連在一起
[00:00:12.000 --> 00:00:18.000]  很簡單來說禁食就是為了將事務擺開
[00:00:18.000 --> 00:00:20.000]  專注在禱告
[00:00:20.000 --> 00:00:22.000]  無論藉著禱告來親近神
[00:00:22.000 --> 00:00:26.000]  無論藉著禱告來祈求一件事情的成就
[00:00:26.000 --> 00:00:31.000]  或者是面對危機祈求復興
[00:00:31.000 --> 00:00:33.000]  什麼是禁食呢?
[00:00:33.000 --> 00:00:37.000]  簡單來說就是一種屬靈的操練
[00:00:37.000 --> 00:00:41.000]  有一位靈修學的專家叫做Richard Forster
[00:00:41.000 --> 00:00:43.000]  中文譯作富士德
[00:00:43.000 --> 00:00:48.000]  他寫了一本可以說是挺經典的名著
[00:00:48.000 --> 00:00:52.000]  叫做Celebration of Spiritual Discipline
[00:00:52.000 --> 00:00:55.000]  就是屬靈操練的禮讚
[00:00:55.000 --> 00:01:00.000]  他引用了約翰·魏斯利這個很有名的人
[00:01:00.000 --> 00:01:02.000]  說了一句話
[00:01:02.000 --> 00:01:04.000]  他說有人將宗教的禁食
[00:01:04.000 --> 00:01:08.000]  抬高超乎聖經和理性
[00:01:08.000 --> 00:01:12.000]  但是也有人將它置之不理
[00:01:12.000 --> 00:01:14.000]  為什麼會這樣呢?
[00:01:14.000 --> 00:01:17.000]  他的分析認為有兩種原因
[00:01:17.000 --> 00:01:22.000]  第一種原因是我們對過往中世紀千多年的時間
[00:01:22.000 --> 00:01:25.000]  修道主義、神秘主義
[00:01:25.000 --> 00:01:30.000]  過分強調個人的刻苦和禁食
[00:01:30.000 --> 00:01:35.000]  以致我們對禁食這種操練有一種負面的影響
[00:01:35.000 --> 00:01:37.000]  但另一方面
[00:01:37.000 --> 00:01:41.000]  現代人覺得不單止心理上
[00:01:41.000 --> 00:01:48.000]  而是身體上一些與生俱來的那種欲望和需要
[00:01:48.000 --> 00:01:50.000]  是不應該去壓抑
[00:01:50.000 --> 00:01:54.000]  應該按照上帝給我們的恩典去滿足
[00:01:54.000 --> 00:01:58.000]  你口渴已經不只是喝水
[00:01:58.000 --> 00:02:00.000]  而是喝礦泉水
[00:02:00.000 --> 00:02:04.000]  也在喝烏龍茶
[00:02:04.000 --> 00:02:07.000]  甚至是喝一些白酒、紅酒
[00:02:07.000 --> 00:02:09.000]  不同的果汁
[00:02:09.000 --> 00:02:12.000]  你肚餓已經不是吃飯、吃麵包
[00:02:12.000 --> 00:02:15.000]  而是吃魚翅、吃鮑魚
[00:02:15.000 --> 00:02:19.000]  吃佛跳牆等等的東西
[00:02:19.000 --> 00:02:25.000]  因此我們就像一個鐘擺矯枉過程一樣
[00:02:25.000 --> 00:02:29.000]  令我們今天對很多聖經和傳統裏面
[00:02:29.000 --> 00:02:33.000]  在屬靈上有造就的操練
[00:02:33.000 --> 00:02:35.000]  我們置之不顧
[00:02:35.000 --> 00:02:39.000]  但聖經有無數的例子講及禁食
[00:02:39.000 --> 00:02:41.000]  所以我們今天
[00:02:41.000 --> 00:02:46.000]  趁著本督會的會規所訂定的課題
[00:02:46.000 --> 00:02:48.000]  我們來思想
[00:02:48.000 --> 00:02:50.000]  我們要澄清兩件事
[00:02:50.000 --> 00:02:56.000]  因為我們很容易將禁食當作另外一種操練
[00:02:56.000 --> 00:02:57.000]  第一
[00:02:57.000 --> 00:03:01.000]  我們將禁食當作一種保健方法
[00:03:01.000 --> 00:03:05.000]  有些人的起居生活和飲食習慣
[00:03:05.000 --> 00:03:07.000]  已經非常健康
[00:03:07.000 --> 00:03:14.000]  包括用清水果汁代替茶酒咖啡
[00:03:14.000 --> 00:03:22.000]  以瓜果蔬菜代替紅肉、肥膏、包刺、補品
[00:03:22.000 --> 00:03:24.000]  他們要實行
[00:03:24.000 --> 00:03:28.000]  《針言》十五章十七節所講的說話
[00:03:28.000 --> 00:03:31.000]  吃素菜彼此相愛
[00:03:31.000 --> 00:03:35.000]  強於吃肥牛彼此相酬
[00:03:35.000 --> 00:03:41.000]  但是這是節食不是禁食
[00:03:41.000 --> 00:03:43.000]  也有些人不吃飯
[00:03:43.000 --> 00:03:49.000]  是要達到一個他認為有善的目的
[00:03:49.000 --> 00:03:50.000]  譬如說
[00:03:50.000 --> 00:03:54.000]  有人為某些機構
[00:03:54.000 --> 00:03:58.000]  為非洲那些飢餓的兒童
[00:03:58.000 --> 00:04:01.000]  在寄30的籌款
[00:04:01.000 --> 00:04:07.000]  當你30個小時原本要消費那些食物的錢
[00:04:07.000 --> 00:04:15.000]  包括在巴士站附近那塊很漂亮的steak
[00:04:15.000 --> 00:04:16.000]  二三百元
[00:04:16.000 --> 00:04:18.000]  你本來想去吃不吃
[00:04:18.000 --> 00:04:21.000]  你將那二三百元放了下來捐
[00:04:21.000 --> 00:04:24.000]  或者你很想去四季
[00:04:24.000 --> 00:04:27.000]  吃個休閒一點的早餐
[00:04:27.000 --> 00:04:29.000]  至少百多元
[00:04:29.000 --> 00:04:31.000]  或者你去宵夜
[00:04:31.000 --> 00:04:35.000]  去喝碗糖水各樣東西
[00:04:35.000 --> 00:04:39.000]  但是這個是在寄30
[00:04:39.000 --> 00:04:41.000]  不是禁食40
[00:04:41.000 --> 00:04:46.000]  甚至有些人認為他為更加崇高的一些東西
[00:04:46.000 --> 00:04:48.000]  有政治的訴求
[00:04:48.000 --> 00:04:50.000]  有所謂hunger strike
[00:04:50.000 --> 00:04:52.000]  這個是絕食
[00:04:52.000 --> 00:04:54.000]  也不是禁食
[00:04:54.000 --> 00:04:59.000]  無論你節食素食不食等等
[00:04:59.000 --> 00:05:00.000]  都不是禁食
[00:05:00.000 --> 00:05:02.000]  我們所講的禁食
[00:05:02.000 --> 00:05:07.000]  是為了一個宗教信仰的理由
[00:05:07.000 --> 00:05:11.000]  而這個不吃的原因是為了專注
[00:05:11.000 --> 00:05:13.000]  而在不吃當中
[00:05:13.000 --> 00:05:15.000]  我們不做其他的事
