
[00:00:00.000 --> 00:00:04.880]  在這段日子我們經歷了很多停留
[00:00:04.880 --> 00:00:06.640]  在這段日子我們
[00:00:06.640 --> 00:00:10.520]  在很多不在我們計劃當中出現的事件
[00:00:10.520 --> 00:00:15.000]  讓我們無法不改變一下我們的行程
[00:00:15.000 --> 00:00:16.920]  我不知道這幾個星期對你來說
[00:00:16.920 --> 00:00:18.920]  最大的影響是什麼
[00:00:18.920 --> 00:00:20.800]  或者是Work from home
[00:00:20.800 --> 00:00:24.240]  或者是有些計劃要停留
[00:00:24.240 --> 00:00:26.760]  甚至乎可能生意上的損失
[00:00:26.760 --> 00:00:28.480]  兒女不能夠上學
[00:00:28.480 --> 00:00:33.480]  在家裏你會覺得困擾到
[00:00:33.480 --> 00:00:35.000]  人很可愛
[00:00:35.000 --> 00:00:37.160]  我們總是不斷地用智慧
[00:00:37.160 --> 00:00:38.360]  用方法
[00:00:38.360 --> 00:00:39.840]  用我們很多的辦法
[00:00:39.840 --> 00:00:41.840]  讓我們的腦能夠通順
[00:00:41.840 --> 00:00:45.840]  讓我們的計劃能夠成就
[00:00:45.840 --> 00:00:48.640]  停留
[00:00:48.640 --> 00:00:51.840]  那停留要停下來
[00:00:51.840 --> 00:00:55.800]  或者是上帝給我們一個經歷
[00:00:55.800 --> 00:00:58.560]  但是停留最終的目的
[00:00:58.560 --> 00:01:00.560]  在神的恩典裏面
[00:01:00.560 --> 00:01:03.360]  不是叫我們停下來
[00:01:03.360 --> 00:01:06.760]  被打倒挫折
[00:01:06.760 --> 00:01:09.760]  上帝是要我們進入一個新的靈魂
[00:01:09.760 --> 00:01:11.640]  然後再拿起腦
[00:01:11.640 --> 00:01:13.880]  重新出發
[00:01:13.880 --> 00:01:18.200]  今天我們從耶利米埃哥當中去思想
[00:01:18.200 --> 00:01:19.640]  在這個民族
[00:01:19.640 --> 00:01:21.640]  意思是民族去面對
[00:01:21.640 --> 00:01:24.720]  他們由所羅門之後
[00:01:24.720 --> 00:01:26.000]  他們兩國
[00:01:26.000 --> 00:01:27.440]  一個國要分開兩邊
[00:01:27.440 --> 00:01:30.600]  以色列國和猶太國
[00:01:30.600 --> 00:01:32.240]  以色列國是亡國
[00:01:32.240 --> 00:01:34.720]  猶太國僅存在當中
[00:01:34.720 --> 00:01:38.000]  但是透過耶利米埃哥一生的經歷
[00:01:38.000 --> 00:01:39.520]  他讓我們明白
[00:01:39.520 --> 00:01:41.200]  更深去知道
[00:01:41.200 --> 00:01:42.800]  上帝在我們人生
[00:01:42.800 --> 00:01:43.920]  在一個國度
[00:01:43.920 --> 00:01:46.400]  在屬神的子民裏面有祂的帶領
[00:01:46.400 --> 00:01:48.000]  我們一起看聖經
[00:01:48.000 --> 00:01:49.400]  這裏這樣說
[00:01:49.400 --> 00:01:51.160]  先前滿有人民的城
[00:01:51.160 --> 00:01:53.640]  現在何竟獨坐
[00:01:53.640 --> 00:01:55.400]  耶利米埃哥一開始
[00:01:55.400 --> 00:01:57.000]  就用一個字詞
[00:01:57.000 --> 00:02:00.720]  或者他多次在他那五章經文裏面
[00:02:00.720 --> 00:02:01.640]  都用一個字
[00:02:01.640 --> 00:02:03.080]  何竟是這樣
[00:02:03.080 --> 00:02:04.240]  爲什麼
