
[00:00:00.000 --> 00:00:04.200]  經文有些長,多謝大家讀了我這麼久
[00:00:04.200 --> 00:00:09.520]  正如剛才所說,這段經文其實就是耶穌在地上傳道時
[00:00:09.520 --> 00:00:12.120]  那麼多個比喻中的其中一個
[00:00:12.120 --> 00:00:15.560]  如果大家有看聖經的話,大家說去都知道
[00:00:15.560 --> 00:00:19.280]  耶穌很喜歡將一些天國的道理
[00:00:19.280 --> 00:00:24.560]  用一些日常生活的例子,用比喻的方式去表達出來
[00:00:24.560 --> 00:00:29.520]  祂的目的是為了讓聽到的人可以更加容易明白
[00:00:29.520 --> 00:00:31.920]  更加容易理解到
[00:00:31.920 --> 00:00:34.600]  而每當耶穌去講比喻的時候
[00:00:34.600 --> 00:00:38.080]  祂當然不會說失敬無神,不如先講個比喻
[00:00:38.080 --> 00:00:40.000]  正常人都不會這樣做,是嗎?
[00:00:40.000 --> 00:00:42.160]  通常都是有起因的
[00:00:42.160 --> 00:00:48.440]  起因就是可能祂在群眾裡面有人向祂提出疑問
[00:00:48.440 --> 00:00:51.120]  又或者可能在現場裡面
[00:00:51.120 --> 00:00:54.840]  有些事情發生了,需要耶穌去回應
[00:00:54.840 --> 00:00:58.880]  然後耶穌就會用比喻的方式去回應這些問題
[00:00:58.880 --> 00:01:01.120]  又或者這些事情
[00:01:01.120 --> 00:01:07.000]  而且很多時候,在比喻之後會有一個更加深入的解釋
[00:01:07.000 --> 00:01:14.240]  不過,這部分的講的對象通常都只是限於祂的門徒
[00:01:14.240 --> 00:01:17.320]  而我們今天剛剛一起讀的經文
[00:01:17.320 --> 00:01:23.200]  我同樣會按著起因、比喻內容和今日的講解這三部分
[00:01:23.200 --> 00:01:26.120]  作為我三個要點去跟大家分享
[00:01:26.120 --> 00:01:31.040]  我們先看一下這個比喻的起因
[00:01:31.040 --> 00:01:32.880]  故事一開始就說
[00:01:32.880 --> 00:01:35.160]  當時有一個人來到耶穌面前
[00:01:35.160 --> 00:01:39.720]  他要求耶穌為他們兄弟二人去分家業
[00:01:39.720 --> 00:01:42.480]  其實在經文裡面沒有交代過
[00:01:42.480 --> 00:01:45.280]  究竟這個人和他的兄長之間
[00:01:45.280 --> 00:01:47.600]  他們究竟爭拗的是什麼
[00:01:47.600 --> 00:01:50.080]  是不是因為爸爸過世之前
[00:01:50.080 --> 00:01:52.240]  他未立好遺囑
[00:01:52.240 --> 00:01:56.840]  抑或究竟是不是他的兄長沒有按照他爸爸的遺囑
[00:01:56.840 --> 00:01:58.840]  按照遺囑所說的
[00:01:58.840 --> 00:02:00.920]  將他應得的那份分給他
[00:02:00.920 --> 00:02:02.080]  是不是這些呢?
[00:02:02.080 --> 00:02:03.480]  我們不知道
[00:02:03.480 --> 00:02:06.600]  但是聖經裡面提到的是
[00:02:06.600 --> 00:02:08.600]  他來到耶穌的面前
[00:02:08.600 --> 00:02:12.160]  他要求耶穌為他主持公道
[00:02:12.160 --> 00:02:14.200]  可能大家都會想
[00:02:14.200 --> 00:02:17.760]  為什麼要分家產這件事
[00:02:17.760 --> 00:02:20.320]  都要來找耶穌呢?
[00:02:20.320 --> 00:02:25.560]  如果我們看文素和生命的一些經文
[00:02:25.560 --> 00:02:29.440]  你會發現其實處理家業這件事
[00:02:29.440 --> 00:02:34.320]  正正是摩西律法裡面其中一個很大的課題
[00:02:34.320 --> 00:02:36.400]  而在耶穌時代
[00:02:36.400 --> 00:02:41.680]  詮釋摩西律法也正正是那些猶太拉比要做的一件事
[00:02:41.680 --> 00:02:43.320]  是他們的責任
[00:02:43.320 --> 00:02:45.720]  所以我們在經文裡面看到的就是
[00:02:45.720 --> 00:02:47.720]  這個人一來到耶穌面前
[00:02:47.720 --> 00:02:50.640]  他正在稱呼耶穌為夫子
[00:02:50.640 --> 00:02:52.920]  也就是老師的意思
[00:02:52.920 --> 00:02:55.160]  他正正期望的是
[00:02:55.160 --> 00:02:59.600]  耶穌可以像那些一貫的拉比一樣
[00:02:59.600 --> 00:03:03.960]  會按照摩西律法去為他和兄長
[00:03:03.960 --> 00:03:07.400]  去解決他們之間的紛爭
[00:03:07.400 --> 00:03:09.200]  不過事原原為的是
[00:03:09.200 --> 00:03:12.360]  耶穌沒有順著他所想的去做
[00:03:12.360 --> 00:03:18.040]  反而是帶有一點點斥責意味的去反問這個人
