
[00:00:00.000 --> 00:00:04.980]  約書亞記我們已經去到最後的一個訊息
[00:00:04.980 --> 00:00:09.020]  今天我要講的是約書亞的遺言
[00:00:09.020 --> 00:00:14.680]  約書亞說:「我和我的家必定侍奉耶和華」
[00:00:14.680 --> 00:00:20.000]  這一句話在《約書亞記》的二十四章十五節
[00:00:20.000 --> 00:00:24.900]  可以說得是約書亞記裡面最出名的一句名言
[00:00:26.860 --> 00:00:32.940]  其實約書亞記裡面一開始一結束都是一個喪禮
[00:00:32.940 --> 00:00:36.280]  開始的時候是摩西的喪禮
[00:00:36.280 --> 00:00:40.400]  現在結束的時候是約書亞的喪禮
[00:00:40.400 --> 00:00:43.160]  就在兩個喪禮之間
[00:00:43.160 --> 00:00:47.500]  以色列人是靠著神的力量能夠戰勝敵人
[00:00:47.500 --> 00:00:49.040]  征服迦南
[00:00:49.040 --> 00:00:51.540]  已經也是分了地
[00:00:51.540 --> 00:00:53.320]  毫無疑問
[00:00:53.320 --> 00:00:58.500]  約書亞記最後一章二十四章講述侍奉
[00:00:58.500 --> 00:01:01.660]  所以我們今天很感謝Winnie和Peter
[00:01:01.660 --> 00:01:03.740]  為我們揀選這麼好的聖詩
[00:01:03.740 --> 00:01:08.320]  很多都是關於「侍奉」和將最好的獻給神
[00:01:08.320 --> 00:01:14.360]  我們怎知道這一章書最重要的訊息是「侍奉」
[00:01:14.360 --> 00:01:19.320]  因為「侍奉」這個字在經文裡面出現了十六次
[00:01:19.500 --> 00:01:23.540]  所以我們知道「侍奉」是二十四章的主題
[00:01:23.540 --> 00:01:28.640]  另外有一個名字出現二十一次
[00:01:28.640 --> 00:01:30.600]  是「耶和華」
[00:01:30.600 --> 00:01:34.500]  所以我們知道「侍奉」的目標
[00:01:34.500 --> 00:01:36.800]  我們侍奉的對象是神
[00:01:36.800 --> 00:01:38.840]  是耶和華自己
[00:01:38.840 --> 00:01:40.940]  你說不是啊 牧師
[00:01:40.940 --> 00:01:45.360]  我在和合本找到二十三個耶和華
[00:01:45.360 --> 00:01:48.940]  有兩次是和合本自己加了上去
[00:01:48.940 --> 00:01:51.380]  一共應該是二十一次
[00:01:51.380 --> 00:01:53.860]  很多時候我們的生命當中
