
[00:00:00.000 --> 00:00:01.600]  各位兄弟姐妹晚安
[00:00:01.600 --> 00:00:06.920]  感謝神今天可以在當中跟大家分享神的說話
[00:00:06.920 --> 00:00:09.280]  我們先有個祈禱
[00:00:09.280 --> 00:00:12.000]  主多謝祢每一天與我們同在
[00:00:12.000 --> 00:00:15.440]  每一天讓我們看見祢自己手作的功
[00:00:15.440 --> 00:00:16.920]  看見祢自己的恩典
[00:00:16.920 --> 00:00:18.920]  求祢的話繼續引領我們
[00:00:18.920 --> 00:00:21.480]  讓祢的話成為我們生命的幫助
[00:00:21.480 --> 00:00:25.040]  讓我們藉著祢的話繼續去實踐
[00:00:25.040 --> 00:00:27.800]  將信仰實踐在我們生活的裏面
[00:00:27.800 --> 00:00:30.120]  我們的祈禱奉著耶穌基督的名字而求
[00:00:30.120 --> 00:00:30.840]  阿門
[00:00:57.800 --> 00:01:00.400]  是很困擾的
[00:01:00.400 --> 00:01:02.080]  以我一家四口為例
[00:01:02.080 --> 00:01:05.200]  有時我們都不能夠經常留在家裏吃飯
[00:01:05.200 --> 00:01:07.800]  有時都要出去外面透透氣
[00:01:07.800 --> 00:01:10.200]  但有時現在出去吃飯
[00:01:10.200 --> 00:01:12.440]  我們四個都要分兩桌坐
[00:01:12.440 --> 00:01:15.000]  是比較麻煩的
[00:01:15.000 --> 00:01:17.680]  尤其是下星期又是農曆新年
[00:01:17.680 --> 00:01:21.400]  我想我們弟兄姊妹都在預備與家人
[00:01:21.400 --> 00:01:23.560]  不同的親友去吃飯
[00:01:23.560 --> 00:01:27.600]  但限聚令下我們都有很多的考慮
[00:01:27.600 --> 00:01:29.560]  都是不容易的
[00:01:29.560 --> 00:01:32.560]  我們都很想疫情快點過去
[00:01:32.560 --> 00:01:36.200]  讓我們的生活慢慢回到正軌
[00:01:36.200 --> 00:01:38.040]  起碼我們不用用安心碼
[00:01:38.040 --> 00:01:43.600]  都可以很安心地與家人和朋友去吃飯
[00:01:43.600 --> 00:01:48.720]  關於吃飯有一些人類學家研究告訴我們
[00:01:48.720 --> 00:01:51.680]  吃飯對人來說是一個很獨特的文化
[00:01:51.680 --> 00:01:57.160]  是一個建立界線的動作
[00:01:57.160 --> 00:01:58.720]  在飯桌上
[00:01:58.720 --> 00:02:02.760]  如果舉第一世紀新日聖經的背景為例
[00:02:02.760 --> 00:02:06.800]  希臘的文化
[00:02:06.800 --> 00:02:09.400]  吃飯的文化是怎樣的呢?
[00:02:09.400 --> 00:02:13.880]  在同台吃飯是代表著不同的群體的聯誼
[00:02:13.880 --> 00:02:15.840]  和相聚的場所
