
[00:00:00.000 --> 00:00:02.000]  今日我們分享的題目是
[00:00:02.000 --> 00:00:04.700]  提防權力分心
[00:00:04.700 --> 00:00:06.700]  作為一個領袖
[00:00:06.700 --> 00:00:09.500]  我們要學習怎樣去運用我們的權力
[00:00:09.500 --> 00:00:11.500]  但可能講到這裏的時候
[00:00:11.500 --> 00:00:14.700]  你會覺得 啊 那我不是一個領袖
[00:00:14.700 --> 00:00:16.700]  所以呢 今日講的東西
[00:00:16.700 --> 00:00:18.700]  不關我的事啦
[00:00:18.700 --> 00:00:19.700]  那我們先跟旁邊的人說
[00:00:19.700 --> 00:00:21.700]  今日講的東西關你事的
[00:00:21.700 --> 00:00:25.700]  因為呢 其實有時我們覺得
[00:00:25.700 --> 00:00:27.700]  我們雖然沒有一個
[00:00:27.700 --> 00:00:29.700]  所謂領袖的職銜
[00:00:29.700 --> 00:00:31.700]  但其實呢 我們有很多時間
[00:00:31.700 --> 00:00:33.700]  都要行使決定
[00:00:33.700 --> 00:00:35.700]  負上責任
[00:00:35.700 --> 00:00:37.700]  甚至是運用權力
[00:00:37.700 --> 00:00:39.700]  那你說什麼時候啊
[00:00:39.700 --> 00:00:41.700]  我很喜歡用一個例子
[00:00:41.700 --> 00:00:43.700]  大家有沒有試過在你家
[00:00:43.700 --> 00:00:45.700]  要負責去決定
[00:00:45.700 --> 00:00:47.700]  去哪裏吃飯的
[00:00:47.700 --> 00:00:49.700]  有沒有 有的吧
[00:00:49.700 --> 00:00:51.700]  大家我看到有些推一下推一下
[00:00:51.700 --> 00:00:53.700]  有些人好像說
[00:00:53.700 --> 00:00:55.700]  沒有的 你一定有試過
[00:00:55.700 --> 00:00:57.700]  是由你去決定
[00:00:57.700 --> 00:00:59.700]  去做一些事 去哪裏
[00:00:59.700 --> 00:01:01.700]  一定有的 其實這個決定呢
[00:01:01.700 --> 00:01:03.700]  其實都是一個運用權力來的
[00:01:03.700 --> 00:01:05.700]  其實都會帶來一些後果的
[00:01:05.700 --> 00:01:07.700]  在工作裏面呢
[00:01:07.700 --> 00:01:09.700]  可能你都曾經要去負上責任
[00:01:09.700 --> 00:01:11.700]  甚至作出決定
[00:01:11.700 --> 00:01:13.700]  或者在我們的侍奉裏面
[00:01:13.700 --> 00:01:15.700]  我們可能都一個領袖
[00:01:15.700 --> 00:01:17.700]  就算你覺得我在侍奉裏面
[00:01:17.700 --> 00:01:19.700]  不是一個領袖 你都可能會做決定
[00:01:19.700 --> 00:01:21.700]  和去負上責任
[00:01:21.700 --> 00:01:25.700]  今日我們作為耶穌的門徒
[00:01:25.700 --> 00:01:27.700]  怎樣去運用權力
[00:01:27.700 --> 00:01:30.700]  怎樣才按著聖經的真理
[00:01:30.700 --> 00:01:32.700]  去運用權力呢
[00:01:32.700 --> 00:01:34.700]  美國的前總統艾森豪
[00:01:34.700 --> 00:01:36.700]  他這樣講過
[00:01:36.700 --> 00:01:38.700]  他說作為一個領袖
[00:01:38.700 --> 00:01:40.700]  需要有跟隨者
[00:01:40.700 --> 00:01:43.700]  就是怎樣能夠令跟隨者有信心呢
[00:01:43.700 --> 00:01:45.700]  就是誠信
[00:01:45.700 --> 00:01:49.700]  誠信讓跟隨者對領袖有信心
[00:01:49.700 --> 00:01:52.700]  所以他說領袖必須有誠信
[00:01:52.700 --> 00:01:55.700]  和公信的目標
[00:01:55.700 --> 00:01:58.700]  另外我看過一個管理學的學者
[00:01:58.700 --> 00:02:00.700]  這樣去形容一個領袖
[00:02:00.700 --> 00:02:02.700]  他說第一
[00:02:02.700 --> 00:02:04.700]  領袖是需要做工的
[00:02:04.700 --> 00:02:05.700]  就是要做的
[00:02:05.700 --> 00:02:07.700]  不是只是點人做事的
[00:02:07.700 --> 00:02:11.700]  第二 領袖要看自己的職位為責任
[00:02:11.700 --> 00:02:13.700]  而不是一個階級
[00:02:13.700 --> 00:02:15.700]  或者一個特權
[00:02:15.700 --> 00:02:18.700]  第三 領袖是需要有強健
[00:02:18.700 --> 00:02:20.700]  有能力
[00:02:20.700 --> 00:02:24.700]  有自己肯定和獨立的下屬
[00:02:24.700 --> 00:02:29.700]  第四 領袖需要創造動力和願景
[00:02:29.700 --> 00:02:33.700]  第五 領袖需要藉著堅定和誠信
[00:02:33.700 --> 00:02:36.700]  去得到跟隨者的信任
[00:02:36.700 --> 00:02:40.700]  當然這些都只是幾樣的特質
[00:02:40.700 --> 00:02:41.700]  其實我覺得作為一個領袖
[00:02:41.700 --> 00:02:43.700]  還有很多需要的特質
[00:02:43.700 --> 00:02:46.700]  這個都不是一個完美的清單
[00:02:46.700 --> 00:02:50.700]  今天我們會一起去看《列王記上》第21章
[00:02:50.700 --> 00:02:53.700]  在裡面我們會看到
[00:02:53.700 --> 00:02:56.700]  阿哈和皇后耶西別
[00:02:56.700 --> 00:02:59.700]  他們是怎樣去運用他們的權力
[00:02:59.700 --> 00:03:01.700]  如果我們要講一個
[00:03:01.700 --> 00:03:04.700]  是怎樣運用權力的專題題目
[00:03:04.700 --> 00:03:07.700]  我們接下來的40分鐘一定不夠
[00:03:07.700 --> 00:03:08.700]  還有如果有這樣的題目
