
[00:00:00.000 --> 00:00:06.000]  請問大家一生人之中有沒有做過最癲狂的行為或決定?
[00:00:06.000 --> 00:00:08.000]  你自己覺得?
[00:00:08.000 --> 00:00:10.000]  有沒有?
[00:00:10.000 --> 00:00:12.000]  有些人吧!
[00:00:12.000 --> 00:00:14.000]  做了什麼決定呢?
[00:00:14.000 --> 00:00:16.000]  信主?
[00:00:16.000 --> 00:00:18.000]  接受「我立執事」?
[00:00:18.000 --> 00:00:24.000]  或者是離職去創業?
[00:00:24.000 --> 00:00:26.000]  或者是決定跟誰去結婚?
[00:00:26.000 --> 00:00:28.000]  或者是跳擴散?
[00:00:28.000 --> 00:00:30.000]  笨豬跳?
[00:00:30.000 --> 00:00:32.000]  或者從來沒有癲過?
[00:00:32.000 --> 00:00:38.000]  或者想想我自己有什麼癲狂的決定呢?
[00:00:38.000 --> 00:00:40.000]  我就想想,十六歲那年
[00:00:40.000 --> 00:00:42.000]  我做了一個決定
[00:00:42.000 --> 00:00:44.000]  就是奉獻傳道
[00:00:44.000 --> 00:00:48.000]  當時奉獻傳道之後
[00:00:48.000 --> 00:00:50.000]  有人問我,你知不知道你自己在做什麼?
[00:00:50.000 --> 00:00:52.000]  我說奉獻給神
[00:00:52.000 --> 00:00:56.000]  但是,你真的知道神要你做什麼嗎?
[00:00:56.000 --> 00:00:58.000]  我不知道
[00:00:58.000 --> 00:01:00.000]  完全不知道
[00:01:00.000 --> 00:01:02.000]  什麼時候還在讀中學
[00:01:02.000 --> 00:01:04.000]  究竟我將會變成一個什麼人呢?
[00:01:04.000 --> 00:01:06.000]  可能是在教會服侍
[00:01:06.000 --> 00:01:08.000]  可能是一個傳道人
[00:01:08.000 --> 00:01:10.000]  一個牧師
[00:01:10.000 --> 00:01:12.000]  可能是想到這些情況
[00:01:12.000 --> 00:01:14.000]  可能是一個宣教士
[00:01:14.000 --> 00:01:16.000]  也不奇怪
[00:01:16.000 --> 00:01:18.000]  但是我就說,我奉獻給神了
[00:01:18.000 --> 00:01:20.000]  什麼都不管
[00:01:20.000 --> 00:01:22.000]  但是當時我記得
[00:01:22.000 --> 00:01:24.000]  在立志奉獻的時候
[00:01:24.000 --> 00:01:26.000]  要投一張立志卡
[00:01:26.000 --> 00:01:28.000]  當時
[00:01:28.000 --> 00:01:30.000]  之前那一刻
[00:01:30.000 --> 00:01:32.000]  我真的
[00:01:32.000 --> 00:01:34.000]  全身都顫抖
[00:01:34.000 --> 00:01:36.000]  不是腳軟
[00:01:36.000 --> 00:01:38.000]  腳顫那麼簡單,全身都顫抖
[00:01:38.000 --> 00:01:40.000]  就要走出來放
[00:01:40.000 --> 00:01:42.000]  根本就
[00:01:42.000 --> 00:01:44.000]  沒力氣的
[00:01:44.000 --> 00:01:46.000]  沒辦法走出來
[00:01:46.000 --> 00:01:48.000]  我想起那時候的情況
[00:01:48.000 --> 00:01:50.000]  我相信被他參加笨豬跳
[00:01:50.000 --> 00:01:52.000]  或者做一些危險的
[00:01:52.000 --> 00:01:54.000]  刺激的行為
[00:01:54.000 --> 00:01:56.000]  都沒有那麼緊張
[00:01:56.000 --> 00:01:58.000]  沒有那麼腳軟
[00:01:58.000 --> 00:02:00.000]  但是很感恩
[00:02:00.000 --> 00:02:02.000]  終於都走出去
[00:02:02.000 --> 00:02:04.000]  放下這個立志卡
[00:02:04.000 --> 00:02:06.000]  放完之後
[00:02:06.000 --> 00:02:08.000]  全身都顫抖
[00:02:08.000 --> 00:02:10.000]  因為我覺得
[00:02:10.000 --> 00:02:12.000]  交代給神了
[00:02:12.000 --> 00:02:14.000]  不再想前面是怎樣
[00:02:14.000 --> 00:02:16.000]  所以這個對我來說
[00:02:16.000 --> 00:02:18.000]  是一個
[00:02:18.000 --> 00:02:20.000]  癲狂的決定
[00:02:20.000 --> 00:02:22.000]  因為就是這樣
[00:02:22.000 --> 00:02:24.000]  不顧一切
[00:02:24.000 --> 00:02:26.000]  奉獻給神
[00:02:26.000 --> 00:02:28.000]  這段經文是顯示大衛
[00:02:28.000 --> 00:02:30.000]  對神的熱情
[00:02:30.000 --> 00:02:32.000]  和敬拜
[00:02:32.000 --> 00:02:34.000]  來到薩姆爾記下第六章
[00:02:34.000 --> 00:02:36.000]  這段經文
[00:02:36.000 --> 00:02:38.000]  他不在乎自己是一個皇帝的身份
[00:02:38.000 --> 00:02:40.000]  全心投入敬拜
[00:02:40.000 --> 00:02:42.000]  當看到那個約瑰
[00:02:42.000 --> 00:02:44.000]  進入耶路撒冷的時候
[00:02:44.000 --> 00:02:46.000]  他那種行為
[00:02:46.000 --> 00:02:48.000]  好像發了瘋一樣
[00:02:48.000 --> 00:02:50.000]  在那裡跳舞
[00:02:50.000 --> 00:02:52.000]  狂熱的跳舞
[00:02:52.000 --> 00:02:54.000]  對於大衛來說
[00:02:54.000 --> 00:02:56.000]  有人覺得
[00:02:56.000 --> 00:02:58.000]  你這樣的身份不適合
[00:02:58.000 --> 00:03:00.000]  你是一個一國之君
