
[00:00:00.000 --> 00:00:04.500]  上一次跟大家講到《仕途行傳》第二章
[00:00:04.500 --> 00:00:06.500]  第二章最後的一部分
[00:00:06.500 --> 00:00:11.500]  就是信徒過著美滿的生活
[00:00:11.500 --> 00:00:13.500]  他們滿有見證
[00:00:13.500 --> 00:00:17.500]  在初期教會裏面活出一種非常有力的見證
[00:00:17.500 --> 00:00:19.500]  一個很美麗的圖畫
[00:00:19.500 --> 00:00:22.500]  也是我們繼續努力的目標
[00:00:22.500 --> 00:00:28.500]  來到今天第三章和第四章的一大部分
[00:00:29.000 --> 00:00:31.500]  因為這是一個整體的記載
[00:00:31.500 --> 00:00:34.500]  提到教會美麗的見證
[00:00:34.500 --> 00:00:35.500]  教會美麗的見證
[00:00:35.500 --> 00:00:37.500]  如果大家看這幅圖畫
[00:00:37.500 --> 00:00:39.500]  大家有沒有一點印象
[00:00:39.500 --> 00:00:41.500]  知不知道在說什麼
[00:00:41.500 --> 00:00:43.500]  很難猜吧
[00:00:43.500 --> 00:00:49.500]  彼得和約翰在哪裡
[00:00:49.500 --> 00:00:51.500]  在聖殿
[00:00:51.500 --> 00:00:53.500]  好 誰說的
[00:00:53.500 --> 00:00:55.500]  在美滿
[00:00:56.000 --> 00:00:59.500]  這個在第三章開始
[00:00:59.500 --> 00:01:01.500]  當時五巡節
[00:01:01.500 --> 00:01:04.500]  大家記得聖靈降臨教會開始
[00:01:04.500 --> 00:01:09.500]  他們過著敬拜相交的生活
[00:01:09.500 --> 00:01:12.500]  與人相交 與神相交
[00:01:12.500 --> 00:01:15.500]  這個教會奠定了很重要的基礎
[00:01:15.500 --> 00:01:16.500]  在過節之後
[00:01:16.500 --> 00:01:20.500]  其實有很多從各地來耶路撒冷敬拜的人
[00:01:20.500 --> 00:01:21.500]  數以萬計的
[00:01:21.500 --> 00:01:23.500]  回到原地
[00:01:24.000 --> 00:01:26.500]  但是教會的生活仍然繼續
[00:01:26.500 --> 00:01:28.500]  可以進行
[00:01:28.500 --> 00:01:31.500]  當地的人繼續在教會裏面
[00:01:31.500 --> 00:01:35.500]  藉著神自己的幫助
[00:01:35.500 --> 00:01:38.500]  使徒的帶領
[00:01:38.500 --> 00:01:42.500]  過敬拜見證的生活
[00:01:42.500 --> 00:01:45.500]  這裏發生在他們經常的事
[00:01:45.500 --> 00:01:46.500]  當時可能是五巡節
[00:01:46.500 --> 00:01:48.500]  大概幾個月之後
[00:01:48.500 --> 00:01:50.500]  他們例行的
[00:01:50.500 --> 00:01:52.500]  上到聖殿敬拜
[00:01:53.000 --> 00:01:54.500]  所以這個就是
[00:01:54.500 --> 00:01:56.500]  第二章完結後
[00:01:56.500 --> 00:01:58.500]  他們在殿中在家裏
[00:01:58.500 --> 00:02:00.500]  讚美神 抹餅紀念主
[00:02:00.500 --> 00:02:02.500]  所以他們已經習慣了
[00:02:02.500 --> 00:02:04.500]  好像我們今天每逢主日
[00:02:04.500 --> 00:02:07.500]  我們回到教會敬拜一樣
[00:02:07.500 --> 00:02:09.500]  這個在他們在
[00:02:09.500 --> 00:02:12.500]  例行上聖殿禱告敬拜的時候
[00:02:12.500 --> 00:02:13.500]  機會就來了
[00:02:13.500 --> 00:02:15.500]  所以有時候神給我們的機會
[00:02:15.500 --> 00:02:18.500]  是在我們平時的操練裏面
[00:02:18.500 --> 00:02:20.500]  我們知道接下來報道會
[00:02:21.000 --> 00:02:23.500]  我們特別多些祈禱 預備
[00:02:23.500 --> 00:02:25.500]  但可能也是平時的生活裏面
[00:02:25.500 --> 00:02:28.500]  我們每個星期回來敬拜神
[00:02:28.500 --> 00:02:30.500]  我們平時過信徒的生活裏面
[00:02:30.500 --> 00:02:32.500]  就在這個時候
[00:02:32.500 --> 00:02:34.500]  神就預備了一個機會
