
[00:00:00.000 --> 00:00:04.040]  我們今天繼續學習《路加福音》
[00:00:04.040 --> 00:00:05.880]  也是同心的禱告
[00:00:05.880 --> 00:00:09.760]  親愛的天父 我們謙卑來到您的庚前
[00:00:09.760 --> 00:00:13.520]  求聖靈親自在當中向每一個人說話
[00:00:13.520 --> 00:00:15.720]  讓我們看得見
[00:00:15.720 --> 00:00:20.840]  我們信靠的對象是誰
[00:00:20.840 --> 00:00:23.040]  究竟我們更加盡心去明白
[00:00:23.040 --> 00:00:28.720]  也去捉緊這個信仰給我們的應許是甚麼
[00:00:28.720 --> 00:00:32.640]  也給我們有信心作一個行動的回應
[00:00:32.640 --> 00:00:33.960]  求主去帶領
[00:00:33.960 --> 00:00:36.840]  以至無論講的聽的一同去蒙福
[00:00:36.840 --> 00:00:38.160]  聽我們的禱告
[00:00:38.160 --> 00:00:41.480]  奉靠我的救主耶穌基督寶貴性命去求
[00:00:41.480 --> 00:00:42.960]  Amen
[00:00:42.960 --> 00:00:46.640]  我想過去這一年我們花了很多時間精力去酬量
[00:00:46.640 --> 00:00:50.480]  去考慮究竟要不要打哪種疫苗
[00:00:50.480 --> 00:00:54.720]  我想我們會決定打不打某一種的防疫針
[00:00:54.720 --> 00:00:57.560]  我想最主要建基三個很重要的因素
[00:00:57.560 --> 00:01:01.280]  第一 我對這個疫苗究竟有多少的認識
[00:01:01.280 --> 00:01:04.160]  可能去看看一些資料
[00:01:04.160 --> 00:01:06.200]  哪裡出產 有沒有副作用
[00:01:06.200 --> 00:01:08.440]  其他打完之後有甚麼效果等等
[00:01:08.440 --> 00:01:11.320]  我們越多資料掌握
[00:01:11.320 --> 00:01:14.680]  我們越有信心做這個決定
[00:01:14.680 --> 00:01:19.400]  第二 我們要清楚這個疫苗是為了甚麼的目的
[00:01:19.400 --> 00:01:21.480]  假如這個疫苗是為了預防肺炎
[00:01:21.480 --> 00:01:24.320]  我們沒理由三個月之後去投訴
[00:01:24.320 --> 00:01:26.920]  為甚麼打了疫苗之後仍然會染上德國麻疹
[00:01:26.920 --> 00:01:29.640]  你不會這樣的 是嗎
[00:01:29.640 --> 00:01:33.080]  第三 當然有沒有最後做這個決定
[00:01:33.080 --> 00:01:38.080]  真的願意去接種 有具體回應的行動
[00:01:38.080 --> 00:01:42.040]  我們在信仰上能否可以很出裝的成長
[00:01:42.040 --> 00:01:44.400]  都有很類似的重要因素
[00:01:44.400 --> 00:01:51.240]  第一 我們知不知道我們信靠的對象是誰
[00:01:51.240 --> 00:01:54.720]  我們有真正多少的認識
[00:01:54.720 --> 00:01:56.320]  如果沒有一個很準確的認識
[00:01:56.320 --> 00:02:00.880]  我們可能正在建構一個我們自己創造的宗教
[00:02:00.880 --> 00:02:05.720]  或多或少 其實我們或多或少都有些迷信
[00:02:05.720 --> 00:02:09.760]  第二 這個信仰應許了些甚麼
[00:02:09.760 --> 00:02:13.920]  我們以為很清楚 其實不是很清楚
[00:02:13.920 --> 00:02:15.680]  如果有錯誤的期望
[00:02:15.680 --> 00:02:18.880]  我們得不到的時候 我們會失望
[00:02:18.880 --> 00:02:21.600]  甚至可能我們會離場
[00:02:21.600 --> 00:02:24.920]  但如果另一方面最寶貴的東西
[00:02:24.920 --> 00:02:29.520]  我們錯失了 這樣就很可惜了
[00:02:29.520 --> 00:02:31.320]  如果你打了復必泰或科興
[00:02:31.320 --> 00:02:34.840]  你投訴說為甚麼預防不了德國麻疹
[00:02:34.840 --> 00:02:37.440]  其實很傻的 是嗎
[00:02:37.440 --> 00:02:40.520]  第三 有沒有具體的行動
[00:02:40.520 --> 00:02:42.760]  否則只是一個頭腦的認識
[00:02:42.760 --> 00:02:45.840]  對生命沒有甚麼太大的影響
[00:02:45.840 --> 00:02:47.400]  我們繼續看《路加福音》
[00:02:47.400 --> 00:02:49.520]  從以上這三個範疇
[00:02:49.520 --> 00:02:52.440]  我們信靠的對象是誰
[00:02:52.440 --> 00:02:55.920]  這個信仰應許了甚麼給我們
[00:02:55.920 --> 00:02:57.600]  我們有沒有具體的行動
[00:02:57.600 --> 00:03:00.600]  去思想信心的成長
[00:03:00.600 --> 00:03:02.080]  在聖文撒忠的比喻裏面
[00:03:02.080 --> 00:03:03.080]  耶穌提到了
[00:03:03.080 --> 00:03:05.880]  神的道落在不同的人的心裏面
[00:03:05.880 --> 00:03:08.360]  因為他們不同的聽到的態度
[00:03:08.360 --> 00:03:09.960]  引來不同的回應
[00:03:09.960 --> 00:03:12.880]  接著就描述了四個神蹟
[00:03:12.880 --> 00:03:16.400]  去演繹了聽到者不同的回應
[00:03:16.400 --> 00:03:18.160]  如果你們之前有聽說過的
[00:03:18.160 --> 00:03:20.440]  我提到兩個神蹟
[00:03:20.440 --> 00:03:22.160]  我們押耀重溫一下
[00:03:22.160 --> 00:03:24.720]  第一個就是耶穌平靜風浪
[00:03:24.720 --> 00:03:26.760]  在平靜風浪這個神蹟裏面
[00:03:26.760 --> 00:03:28.840]  耶穌對門徒說
[00:03:28.840 --> 00:03:31.640]  「你們的信心在哪裡?」
[00:03:31.640 --> 00:03:34.080]  門徒又害怕又恐懼
[00:03:34.080 --> 00:03:37.080]  彼此說「這到底是誰?」
[00:03:37.080 --> 00:03:38.560]  祂吩咐風和水
[00:03:38.560 --> 00:03:41.000]  連風和水都聽從祂
[00:03:41.000 --> 00:03:43.480]  這裏帶出了一個很重要的主題
[00:03:43.480 --> 00:03:46.920]  就是認識我們信仰的對象
[00:03:46.920 --> 00:03:50.680]  耶穌到底是誰
[00:03:50.680 --> 00:03:53.800]  信仰的種子可以很茁壯地成長
[00:03:53.800 --> 00:03:55.720]  認識耶穌是誰
[00:03:55.720 --> 00:03:58.480]  這是最基要的一個根基
[00:03:58.480 --> 00:04:01.160]  以致我們對耶穌的權柄、能力
[00:04:01.160 --> 00:04:03.760]  有正確的信心
[00:04:03.760 --> 00:04:06.920]  第二個神蹟就描述了一個被鬼附的人
[00:04:06.920 --> 00:04:10.360]  當那個附在人身上的污靈
[00:04:10.360 --> 00:04:12.040]  他對耶穌說
[00:04:12.040 --> 00:04:13.840]  「至高神的兒子耶穌
[00:04:13.840 --> 00:04:15.320]  你為甚麼干擾我?
[00:04:15.320 --> 00:04:18.040]  我求你不要叫我受苦」
[00:04:18.040 --> 00:04:19.280]  很諷刺
[00:04:19.280 --> 00:04:23.000]  污靈是很準繩地說出了耶穌的身份
[00:04:23.000 --> 00:04:26.160]  但是他是對抗神的
[00:04:26.160 --> 00:04:28.920]  耶穌將鬼趕入豬群
