
[00:00:00.000 --> 00:00:03.960]  今天繼續和大家去思想這個這麼重要的題目
[00:00:03.960 --> 00:00:08.000]  我們每一次讀經的時候
[00:00:08.000 --> 00:00:09.320]  就從頭讀起的
[00:00:09.320 --> 00:00:09.960]  是不是?
[00:00:09.960 --> 00:00:12.800]  愛自行久忍耐 又有恩慈一直讀的
[00:00:12.800 --> 00:00:17.600]  我真的很盼望大家去學習去背誦聖經
[00:00:17.600 --> 00:00:19.360]  去背誦聖經
[00:00:19.360 --> 00:00:23.920]  這段經文我每一天起碼背兩次
[00:00:23.920 --> 00:00:25.520]  起碼背兩次
[00:00:25.520 --> 00:00:26.920]  為什麼會背兩次呢?
[00:00:26.920 --> 00:00:28.560]  我說為什麼用起碼呢?
[00:00:28.800 --> 00:00:30.240]  因為我每天早上
[00:00:30.240 --> 00:00:32.880]  臨醒之前或者半夜醒了
[00:00:32.880 --> 00:00:34.200]  我就會祈禱
[00:00:34.200 --> 00:00:36.200]  而我祈禱的結束呢
[00:00:36.200 --> 00:00:38.560]  我是背三段的經文做結束
[00:00:38.560 --> 00:00:44.720]  一段就是求主耶穌基督的柔和謙卑充滿我
[00:00:44.720 --> 00:00:46.000]  提醒自己
[00:00:46.000 --> 00:00:46.480]  祈禱
[00:00:46.480 --> 00:00:47.160]  第二呢
[00:00:47.160 --> 00:00:48.720]  就是聖靈所結的果子
[00:00:48.720 --> 00:00:49.960]  仁愛喜樂和平忍耐
[00:00:49.960 --> 00:00:51.120]  恩慈良善信仇
[00:00:51.120 --> 00:00:52.200]  溫柔節制
[00:00:52.200 --> 00:00:53.120]  充滿我
[00:00:53.120 --> 00:00:55.000]  那麼這個就是主耶穌基督
[00:00:55.000 --> 00:00:56.280]  接著就是聖靈的果子
[00:00:56.280 --> 00:00:57.240]  就是聖靈
[00:00:57.240 --> 00:00:58.120]  這麼說
[00:00:58.440 --> 00:01:00.600]  那麼第三段就是神的愛
[00:01:00.600 --> 00:01:01.680]  愛是恆久忍耐
[00:01:01.680 --> 00:01:02.400]  又有恩慈
[00:01:02.400 --> 00:01:03.520]  愛是不責度不自誇
[00:01:03.520 --> 00:01:04.600]  不張狂不再害羞的
[00:01:04.600 --> 00:01:05.680]  是不求自己的主
[00:01:05.680 --> 00:01:06.440]  不輕易發怒
[00:01:06.440 --> 00:01:07.040]  不計上人之意
[00:01:07.040 --> 00:01:08.240]  我不喜歡而只喜歡真理
[00:01:08.240 --> 00:01:08.920]  凡事包容
[00:01:08.920 --> 00:01:09.680]  凡事相信
[00:01:09.680 --> 00:01:10.360]  凡事盼望
[00:01:10.360 --> 00:01:11.080]  凡事忍耐
[00:01:11.080 --> 00:01:12.960]  愛是永不止息的
