
[00:00:00.000 --> 00:00:04.000]  我不曉得大家是聽到這個題目反應冷淡
[00:00:04.000 --> 00:00:06.000]  還是覺得哇
[00:00:06.000 --> 00:00:09.000]  這個太heavy了 聖誕節啊
[00:00:09.000 --> 00:00:11.000]  稍微快樂一點 是不是
[00:00:11.000 --> 00:00:14.000]  一聽到審判我們就覺得怎麼樣
[00:00:14.000 --> 00:00:17.000]  有沒有人喜歡到法庭去的 有沒有
[00:00:17.000 --> 00:00:19.000]  我們當中有沒有人喜歡到法庭的
[00:00:19.000 --> 00:00:21.000]  律師啊
[00:00:21.000 --> 00:00:24.000]  律師也不會喜歡上法庭的
[00:00:24.000 --> 00:00:26.000]  我曾經上過法庭 對不起 我看啊
[00:00:26.000 --> 00:00:29.000]  對 那個juror duty
[00:00:29.000 --> 00:00:32.000]  你們喜歡去juror duty的嗎
[00:00:32.000 --> 00:00:34.000]  喜歡啊
[00:00:34.000 --> 00:00:36.000]  不喜歡
[00:00:36.000 --> 00:00:38.000]  沒有人喜歡上法庭
[00:00:38.000 --> 00:00:41.000]  所以一聽到審判 大家都不喜歡
[00:00:41.000 --> 00:00:43.000]  但兄子們
[00:00:43.000 --> 00:00:47.000]  今天我們要講的這個主題
[00:00:47.000 --> 00:00:49.000]  非常非常的重要
[00:00:49.000 --> 00:00:52.000]  因為在整個我們的信仰裡面
[00:00:52.000 --> 00:00:56.000]  如果沒有這一個審判
[00:00:56.000 --> 00:00:59.000]  其實對整個世界來講
[00:00:59.000 --> 00:01:01.000]  如果沒有審判
[00:01:01.000 --> 00:01:04.000]  這個世界我覺得我多活一天
[00:01:04.000 --> 00:01:06.000]  多痛苦一天
[00:01:06.000 --> 00:01:09.000]  因為我們看不見盼望 是不是
[00:01:09.000 --> 00:01:10.000]  親愛的同志們
[00:01:10.000 --> 00:01:12.000]  你可以說聖誕節到了 感恩節到了
[00:01:12.000 --> 00:01:14.000]  快樂一點 吃喝玩樂一下吧
[00:01:14.000 --> 00:01:15.000]  但是過了之後
[00:01:15.000 --> 00:01:17.000]  你還是要面對每一天的現實生活
[00:01:17.000 --> 00:01:18.000]  是不是
[00:01:18.000 --> 00:01:19.000]  那每一天的現實生活當中
[00:01:19.000 --> 00:01:22.000]  你看到太多這些的不公不義的事情
[00:01:22.000 --> 00:01:25.000]  你看到太多罪惡的事情
[00:01:25.000 --> 00:01:28.000]  所以常常有人會問這個問題
[00:01:28.000 --> 00:01:31.000]  這就是為什麼今天我們談這個主題
[00:01:31.000 --> 00:01:36.000]  在啟示錄第20章
[00:01:36.000 --> 00:01:40.000]  第7節到15節
[00:01:40.000 --> 00:01:42.000]  有兩個主題
[00:01:42.000 --> 00:01:45.000]  所以我今天的題目跟週報上不一樣
[00:01:45.000 --> 00:01:46.000]  我改了一下
[00:01:46.000 --> 00:01:48.000]  應該講我把它改成
[00:01:48.000 --> 00:01:51.000]  末日的戰爭與審判
[00:01:51.000 --> 00:01:52.000]  這是兩個主題
[00:01:52.000 --> 00:01:55.000]  第一個就是在第7節到第10節
[00:01:55.000 --> 00:02:00.000]  講到末日的戰爭
[00:02:00.000 --> 00:02:03.000]  也講到撒旦的結局
[00:02:03.000 --> 00:02:06.000]  第二部分就是11節到15節
[00:02:06.000 --> 00:02:08.000]  會講到什麼呢
[00:02:08.000 --> 00:02:15.000]  會講到末日的審判
[00:02:15.000 --> 00:02:19.000]  末日的審判
[00:02:19.000 --> 00:02:21.000]  首先我們來看看
[00:02:21.000 --> 00:02:24.000]  上個禮拜的訊息裡面我們已經講過了
[00:02:24.000 --> 00:02:26.000]  遷徙聯還記得嗎
[00:02:26.000 --> 00:02:27.000]  稍微複習一下
[00:02:27.000 --> 00:02:28.000]  遷徙聯
[00:02:28.000 --> 00:02:31.000]  雖然這個主題神學家可以搞得很久
[00:02:31.000 --> 00:02:33.000]  花一本書來寫
[00:02:33.000 --> 00:02:34.000]  我很簡單的講
[00:02:34.000 --> 00:02:37.000]  我主要讓大家知道一件事情就是說
[00:02:37.000 --> 00:02:40.000]  這個遷徙聯裡面
[00:02:40.000 --> 00:02:42.000]  耶穌基督會再來是主題
[00:02:42.000 --> 00:02:43.000]  還記得嗎
[00:02:43.000 --> 00:02:45.000]  耶穌再來
[00:02:45.000 --> 00:02:46.000]  不管是哪一派
[00:02:46.000 --> 00:02:47.000]  遷徙聯前派
[00:02:47.000 --> 00:02:48.000]  遷徙聯後派
[00:02:48.000 --> 00:02:49.000]  遷徙聯無遷徙聯
[00:02:49.000 --> 00:02:51.000]  都會知道都承認一些事情
[00:02:51.000 --> 00:02:53.000]  就是耶穌基督會再來
[00:02:53.000 --> 00:02:56.000]  到底是在耶穌基督來了之後
[00:02:56.000 --> 00:02:57.000]  一千年呢
[00:02:57.000 --> 00:02:59.000]  還是一千年之後
[00:02:59.000 --> 00:03:00.000]  耶穌基督再來呢
[00:03:00.000 --> 00:03:06.000]  Doesn't matter
[00:03:06.000 --> 00:03:07.000]  最重要的是
[00:03:07.000 --> 00:03:08.000]  基督會再來
[00:03:08.000 --> 00:03:11.000]  你要記得這件事情
[00:03:11.000 --> 00:03:15.000]  基督要再來
[00:03:15.000 --> 00:03:16.000]  遷徙聯裡面提到就是說
[00:03:16.000 --> 00:03:21.000]  撒旦要被捆綁
[00:03:21.000 --> 00:03:22.000]  然後呢
[00:03:22.000 --> 00:03:23.000]  遷徙聯之後呢
[00:03:23.000 --> 00:03:25.000]  第七節說什麼
[00:03:25.000 --> 00:03:28.000]  一千年之後怎麼樣
[00:03:28.000 --> 00:03:30.000]  我們來看看這段信息好不好
[00:03:30.000 --> 00:03:33.000]  那一千年完了之後
[00:03:33.000 --> 00:03:38.000]  撒旦必從哪裡
[00:03:38.000 --> 00:03:41.000]  被從監牢裡被釋放
[00:03:41.000 --> 00:03:43.000]  看到撒旦被關監牢
[00:03:43.000 --> 00:03:46.000]  我們太高興了
[00:03:46.000 --> 00:03:49.000]  就像我們看到一個壞人
[00:03:49.000 --> 00:03:51.000]  這個殺人犯
[00:03:51.000 --> 00:03:52.000]  殺人不眨眼的
[00:03:52.000 --> 00:03:54.000]  終於被關起來了
[00:03:54.000 --> 00:03:55.000]  我們太高興了
[00:03:55.000 --> 00:03:58.000]  我們看到那個罪惡之首
[00:03:58.000 --> 00:04:00.000]  我們看到那個世界的王
[00:04:00.000 --> 00:04:02.000]  撒旦被關起來了
[00:04:02.000 --> 00:04:03.000]  所以遷徙聯的時候
[00:04:03.000 --> 00:04:05.000]  他沒有作為
[00:04:05.000 --> 00:04:07.000]  所以才是遷徙聯
[00:04:07.000 --> 00:04:08.000]  一千年
[00:04:08.000 --> 00:04:11.000]  大家那個地方真是快快樂樂的
[00:04:11.000 --> 00:04:13.000]  沒有這些罪惡
[00:04:13.000 --> 00:04:15.000]  因為撒旦已經被捆綁
[00:04:15.000 --> 00:04:18.000]  但是丟著妹
[00:04:18.000 --> 00:04:19.000]  接著這裡說
[00:04:19.000 --> 00:04:22.000]  一千年他從這個監獄裡面
[00:04:22.000 --> 00:04:24.000]  被釋放出來之後
[00:04:24.000 --> 00:04:26.000]  他又要出來
[00:04:26.000 --> 00:04:27.000]  請注意下面說什麼
[00:04:27.000 --> 00:04:35.000]  出來要迷惑地上四方的列國
[00:04:35.000 --> 00:04:36.000]  你注意看起書裡面
[00:04:36.000 --> 00:04:39.000]  連續好幾次講到撒旦的工作
[00:04:39.000 --> 00:04:42.000]  就是在做迷惑
[00:04:42.000 --> 00:04:45.000]  那迷惑普天下的
[00:04:45.000 --> 00:04:48.000]  看到沒有
[00:04:48.000 --> 00:04:49.000]  所以上禮拜我們講了說
[00:04:49.000 --> 00:04:54.000]  Already but not yet
[00:04:54.000 --> 00:04:56.000]  撒旦已經被打敗了
[00:04:56.000 --> 00:04:59.000]  Amen
[00:04:59.000 --> 00:05:02.000]  你相信嗎
[00:05:02.000 --> 00:05:04.000]  因為基督接著是已經敗壞了
[00:05:04.000 --> 00:05:05.000]  長使權的魔鬼
[00:05:05.000 --> 00:05:08.000]  撒旦已經失敗了
[00:05:08.000 --> 00:05:10.000]  Already
[00:05:10.000 --> 00:05:12.000]  但是你說
[00:05:12.000 --> 00:05:16.000]  怎麼我還看見撒旦在誘惑
[00:05:16.000 --> 00:05:17.000]  是不是
[00:05:17.000 --> 00:05:20.000]  你看我的太太
[00:05:20.000 --> 00:05:24.000]  她老是被撒旦誘惑
