
[00:00:00.000 --> 00:00:09.000]  弟兄姊妹,朋友,福者,平安,感謝神今天我又能夠和大家一起分享神的說話
[00:00:09.000 --> 00:00:13.000]  讓我們先一同禱告,將以下時間交託給神
[00:00:13.000 --> 00:00:24.000]  親愛的天父,全能的神,永在的主,我們多謝祢,多謝祢願意做我們的神
[00:00:24.000 --> 00:00:33.000]  剛才我們每一句由心而發的歌唱讚美感恩,我們求祢越南
[00:00:33.000 --> 00:00:43.000]  願普天下的人都向祢歌頌讚美,願祢享受我們給祢的敬拜,因為祢是佩得一切的榮耀
[00:00:43.000 --> 00:00:56.000]  恭敬教託以下的時間,求天父祢高沒,讓宣講的和聆聽的都因為得著祢的說話,以致我們的生命得到更新
[00:00:56.000 --> 00:01:01.000]  我們這樣的禱告交託奉靠主耶穌基督的名,阿們
[00:01:01.000 --> 00:01:11.000]  大家還記不記得這三個篩?你記得三個還是六個?有沒有用到?
[00:01:11.000 --> 00:01:19.000]  上一個月和大家分享詛咒別人的談吐,我提過有個老張有個小李
[00:01:19.000 --> 00:01:23.000]  他們談完之後就留下三個篩給我們
[00:01:23.000 --> 00:01:31.000]  真實、善意和重要,其實神比我們三個更加好用
[00:01:31.000 --> 00:01:34.000]  清潔、詛咒人和得益處
[00:01:34.000 --> 00:01:40.000]  所以上次和大家分享的時候是用《雅各書》第三章的經文
[00:01:40.000 --> 00:01:46.000]  裡面提醒我們的舌頭雖然小,但它的影響破壞力很大
[00:01:46.000 --> 00:01:53.000]  舌頭雖然很難制伏,它已經告訴我們,但我們無論如何都要制伏
[00:01:53.000 --> 00:01:58.000]  所以我們要定義的是讓神的說話充滿我們的心
[00:01:58.000 --> 00:02:04.000]  還記不記得上次我們說我們的心是什麼?就是貨倉的庫房
[00:02:04.000 --> 00:02:09.000]  有神的說話擺滿在那裡,順復聖靈給我們的提醒
[00:02:09.000 --> 00:02:13.000]  心裡充滿的我們自然會說出來
[00:02:13.000 --> 00:02:22.000]  所以我們由心而發說的東西自然會是清潔、詛咒人和令人得益處
[00:02:22.000 --> 00:02:28.000]  上次也說完了,《雅各書》第三章也教完我們,我們知道的了
[00:02:28.000 --> 00:02:33.000]  為什麼讀到第四章的時候突然間來了兩節經文
[00:02:33.000 --> 00:02:37.000]  這兩節經文又是要提醒我們說話要小心
[00:02:37.000 --> 00:02:43.000]  為什麼會這樣呢?解經家的看法是這樣說的
[00:02:43.000 --> 00:02:48.000]  如果我們從第四章第六節開始看
[00:02:48.000 --> 00:02:51.000]  發覺到《雅各書》的重點是想告訴我們
[00:02:51.000 --> 00:02:57.000]  作為信徒,耶穌基督的門徒,我們要學習祂的柔和謙卑
[00:02:57.000 --> 00:03:04.000]  因為上面提到神是會抵擋驕傲的人,但是賜恩給謙卑的人
[00:03:04.000 --> 00:03:11.000]  所以他又在第四章提到,不要在主的面前自卑
[00:03:11.000 --> 00:03:14.000]  主就會叫我們升高
[00:03:14.000 --> 00:03:17.000]  所以從這些結構裡我們看到
[00:03:17.000 --> 00:03:23.000]  他的重點可能是提到謙卑,對我們來說很重要
[00:03:23.000 --> 00:03:30.000]  謙卑究竟跟跟著說話要小心有什麼關係呢?
[00:03:30.000 --> 00:03:35.000]  那我就問問大家,一個真心謙卑的人
[00:03:35.000 --> 00:03:39.000]  你最快會怎樣去察覺到?
[00:03:39.000 --> 00:03:46.000]  一個真心謙卑的人,首先就會從他的說話顯露出來
