
[00:00:00.000 --> 00:00:02.760]  今日的講題是
[00:00:02.760 --> 00:00:05.800]  「何去何從 路德的抉擇」
[00:00:05.800 --> 00:00:08.080]  亦是今天我們看路德記
[00:00:08.080 --> 00:00:11.800]  嘗試來認識路德這位人物
[00:00:11.800 --> 00:00:14.960]  在這兩個月裏面
[00:00:14.960 --> 00:00:19.200]  有不少我接觸的家庭
[00:00:19.200 --> 00:00:21.520]  他們都失去至親
[00:00:21.520 --> 00:00:25.960]  有姊妹失去她家裏最小的弟弟
[00:00:26.280 --> 00:00:31.200]  目睹最心愛的家人被疾病的折磨
[00:00:31.200 --> 00:00:32.880]  心如刀割
[00:00:32.880 --> 00:00:35.440]  有家人失去妹妹
[00:00:35.440 --> 00:00:37.920]  好像斷了手斷了腳
[00:00:37.920 --> 00:00:41.680]  有人失去他們心愛的媽媽
[00:00:41.680 --> 00:00:44.200]  心靈傷痛
[00:00:44.200 --> 00:00:46.880]  難以宣之於口
[00:00:46.880 --> 00:00:50.360]  煞時的空和苦
[00:00:50.360 --> 00:00:54.240]  不知道何去何從
[00:00:54.720 --> 00:00:58.720]  亦知道有些弟兄姊妹在等待驗身的報告
[00:00:58.720 --> 00:01:05.600]  都有一些弟兄姊妹接到醫生的斷症
[00:01:05.600 --> 00:01:07.360]  無論在經濟上
[00:01:07.360 --> 00:01:10.720]  在選擇甚麼療程上
[00:01:10.720 --> 00:01:13.000]  都不知道應該怎樣抉擇
[00:01:13.000 --> 00:01:14.800]  何去何從
[00:01:14.800 --> 00:01:17.680]  這大半年常常聽到周邊的人
[00:01:17.680 --> 00:01:20.400]  在籌算移民海外
[00:01:20.400 --> 00:01:23.560]  或者將子女送到外地讀書
[00:01:23.560 --> 00:01:25.120]  有人連根拔起
[00:01:25.120 --> 00:01:27.120]  有人向外發展
[00:01:27.120 --> 00:01:29.360]  買樓買樓
[00:01:29.360 --> 00:01:32.360]  結束生意準備就緒
[00:01:32.360 --> 00:01:34.320]  何去何從呢?
