
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹,早上好
[00:00:02.000 --> 00:00:04.000]  讓我們先同心低頭禱告
[00:00:04.000 --> 00:00:09.000]  親愛的天父,感謝你招聚我們成為你的子民
[00:00:09.000 --> 00:00:12.000]  讓我們在你面前聆聽你的教導
[00:00:12.000 --> 00:00:14.000]  求你開我們的心
[00:00:14.000 --> 00:00:17.000]  讓你的道在我們心裡面扎根
[00:00:17.000 --> 00:00:20.000]  禱告是奉主耶穌基督的名字祈求
[00:00:20.000 --> 00:00:22.000]  阿們
[00:00:22.000 --> 00:00:24.000]  弟兄姊妹,不知道你有沒有聽過一個英文字
[00:00:24.000 --> 00:00:26.000]  叫Hangry
[00:00:26.000 --> 00:00:30.000]  就是這個螢幕投射出來Hangry
[00:00:30.000 --> 00:00:33.000]  如果你沒有聽過這個字你可能會想我是不是在說
[00:00:33.000 --> 00:00:35.000]  Hungry 肚子餓
[00:00:35.000 --> 00:00:38.000]  或者是Angry 憤怒
[00:00:38.000 --> 00:00:40.000]  我是不是打錯字呢
[00:00:40.000 --> 00:00:43.000]  當然如果你聽過Hangry這個字的話
[00:00:43.000 --> 00:00:46.000]  你就會知道它其實是一個組合字
[00:00:46.000 --> 00:00:48.000]  組合了Hungry 肚子餓
[00:00:48.000 --> 00:00:50.000]  和Angry 憤怒兩個字
[00:00:50.000 --> 00:00:52.000]  變成這個Hangry
[00:00:52.000 --> 00:00:54.000]  它的意思正正就是形容
[00:00:54.000 --> 00:00:56.000]  我們因為沒有吃東西
[00:00:56.000 --> 00:00:58.000]  肚子餓特別憤怒
[00:00:58.000 --> 00:01:00.000]  特別容易生氣的狀態
[00:01:00.000 --> 00:01:02.000]  所以Hangry這個字
[00:01:02.000 --> 00:01:04.000]  我想中文可以翻譯為是
[00:01:04.000 --> 00:01:06.000]  飢餓成怒
[00:01:06.000 --> 00:01:08.000]  好像惱羞成怒那樣
[00:01:08.000 --> 00:01:10.000]  當然不是因為羞辱
[00:01:10.000 --> 00:01:12.000]  而是因為肚子餓
[00:01:12.000 --> 00:01:14.000]  令你煩憤怒
[00:01:14.000 --> 00:01:16.000]  弟兄姊妹,不知道你多不多經歷這種
[00:01:16.000 --> 00:01:18.000]  飢餓成怒的感覺呢
[00:01:18.000 --> 00:01:22.000]  當然我想這種感覺不是特別良好
[00:01:22.000 --> 00:01:24.000]  不過我想我們多少都試過
[00:01:24.000 --> 00:01:26.000]  或者都經歷過
[00:01:26.000 --> 00:01:28.000]  身邊的同事,朋友
[00:01:28.000 --> 00:01:30.000]  他們可能沒有吃東西
[00:01:30.000 --> 00:01:32.000]  血糖低,就飢餓成怒
[00:01:32.000 --> 00:01:34.000]  突然間發憤怒
[00:01:34.000 --> 00:01:38.000]  其實飢餓成怒是甚麼一回事呢
[00:01:38.000 --> 00:01:40.000]  如果我們先撇開身體的因素
[00:01:40.000 --> 00:01:42.000]  我們不說
[00:01:42.000 --> 00:01:44.000]  基本上我們可以理解整件事就是
[00:01:44.000 --> 00:01:46.000]  當我們需要
[00:01:46.000 --> 00:01:48.000]  或者想要一些東西
[00:01:48.000 --> 00:01:50.000]  但是因為種種的原因
[00:01:50.000 --> 00:01:52.000]  我們這些
[00:01:52.000 --> 00:01:54.000]  需要想要的東西
[00:01:54.000 --> 00:01:56.000]  不能夠被即時的滿足
[00:01:56.000 --> 00:01:58.000]  然後我們的心就變得
[00:01:58.000 --> 00:02:00.000]  亂七八糟,煩躁不安
[00:02:00.000 --> 00:02:02.000]  因為那一刻我們滿腦子
[00:02:02.000 --> 00:02:04.000]  就是在想
[00:02:04.000 --> 00:02:06.000]  我們那樣想要
[00:02:06.000 --> 00:02:08.000]  但是得不到的事
[00:02:08.000 --> 00:02:10.000]  甚至我們會開始變得
[00:02:10.000 --> 00:02:12.000]  煩躁,怨天尤人
[00:02:12.000 --> 00:02:14.000]  覺得全世界都
[00:02:14.000 --> 00:02:16.000]  跟我作對
[00:02:16.000 --> 00:02:18.000]  今天記載的事件
[00:02:18.000 --> 00:02:20.000]  我想正正就是
[00:02:20.000 --> 00:02:22.000]  可以形容為一個
[00:02:22.000 --> 00:02:24.000]  飢餓成怒的事件
[00:02:24.000 --> 00:02:26.000]  經文裡面
[00:02:26.000 --> 00:02:28.000]  當然以色列人不是因為飢餓
[00:02:28.000 --> 00:02:30.000]  而是因為沒有水喝
