
[00:00:00.000 --> 00:00:02.000]  提醒小妹願你們平安
[00:00:02.000 --> 00:00:07.720]  在這個新冠肺炎病毒的肆虐人心惶惶的時候
[00:00:07.720 --> 00:00:12.360]  想藉著視頻行傳22章30節到23章35節
[00:00:12.360 --> 00:00:14.360]  和大家思考一個題目
[00:00:14.360 --> 00:00:17.200]  叫做「壯起膽來」
[00:00:17.200 --> 00:00:20.000]  如果你和另一個人說
[00:00:20.000 --> 00:00:21.600]  「壯起膽來」
[00:00:21.600 --> 00:00:23.240]  這代表什麼呢?
[00:00:23.240 --> 00:00:25.240]  很可能你覺得這個人
[00:00:25.240 --> 00:00:28.000]  對一些事情不夠膽
[00:00:28.000 --> 00:00:32.480]  或者告訴他你沒有膽量
[00:00:32.480 --> 00:00:35.120]  那怎樣才算沒有膽量呢?
[00:00:35.120 --> 00:00:40.160]  還記得在香港
[00:00:40.160 --> 00:00:41.640]  一個多月前
[00:00:41.640 --> 00:00:45.680]  有些很怕這個新冠肺炎
[00:00:45.680 --> 00:00:48.160]  會影響廁紙的供應
[00:00:48.160 --> 00:00:50.440]  就拼命地買
[00:00:50.440 --> 00:00:52.440]  堆在街上
[00:00:52.440 --> 00:00:55.200]  那時候很多人都批評這些人
[00:00:55.200 --> 00:00:58.200]  說他們自私
[00:00:58.200 --> 00:01:00.200]  沒錯
[00:01:00.200 --> 00:01:04.400]  在這些自私行為的背後
[00:01:04.400 --> 00:01:05.400]  是什麼呢?
[00:01:05.400 --> 00:01:07.400]  就是因為他們怕
[00:01:07.400 --> 00:01:09.400]  就是因為他們膽怯
[00:01:09.400 --> 00:01:11.400]  那時候
[00:01:11.400 --> 00:01:13.400]  有很多人都會笑這些人沒有膽
[00:01:13.400 --> 00:01:15.400]  包括我上來
[00:01:15.400 --> 00:01:17.400]  直到有一天
[00:01:17.400 --> 00:01:19.400]  當我經過
[00:01:19.400 --> 00:01:21.400]  我家附近的街市
[00:01:21.400 --> 00:01:24.400]  看到一個雜貨舖
[00:01:24.400 --> 00:01:26.400]  剛剛有幾排廁紙
[00:01:26.400 --> 00:01:28.400]  被送進去的時候
[00:01:28.400 --> 00:01:31.400]  雖然我家是夠廁紙的
[00:01:31.400 --> 00:01:33.400]  但在人頭湧湧的時候
[00:01:33.400 --> 00:01:36.400]  我都快快地拿著一包
[00:01:36.400 --> 00:01:37.400]  為什麼呢?
[00:01:37.400 --> 00:01:38.400]  兩個字
[00:01:38.400 --> 00:01:40.400]  膽怯
[00:01:40.400 --> 00:01:43.400]  膽怯或者是害怕
[00:01:43.400 --> 00:01:47.400]  是人在危險或者困難的情況中
[00:01:47.400 --> 00:01:49.400]  很自然的反應
[00:01:49.400 --> 00:01:53.400]  那怎樣才算膽壯呢?
[00:01:53.400 --> 00:01:55.400]  在今年三月中
[00:01:55.400 --> 00:01:58.400]  為了減低新冠肺炎病毒的傳播
[00:01:58.400 --> 00:02:01.400]  美國政府呼籲人民
[00:02:01.400 --> 00:02:03.400]  不要去多過十個人的地方
[00:02:03.400 --> 00:02:06.400]  很多美國大學生不聽
[00:02:06.400 --> 00:02:09.400]  大批人聚在很多沙灘
[00:02:09.400 --> 00:02:12.400]  差不多有一兩個星期的時間
[00:02:12.400 --> 00:02:16.400]  有些學生好像不在乎
[00:02:16.400 --> 00:02:20.400]  還說如果我有這個病毒就好了
[00:02:20.400 --> 00:02:24.400]  我不會因為這個病毒洗我不能去玩
[00:02:24.400 --> 00:02:26.400]  這個是不是膽壯呢?
[00:02:26.400 --> 00:02:28.400]  當然不是
[00:02:28.400 --> 00:02:30.400]  或者他們不怕死
[00:02:30.400 --> 00:02:32.400]  但是他染了之後
[00:02:32.400 --> 00:02:37.400]  會危害他們的家庭、朋友和整個國家
[00:02:37.400 --> 00:02:41.400]  所以膽壯不等於不怕
[00:02:41.400 --> 00:02:45.400]  那怎樣才算膽壯呢?
[00:02:45.400 --> 00:02:50.400]  字典中對膽壯或者勇氣的定義是
[00:02:50.400 --> 00:02:55.400]  有能力去面對危險或者困難的情況
[00:02:55.400 --> 00:02:57.400]  其中包括兩方面
[00:02:57.400 --> 00:02:59.400]  第一,生理方面
[00:02:59.400 --> 00:03:02.400]  有能力去面對痛苦、艱辛、死亡
[00:03:02.400 --> 00:03:04.400]  或者死亡的威脅
[00:03:04.400 --> 00:03:07.400]  另外,就是道德方面
[00:03:07.400 --> 00:03:09.400]  有能力在危險的時候
[00:03:09.400 --> 00:03:12.400]  愛著自己的信念去做正確的事
[00:03:12.400 --> 00:03:15.400]  這些包括去做正確的事
[00:03:15.400 --> 00:03:17.400]  和不做不正確的事
[00:03:17.400 --> 00:03:19.400]  有勇氣的人
[00:03:19.400 --> 00:03:23.400]  很多時候是同時有生理和道德方面的
[00:03:23.400 --> 00:03:25.400]  在這個疫症裡面
[00:03:25.400 --> 00:03:27.400]  我們看到很多醫護人員
[00:03:27.400 --> 00:03:29.400]  都是冒著自己生命危險
[00:03:29.400 --> 00:03:32.400]  去救那些染病的病人
[00:03:32.400 --> 00:03:35.400]  這個就是一個很好的例子
[00:03:35.400 --> 00:03:39.400]  這樣,壯起膽來這個題目
[00:03:39.400 --> 00:03:41.400]  和今天的經文有什麼關係呢?
[00:03:41.400 --> 00:03:46.400]  其實是主耶穌對保羅所說的一句話
[00:03:46.400 --> 00:03:48.400]  放心吧
[00:03:48.400 --> 00:03:51.400]  這是和修本和英文譯本的翻譯
[00:03:51.400 --> 00:03:54.400]  但是在希臘的原文
[00:03:54.400 --> 00:03:55.400]  這句話是
[00:03:55.400 --> 00:03:56.400]  你要壯起膽來
[00:03:56.400 --> 00:03:58.400]  你要有勇氣
[00:03:58.400 --> 00:04:00.400]  就是說
[00:04:00.400 --> 00:04:01.400]  保羅不夠勇氣
[00:04:01.400 --> 00:04:03.400]  要壯起膽來
[00:04:03.400 --> 00:04:05.400]  Take courage
[00:04:05.400 --> 00:04:06.400]  那麼
[00:04:06.400 --> 00:04:10.400]  保羅是不是一個不夠膽量的人呢?
[00:04:10.400 --> 00:04:13.400]  這個就是保羅第三次宣教的旅程
[00:04:13.400 --> 00:04:17.400]  保羅在哥倫多勇敢地傳道
[00:04:17.400 --> 00:04:20.400]  使得很多人信主
[00:04:20.400 --> 00:04:23.400]  主耶穌就在意象中
