
[00:00:00.000 --> 00:00:04.380]  我們一起在神的面前祈禱準備我們的心
[00:00:04.380 --> 00:00:11.700]  親愛的聖天父,感謝禰是上上眷顧我們天上的父
[00:00:11.700 --> 00:00:14.340]  我們就在禰面前祈求
[00:00:14.340 --> 00:00:17.920]  下面的時間,求禰來幫助我們
[00:00:17.920 --> 00:00:22.360]  打開我們的心門,去聆聽禰的話語
[00:00:22.360 --> 00:00:27.840]  讓我們這樣忠心地聆聽禰的侍奉
[00:00:28.320 --> 00:00:30.320]  是得蒙禰的喜悅
[00:00:30.320 --> 00:00:32.320]  也是成爲我們的祝福
[00:00:32.320 --> 00:00:34.820]  改變我們的生命
[00:00:34.820 --> 00:00:38.200]  更新我們整個教會
[00:00:38.200 --> 00:00:41.320]  讓我們在這裏可以彰顯禰的名
[00:00:41.320 --> 00:00:44.440]  祈禱是奉主耶穌的聖命祈求
[00:00:44.440 --> 00:00:51.200]  今次是這個月的第二次講道
[00:00:51.200 --> 00:00:54.460]  上次是講教會系列的第一次
[00:00:54.760 --> 00:00:58.360]  今次我定名爲「輕香的祭」
[00:00:58.360 --> 00:01:00.360]  其實很簡單地講
[00:01:00.360 --> 00:01:02.860]  是跟大家講祈禱的
[00:01:02.860 --> 00:01:05.260]  今天的主題是「禱告」
[00:01:05.260 --> 00:01:09.960]  上次是講教會的聚會
[00:01:09.960 --> 00:01:11.960]  如果大家還記得的話
[00:01:11.960 --> 00:01:17.560]  今次要跟大家講的有關的「禱告」
[00:01:17.560 --> 00:01:22.760]  是必須要和上次的聚會一起講的
[00:01:22.760 --> 00:01:28.760]  所以我簡單地做一次上次聚會的總結
[00:01:28.760 --> 00:01:30.760]  我是這樣強調的
[00:01:30.760 --> 00:01:32.760]  強調在聚會的時候
[00:01:32.760 --> 00:01:36.360]  我們是參與一個關係網裏面
[00:01:36.360 --> 00:01:38.360]  簡單地說
[00:01:38.360 --> 00:01:42.360]  這個關係網在聖經裏面用的字叫做「團契」
[00:01:42.360 --> 00:01:45.360]  在外宗的團契
[00:01:45.360 --> 00:01:48.360]  這個關係網就是
[00:01:48.360 --> 00:01:54.360]  上面是我們整體一起和神有交往
[00:01:54.360 --> 00:02:00.360]  而我們彼此之間是能夠在外宗成爲團契
[00:02:00.360 --> 00:02:02.360]  與神與人的團契
[00:02:02.360 --> 00:02:04.360]  這個就是教會
[00:02:04.360 --> 00:02:06.360]  這個是教會的本體
[00:02:06.360 --> 00:02:07.360]  用了這個字
[00:02:07.360 --> 00:02:10.360]  神學家用了這個本體很深的一個字
[00:02:10.360 --> 00:02:14.360]  意思就是沒有了這個團契就不成爲教會
[00:02:14.360 --> 00:02:16.360]  沒有了這個愛的團契
[00:02:16.360 --> 00:02:20.360]  愛的團契定義了教會
[00:02:20.360 --> 00:02:22.360]  在聚會當中
[00:02:22.360 --> 00:02:27.360]  我們是以宣講神的話來做侍奉
[00:02:27.360 --> 00:02:29.360]  爲什麼叫侍奉呢?
[00:02:29.360 --> 00:02:31.360]  侍奉很簡單
[00:02:31.360 --> 00:02:35.360]  做具體的事情當然是侍奉
[00:02:35.360 --> 00:02:37.360]  但是最重要的侍奉
[00:02:37.360 --> 00:02:40.360]  在我們教會聚會當中最重要的侍奉
[00:02:40.360 --> 00:02:42.360]  就好像大家現在正在做的
[00:02:42.360 --> 00:02:46.360]  坐在這裏聽神的話
[00:02:46.360 --> 00:02:48.360]  聆聽神的話
[00:02:48.360 --> 00:02:53.360]  然後按照神的話更新我們的生命
[00:02:53.360 --> 00:02:55.360]  這個是最好的侍奉
[00:02:55.360 --> 00:02:58.360]  是神最喜歡的侍奉
[00:02:58.360 --> 00:03:08.360]  上次我將重點大概給大家介紹一下
[00:03:08.360 --> 00:03:11.360]  知道上次是講什麼
[00:03:11.360 --> 00:03:13.360]  我今天要特別多強調一點
[00:03:13.360 --> 00:03:15.360]  有關聚會
[00:03:15.360 --> 00:03:18.360]  我們這裏是有幾十人聚會
[00:03:18.360 --> 00:03:23.360]  再加上在家裏參加聚會的弟兄姊妹
[00:03:23.360 --> 00:03:26.360]  我們這樣是成爲一個教會
[00:03:26.360 --> 00:03:28.360]  教會就是指人不是指組織
[00:03:28.360 --> 00:03:30.360]  我們都知道
[00:03:30.360 --> 00:03:34.360]  但是我們不單止是參與在這個教會當中
