
[00:00:00.000 --> 00:00:02.760]  在這個時間安靜自己
[00:00:02.760 --> 00:00:07.440]  我們停留在神的同在之中
[00:00:07.440 --> 00:00:13.980]  用時間把我們心裡的重擔
[00:00:13.980 --> 00:00:18.620]  一天的求主挪開
[00:00:18.620 --> 00:00:22.220]  求主幫助我們
[00:00:22.220 --> 00:00:25.920]  耶穌說:凡奴婦擔重擔,到我第一歲來
[00:00:25.920 --> 00:00:28.600]  我就賜妳來安息
[00:00:28.600 --> 00:00:39.200]  主啊,求妳今天來幫助我們
[00:00:39.200 --> 00:00:40.740]  主啊,多謝妳
[00:00:40.740 --> 00:00:44.340]  妳已經來到我們當中
[00:00:44.340 --> 00:00:47.720]  地上兩三個人奉妳的名聚會
[00:00:47.720 --> 00:00:50.420]  妳就在我們當中
[00:00:50.420 --> 00:00:53.520]  我們經過一個禮拜
[00:00:53.520 --> 00:00:57.360]  艱苦的生活、路程
[00:00:57.360 --> 00:01:02.420]  我們終於可以安躺在主的懷裡
[00:01:02.420 --> 00:01:07.960]  讓我們能夠去聆聽你心裡的說話
[00:01:07.960 --> 00:01:11.940]  求你除去一切干擾我們的事物
[00:01:11.940 --> 00:01:16.340]  那些雜念、那些紛擾的事
[00:01:16.340 --> 00:01:21.080]  讓我們可以專心聆聽你的話語
[00:01:21.080 --> 00:01:23.920]  你對我們每一個人的心意
[00:01:23.920 --> 00:01:26.720]  禱告奉基督耶穌的聖名
[00:01:26.720 --> 00:01:29.480]  阿門
[00:01:29.480 --> 00:01:30.760]  今天的訊息叫做
[00:01:30.760 --> 00:01:34.400]  「不可缺少的一件」
[00:01:34.400 --> 00:01:37.360]  大家有沒有試過
[00:01:37.360 --> 00:01:40.800]  外出的時候有很多事情要想
[00:01:40.800 --> 00:01:42.760]  然後走到外面
[00:01:42.760 --> 00:01:46.200]  哎呀,漏了錢包
[00:01:46.200 --> 00:01:48.400]  然後又回頭
[00:01:48.400 --> 00:01:49.200]  再出去
[00:01:49.200 --> 00:01:53.380]  哎呀,漏了電話
[00:01:53.380 --> 00:01:56.280]  然後又回頭
[00:01:56.280 --> 00:01:58.480]  我試得多
[00:01:58.480 --> 00:01:59.780]  有時候我怒怒的
[00:01:59.780 --> 00:02:01.880]  索性不回去拿
[00:02:01.880 --> 00:02:04.920]  看看我那天怎麼過
[00:02:04.920 --> 00:02:06.160]  然後你就發現
[00:02:06.160 --> 00:02:08.160]  如果那天沒有帶電話
[00:02:08.160 --> 00:02:10.220]  那個人虛虛浮浮
[00:02:10.220 --> 00:02:12.260]  很不踏實
[00:02:12.260 --> 00:02:15.500]  然後又不能查電郵
[00:02:15.500 --> 00:02:17.260]  啊,也能查電郵
[00:02:17.260 --> 00:02:20.140]  教會的電腦可以查到
[00:02:20.140 --> 00:02:22.140]  但是那些WhatsApp
[00:02:22.140 --> 00:02:24.440]  現在很多人不用電郵了
[00:02:24.440 --> 00:02:28.400]  我們好像彷彿從世界隱形了
[00:02:28.400 --> 00:02:33.140]  人間蒸發了一樣
[00:02:33.140 --> 00:02:38.660]  今天究竟有什麼是不可缺少的呢?
[00:02:38.660 --> 00:02:39.920]  今天我們外出之前
[00:02:39.920 --> 00:02:41.160]  可能我們就覺得
[00:02:41.160 --> 00:02:44.100]  這個手機一定不可缺少
[00:02:44.100 --> 00:02:48.400]  可能你已經是進入了手機的魔咒
[00:02:48.400 --> 00:02:51.360]  沒有你的日子很孤單
[00:02:51.360 --> 00:02:56.900]  沒有手機的日子怎麼過?
[00:02:56.900 --> 00:03:01.340]  我也記得有一個信用卡的廣告
[00:03:01.340 --> 00:03:04.340]  那個人出了門
[00:03:04.340 --> 00:03:06.680]  然後行李全沒了
[00:03:06.680 --> 00:03:09.720]  然後他憑著一張信用卡
[00:03:09.720 --> 00:03:11.920]  可以租整架遊艇
[00:03:11.920 --> 00:03:13.420]  繼續開心
[00:03:13.420 --> 00:03:14.320]  還開心了
[00:03:14.320 --> 00:03:18.720]  因為可以再買那些衣服、行李
[00:03:18.720 --> 00:03:22.200]  啊,有什麼是不可缺少的呢?
[00:03:22.200 --> 00:03:23.260]  可能在旅行裡面
[00:03:23.260 --> 00:03:28.060]  真是一張信用卡比一切都重要
[00:03:28.060 --> 00:03:29.000]  其實有沒有想過
[00:03:29.000 --> 00:03:32.200]  究竟今天我們在教會的生活裡面
[00:03:32.200 --> 00:03:34.140]  這麼多的侍奉
[00:03:34.140 --> 00:03:37.580]  這麼多的不同的活動
[00:03:37.580 --> 00:03:39.280]  或者我們自己的人生裡面
[00:03:39.280 --> 00:03:41.920]  很多事情都要去做
[00:03:41.920 --> 00:03:44.120]  有沒有一些是很重要
[00:03:44.120 --> 00:03:45.820]  我們忽略了
[00:03:45.820 --> 00:03:48.120]  有沒有一些事情我們做得太多
[00:03:48.120 --> 00:03:51.060]  其實實際不是很重要
[00:03:51.060 --> 00:03:53.060]  今天的經文我們再一次
[00:03:53.060 --> 00:03:55.020]  剛才治港大已經讀完了
[00:03:55.020 --> 00:03:58.300]  不如我們自己也細心地去讀一讀
[00:03:58.300 --> 00:04:01.860]  究竟耶穌帶給我們什麼訊息
[00:04:01.860 --> 00:04:02.640]  我們一起來讀
[00:04:02.640 --> 00:04:04.240]  《路加福音》十章
