
[00:00:00.000 --> 00:00:03.000]  在新的一年的開始
[00:00:03.000 --> 00:00:06.000]  給我們再一次的肯定
[00:00:06.000 --> 00:00:09.000]  神就是我們的目者
[00:00:09.000 --> 00:00:11.000]  我們不自缺乏
[00:00:11.000 --> 00:00:15.000]  祂要帶領我們來到前面的道路裏面
[00:00:15.000 --> 00:00:18.000]  來經歷祂的恩典
[00:00:18.000 --> 00:00:21.000]  新的一年在開始
[00:00:21.000 --> 00:00:24.000]  祝大家一元復始
[00:00:24.000 --> 00:00:26.000]  萬象更新
[00:00:26.000 --> 00:00:27.000]  新年進步
[00:00:27.000 --> 00:00:34.000]  如果我們要回復上帝創造我們生命的原貌
[00:00:34.000 --> 00:00:37.000]  反映上帝的榮耀
[00:00:37.000 --> 00:00:42.000]  我們的生命真的要來到不斷的成長
[00:00:42.000 --> 00:00:44.000]  更加像基督
[00:00:44.000 --> 00:00:48.000]  所以今年的主題我們叫做生命紮根
[00:00:48.000 --> 00:00:53.000]  以致我們能夠更像耶穌基督
[00:00:53.000 --> 00:00:57.000]  所以我們有新的依賴架
[00:00:57.000 --> 00:00:59.000]  生命紮根
[00:00:59.000 --> 00:01:01.000]  使命傳承
[00:01:01.000 --> 00:01:07.000]  這個是我們今年的主題
[00:01:07.000 --> 00:01:10.000]  亦都很盼望我們一齊的會眾
[00:01:10.000 --> 00:01:13.000]  我們弟兄姊妹都朝向這一樣東西
[00:01:13.000 --> 00:01:15.000]  我們來問我們自己
[00:01:15.000 --> 00:01:17.000]  我們生命紮根在哪裏呢
[00:01:17.000 --> 00:01:21.000]  我們的生命是否紮根在上帝的裏面呢
[00:01:21.000 --> 00:01:27.000]  還是我們生命紮根在草木和街
[00:01:27.000 --> 00:01:30.000]  在沙土的事情上
[00:01:30.000 --> 00:01:36.000]  所以今年我們就透過這個主題
[00:01:36.000 --> 00:01:39.000]  我們在上半年我們會思想
[00:01:39.000 --> 00:01:42.000]  撒慕爾記上下
[00:01:42.000 --> 00:01:49.000]  來思想這個使命怎樣來傳承下去
[00:01:49.000 --> 00:01:54.000]  我們找到新的一個領導
[00:01:54.000 --> 00:01:59.000]  來繼續傳承主的使命
[00:01:59.000 --> 00:02:02.000]  我們一齊打開我們聖經
[00:02:02.000 --> 00:02:04.000]  撒慕爾記上第一章
[00:02:04.000 --> 00:02:09.000]  我們今天會思想全章的聖經
[00:02:09.000 --> 00:02:10.000]  時間的關係
[00:02:10.000 --> 00:02:18.000]  我們一齊用啟業的方式讀一至八節
[00:02:18.000 --> 00:02:19.000]  讀單數的節數
[00:02:19.000 --> 00:02:21.000]  請弟兄姊妹讀雙數的節數
[00:02:21.000 --> 00:02:26.000]  讀一讀開始那一段的說話
[00:02:26.000 --> 00:02:30.000]  讓我們開始思想
[00:02:30.000 --> 00:02:34.000]  神通過這一段的聖經對我們的提醒
[00:02:34.000 --> 00:02:35.000]  讀單數的節數
[00:02:35.000 --> 00:02:37.000]  請弟兄姊妹讀雙數的節數
[00:02:37.000 --> 00:02:39.000]  以法連山地的拉瑪所飛
[00:02:39.000 --> 00:02:41.000]  有一個以法連人
[00:02:41.000 --> 00:02:43.000]  名叫以利加拿
[00:02:43.000 --> 00:02:45.000]  是蘇忽的元孫
[00:02:45.000 --> 00:02:47.000]  托胡的曾孫
[00:02:47.000 --> 00:02:49.000]  以利胡的孫子
[00:02:49.000 --> 00:02:51.000]  耶羅漢的兒子
[00:02:51.000 --> 00:03:00.000]  (耶羅漢人說)
[00:03:00.000 --> 00:03:03.000]  這人滿年從本城上到侍羅
[00:03:03.000 --> 00:03:06.000]  敬拜祭祀萬軍之耶和華
[00:03:06.000 --> 00:03:09.000]  在那裡有以利的兩個兒子
[00:03:09.000 --> 00:03:10.000]  何忽尼
[00:03:10.000 --> 00:03:13.000]  菲尼哈當耶和華的祭師
[00:03:13.000 --> 00:03:22.000]  (耶羅漢人說)
[00:03:22.000 --> 00:03:24.000]  給哈拿的卻是傷份
[00:03:24.000 --> 00:03:26.000]  因為他愛哈拿
[00:03:26.000 --> 00:03:29.000]  沒久耶和華不使哈拿生育
[00:03:29.000 --> 00:03:38.000]  (耶羅漢人說)
[00:03:38.000 --> 00:03:41.000]  每年上到耶和華殿的時候
[00:03:41.000 --> 00:03:44.000]  以利加拿都以傷份給哈拿
[00:03:44.000 --> 00:03:46.000]  比利那仍是激動他
[00:03:46.000 --> 00:03:49.000]  以致他哭泣不吃飯
[00:03:49.000 --> 00:04:00.000]  (耶羅漢人說)
[00:04:00.000 --> 00:04:03.000]  我們讀到這裡為止
[00:04:03.000 --> 00:04:05.000]  哈拿心裡面
[00:04:05.000 --> 00:04:07.000]  是心裡面受罰
[00:04:07.000 --> 00:04:10.000]  你有沒有心裡面受罰呢?
[00:04:10.000 --> 00:04:12.000]  在新的一年
[00:04:12.000 --> 00:04:15.000]  不知道你有沒有一些東西去受罰
[00:04:15.000 --> 00:04:17.000]  人需要盼望
[00:04:17.000 --> 00:04:19.000]  如果沒有盼望
[00:04:19.000 --> 00:04:22.000]  我們就失去
[00:04:22.000 --> 00:04:26.000]  我們生命的那種生存的那種
[00:04:26.000 --> 00:04:29.000]  奮鬥的心
[00:04:29.000 --> 00:04:32.000]  曾經在美國有人做了一個這樣的實驗
[00:04:32.000 --> 00:04:35.000]  將一隻老鼠放在水裡面
[00:04:35.000 --> 00:04:37.000]  這隻老鼠就不停掙扎
[00:04:37.000 --> 00:04:38.000]  掙扎幾個小時
[00:04:38.000 --> 00:04:40.000]  最終淹死了
[00:04:40.000 --> 00:04:43.000]  他死於筋疲力盡
[00:04:43.000 --> 00:04:45.000]  他又放另一隻老鼠
[00:04:45.000 --> 00:04:46.000]  不過放之前
[00:04:46.000 --> 00:04:49.000]  放老鼠落水之前
[00:04:49.000 --> 00:04:52.000]  還沒放就抓了老鼠
[00:04:52.000 --> 00:04:54.000]  拿他半空
[00:04:54.000 --> 00:04:55.000]  抓住他
[00:04:55.000 --> 00:04:56.000]  抓住他的時候
[00:04:56.000 --> 00:04:58.000]  老鼠又掙扎、掙扎、掙扎
[00:04:58.000 --> 00:05:02.000]  掙扎沒多久
[00:05:02.000 --> 00:05:05.000]  掙扎不甩這隻手
[00:05:05.000 --> 00:05:07.000]  結果就放棄了
[00:05:07.000 --> 00:05:08.000]  不掙扎了
[00:05:08.000 --> 00:05:10.000]  當他放棄的時候
[00:05:10.000 --> 00:05:13.000]  這個實驗的人
[00:05:13.000 --> 00:05:15.000]  就讓老鼠休息一會兒
[00:05:15.000 --> 00:05:17.000]  然後放在水裡面
[00:05:17.000 --> 00:05:19.000]  老鼠又放他落水
