
[00:00:00.000 --> 00:00:02.980]  我想問問大家一個問題
[00:00:02.980 --> 00:00:06.700]  我想問問你,向人傳福音難不難?
[00:00:06.700 --> 00:00:09.900]  不過我已經解釋了大家的說難
[00:00:09.900 --> 00:00:12.860]  所以我就問大家第二個問題
[00:00:12.860 --> 00:00:14.240]  難在哪裏呢?
[00:00:14.240 --> 00:00:17.700]  你用三秒左右想一想
[00:00:17.700 --> 00:00:20.620]  向人傳福音,你覺得困難在哪裏呢?
[00:00:20.620 --> 00:00:25.420]  多給我五秒
[00:00:25.420 --> 00:00:27.960]  你應該想到難在哪裏了
[00:00:29.020 --> 00:00:32.960]  好了,我想你和你旁邊那位分享
[00:00:32.960 --> 00:00:34.560]  你覺得難在哪裏呢?
[00:00:34.560 --> 00:00:36.880]  和他分享,你覺得難在哪裏呢?
[00:00:36.880 --> 00:00:47.480]  多給我五秒
[00:00:47.480 --> 00:00:54.580]  好,時間夠了,看回我了
[00:00:54.580 --> 00:00:58.040]  不知道在當中有沒有人勇氣一點
[00:00:58.040 --> 00:00:59.620]  有勇氣一點,大膽一點
[00:00:59.620 --> 00:01:01.940]  你講,可能你認為的困難
[00:01:01.940 --> 00:01:03.980]  或者你聽到旁邊那位人認為的困難
[00:01:03.980 --> 00:01:06.360]  你可以大聲一點在座位上講給我聽
[00:01:06.360 --> 00:01:07.820]  難在哪裏呢?
[00:01:07.820 --> 00:01:09.060]  有沒有人可以試一下?
[00:01:09.060 --> 00:01:12.360]  對方有自己的一套
[00:01:12.360 --> 00:01:14.480]  其他呢?有沒有哪個?
[00:01:14.480 --> 00:01:17.820]  怕被人拒絕,是呀
[00:01:17.820 --> 00:01:18.620]  還有沒有呢?
[00:01:18.620 --> 00:01:22.920]  他不相信宗教,是是是
[00:01:22.920 --> 00:01:26.140]  可能還有其他的原因在裏面
[00:01:26.140 --> 00:01:29.080]  所以有時覺得傳福音是很難的
[00:01:29.080 --> 00:01:31.700]  通常很難的緣故,通常都沒有什麼可以做的
[00:01:31.700 --> 00:01:33.820]  有得去啦
[00:01:33.820 --> 00:01:36.500]  我想今天看一看這段經文
[00:01:36.500 --> 00:01:41.220]  究竟當時使徒他們講福音
[00:01:41.220 --> 00:01:42.600]  哎呀,按錯了
[00:01:42.600 --> 00:01:44.600]  當時有多少人信主?
[00:01:44.600 --> 00:01:47.200]  聖經說,三千人
[00:01:47.200 --> 00:01:50.020]  嘩,這麼快就有三千人了
[00:01:50.020 --> 00:01:51.620]  是怎樣的呢?
[00:01:51.620 --> 00:01:54.300]  而這段聖經有一個背景
