
[00:00:00.000 --> 00:00:05.700]  我記得很久以前上過一個情緒管理的課程
[00:00:05.700 --> 00:00:09.300]  那位老師要求我們兩分鐘之內
[00:00:09.300 --> 00:00:14.400]  寫下三十種情緒的形容詞
[00:00:14.400 --> 00:00:17.400]  我不知道你這一刻想到甚麼形容詞
[00:00:17.400 --> 00:00:20.600]  超過三分之二的學生寫的形容詞
[00:00:20.600 --> 00:00:23.000]  都是比較負面的
[00:00:23.000 --> 00:00:28.100]  討厭、很委屈、受傷、沮喪
[00:00:28.100 --> 00:00:30.400]  這位老師開玩笑地跟我們說
[00:00:30.400 --> 00:00:34.800]  這一班的自殺指數都很高
[00:00:34.800 --> 00:00:37.700]  近年對大腦的研究顯示
[00:00:37.700 --> 00:00:42.800]  人對負面的訊息有一個頗強烈的偏好
[00:00:42.800 --> 00:00:44.300]  我不知道你認不認同
[00:00:44.300 --> 00:00:47.100]  當我們想起一些負面的記憶
[00:00:47.100 --> 00:00:51.700]  總是比正面的記憶來得快很多
[00:00:51.700 --> 00:00:55.000]  即使我們順著一段時間
[00:00:55.000 --> 00:00:58.900]  可能有時候我們的目光都是訂正在
[00:00:58.900 --> 00:01:03.000]  世界上的苦難、人生的不公義
[00:01:03.000 --> 00:01:05.800]  自己有甚麼的缺陷、虧損
[00:01:05.800 --> 00:01:09.900]  裡面原來可能都充斥著很多負面的記憶
[00:01:09.900 --> 00:01:14.300]  不公平的對待、被冤枉、被曲解
[00:01:14.300 --> 00:01:21.000]  很多的不滿、甚至失望、孤單、感慨和委屈
[00:01:21.000 --> 00:01:23.200]  有人做過這樣的調查
[00:01:23.200 --> 00:01:27.900]  如果你回到家打開雪櫃裡面有很多的食物
[00:01:27.900 --> 00:01:30.700]  在衣櫃裡面一打開的時候有很多的衣服
[00:01:30.700 --> 00:01:33.400]  甚至多到衣服掉下來的時候
[00:01:33.400 --> 00:01:35.700]  你住的地方有瓦遮頭
[00:01:35.700 --> 00:01:40.700]  你已經比世界上75%的人富有和幸福
[00:01:40.700 --> 00:01:44.000]  如果你在銀行裡面有儲蓄
[00:01:44.000 --> 00:01:46.400]  銀包經常都有錢
[00:01:46.400 --> 00:01:51.700]  你已經可能列入世界裡面8%最富有的人當中
[00:01:51.700 --> 00:01:55.200]  如果你今天起床感覺到很健康
[00:01:55.200 --> 00:01:56.600]  沒有病、沒有痛
[00:01:56.600 --> 00:01:59.800]  你已經比每天數以百萬面臨死亡
[00:01:59.800 --> 00:02:03.100]  或者患病的人幸福
[00:02:03.100 --> 00:02:06.000]  如果這一刻你有沒有遇上戰爭
[00:02:06.000 --> 00:02:09.200]  有沒有被囚禁、有沒有被虐待
[00:02:09.200 --> 00:02:13.400]  你已經比世界上數以千萬的人幸福
[00:02:13.400 --> 00:02:16.400]  我不知道你會怎樣回答以下這三個問題
[00:02:16.400 --> 00:02:19.900]  今天有沒有一些值得你感恩的事呢?
[00:02:19.900 --> 00:02:21.700]  還是一個早上
[00:02:21.700 --> 00:02:24.000]  不知道你有沒有想起一些感恩的事
[00:02:24.000 --> 00:02:26.500]  今年過了大半年了
[00:02:26.500 --> 00:02:28.700]  有沒有一些值得你感恩的事呢?
[00:02:28.700 --> 00:02:31.400]  在你的人生、在你的一生裡面
[00:02:31.400 --> 00:02:34.200]  有沒有一些值得感恩的事呢?
[00:02:34.200 --> 00:02:37.700]  如果你能夠很快地回答了我這三個問題
[00:02:37.700 --> 00:02:41.200]  我想你應該是一個很感恩快樂的人
[00:02:41.200 --> 00:02:43.200]  如果你仍然未能夠回答
[00:02:43.200 --> 00:02:44.200]  不要緊
[00:02:44.200 --> 00:02:47.800]  今天詩人就要透過詩篇103篇
[00:02:47.800 --> 00:02:50.400]  給我們一個範例和教導
[00:02:50.400 --> 00:02:54.000]  讓聖靈帶領我們好好地學習
[00:02:54.000 --> 00:02:55.900]  讓我們一起翻開
[00:02:55.900 --> 00:02:59.400]  舊約聖經第779頁
[00:02:59.400 --> 00:03:02.400]  詩篇103篇
[00:03:02.400 --> 00:03:07.900]  舊約聖經第779頁
[00:03:07.900 --> 00:03:09.600]  詩篇103篇
[00:03:09.600 --> 00:03:12.200]  是一首很著名的感恩詩
[00:03:12.200 --> 00:03:15.200]  在歷代教會都很喜歡去誦讀
[00:03:15.200 --> 00:03:18.000]  甚至翻譯成為詩歌
[00:03:18.000 --> 00:03:19.300]  在這個詩篇裡面
[00:03:19.300 --> 00:03:23.000]  詩人就將感恩化作成為頌讚
[00:03:23.000 --> 00:03:25.800]  因為神所賜一切的恩惠
[00:03:25.800 --> 00:03:27.800]  不單是祝福祂的子民
[00:03:27.800 --> 00:03:31.400]  也彰顯了祂永美的屬性
[00:03:31.400 --> 00:03:34.000]  神的名是應當稱頌的
[00:03:34.000 --> 00:03:36.200]  讓我們一起屢到同聲
[00:03:36.200 --> 00:03:39.000]  屢到讀出第一至到第六節
[00:03:39.000 --> 00:03:40.600]  預備起
[00:03:40.600 --> 00:03:41.900]  我的心啊
[00:03:41.900 --> 00:03:44.200]  你要稱頌耶和華
[00:03:44.200 --> 00:03:46.200]  凡在我裡面的
[00:03:46.200 --> 00:03:49.200]  也要稱頌祂的聖名
[00:03:49.200 --> 00:03:50.400]  我的心啊
[00:03:50.400 --> 00:03:52.800]  你要稱頌耶和華
[00:03:52.800 --> 00:03:56.200]  不可忘記祂的一切恩惠
[00:03:56.200 --> 00:03:59.200]  祂赦免你的一切罪孽
[00:03:59.200 --> 00:04:01.800]  醫治你的一切疾病
[00:04:01.800 --> 00:04:03.800]  祂救贖你的命
[00:04:03.800 --> 00:04:05.400]  脫離死亡
[00:04:05.400 --> 00:04:09.400]  以仁愛和慈悲為你的冠冕
[00:04:09.400 --> 00:04:14.000]  祂用美物使你所願的得以知足
[00:04:14.000 --> 00:04:17.600]  以示你如應返老還童
[00:04:17.600 --> 00:04:20.200]  耶和華施行公義
[00:04:20.200 --> 00:04:24.000]  為一切受屈的人申冤
[00:04:24.000 --> 00:04:25.800]  請我們不要蓋上聖經
[00:04:25.800 --> 00:04:29.800]  我們稍後繼續讀
[00:04:29.800 --> 00:04:31.400]  詩人一開始就說
[00:04:31.400 --> 00:04:32.800]  我的心啊
[00:04:32.800 --> 00:04:34.800]  你要稱頌耶和華
[00:04:34.800 --> 00:04:36.200]  凡在我裡面的
[00:04:36.200 --> 00:04:39.400]  也要稱頌祂的聖名
[00:04:39.400 --> 00:04:41.000]  究竟什麼是稱頌
[00:04:41.000 --> 00:04:42.800]  Praise
[00:04:42.800 --> 00:04:44.400]  這個稱頌
[00:04:44.400 --> 00:04:46.200]  說的只不過是一個禮貌
[00:04:46.200 --> 00:04:49.600]  一個衷心還是習慣
[00:04:49.600 --> 00:04:51.800]  在此詩人提醒自己
[00:04:51.800 --> 00:04:52.600]  對自己說
[00:04:52.600 --> 00:04:54.200]  我的心啊
[00:04:54.200 --> 00:04:57.000]  我要稱頌耶和華
[00:04:57.000 --> 00:04:59.400]  是因為真心的感謝
[00:04:59.400 --> 00:05:01.600]  不是經常都有
[00:05:01.600 --> 00:05:02.800]  真心的感謝
[00:05:02.800 --> 00:05:04.400]  是要花心力
[00:05:04.400 --> 00:05:06.000]  是很激動
[00:05:06.000 --> 00:05:07.800]  我的心
[00:05:07.800 --> 00:05:09.800]  是希伯來的一個成語
[00:05:09.800 --> 00:05:12.200]  表示我整個人
[00:05:12.200 --> 00:05:13.800]  我裡面的一切
[00:05:13.800 --> 00:05:16.400]  是在說全人的意思
[00:05:16.400 --> 00:05:17.200]  肉體
[00:05:17.200 --> 00:05:18.000]  理智
[00:05:18.000 --> 00:05:18.800]  思想
[00:05:18.800 --> 00:05:19.800]  感情
[00:05:19.800 --> 00:05:21.400]  五臟六腑
[00:05:21.400 --> 00:05:22.400]  每一個細胞
[00:05:22.400 --> 00:05:26.000]  都要來去到去稱讚神
[00:05:26.000 --> 00:05:27.400]  詩人提醒我們
[00:05:27.400 --> 00:05:30.400]  不可忘記神的一切恩惠
[00:05:30.400 --> 00:05:33.800]  這個也是希伯來人常用的習慣語
[00:05:33.800 --> 00:05:36.200]  藉著一個消極的語氣
[00:05:36.200 --> 00:05:40.400]  去表達一個強烈積極的意思
[00:05:40.400 --> 00:05:42.600]  詩人強調我們要切切地
[00:05:42.600 --> 00:05:44.000]  來去到去記住
[00:05:44.000 --> 00:05:47.200]  神所施行的恩惠
[00:05:47.200 --> 00:05:48.800]  究竟什麼是恩惠?
[00:05:48.800 --> 00:05:51.200]  是在說神給過我們的益處
[00:05:51.200 --> 00:05:52.200]  好處
[00:05:52.200 --> 00:05:53.800]  我們都要深刻地
[00:05:53.800 --> 00:05:56.600]  銘記在心裡面
[00:05:56.600 --> 00:05:58.000]  我們要回想
[00:05:58.000 --> 00:05:59.400]  要細數
[00:05:59.400 --> 00:06:02.200]  從主裡面一切的恩典
[00:06:02.200 --> 00:06:03.400]  沒錯
[00:06:03.400 --> 00:06:04.600]  人的心
[00:06:04.600 --> 00:06:06.600]  都是很善忘的
[00:06:06.600 --> 00:06:09.800]  我不知道你是否一個善忘的人
[00:06:09.800 --> 00:06:12.000]  當時間久了
[00:06:12.000 --> 00:06:14.000]  特別當我們遇到一些困苦
[00:06:14.000 --> 00:06:14.600]  缺乏
[00:06:14.600 --> 00:06:15.600]  挫敗
[00:06:15.600 --> 00:06:17.200]  冤屈的時候
[00:06:17.200 --> 00:06:18.800]  好像霎時間
[00:06:18.800 --> 00:06:20.600]  我們就忘記了
[00:06:20.600 --> 00:06:24.800]  神過去在我們生命裡面的作為一樣
[00:06:24.800 --> 00:06:26.800]  當我們回看以色列人
[00:06:26.800 --> 00:06:28.200]  他們剛剛來到
[00:06:28.200 --> 00:06:32.400]  經歷出埃及的恩典和神蹟
[00:06:32.400 --> 00:06:33.600]  在曠野
[00:06:33.600 --> 00:06:36.800]  經歷缺乏和艱難的時候
[00:06:36.800 --> 00:06:40.000]  他們向神多方地埋怨
[00:06:40.000 --> 00:06:41.400]  表達不滿
