
[00:00:00.000 --> 00:00:05.840]  我們在講議創下書第40章到第48章的時候
[00:00:05.840 --> 00:00:08.320]  議創下書提到信靠的定義
[00:00:08.320 --> 00:00:11.280]  之後就提到一個人物叫希西加
[00:00:11.280 --> 00:00:14.680]  成爲信靠的一個具體的例子
[00:00:14.680 --> 00:00:17.720]  但是40章到48章他提到信靠
[00:00:17.720 --> 00:00:20.080]  是要普天獨一的真神
[00:00:20.080 --> 00:00:23.440]  想清楚,讀者讀到第48章
[00:00:23.440 --> 00:00:27.160]  等於如果你能夠讀議創下書捱到第48章的話
[00:00:27.160 --> 00:00:29.840]  你都會和讀者一樣有一個這樣的期盼
[00:00:29.840 --> 00:00:30.880]  這個期盼是什麼呢?
[00:00:30.880 --> 00:00:33.000]  如果這位是我們依靠的
[00:00:33.000 --> 00:00:34.600]  我們唯一信靠的這位上帝
[00:00:34.600 --> 00:00:36.480]  是創天造地的上帝
[00:00:36.480 --> 00:00:38.400]  他是那位全地的上帝
[00:00:38.400 --> 00:00:39.760]  是萬國的上帝
[00:00:39.760 --> 00:00:41.720]  他是獨一的真神的話
[00:00:41.720 --> 00:00:44.320]  如果有一天他臨格於地上的話
[00:00:44.320 --> 00:00:46.680]  就是說他親自來到這個地上的話
[00:00:46.680 --> 00:00:49.360]  他應該用什麼形象出現呢?
[00:00:49.360 --> 00:00:50.960]  說多說少我們有期望
[00:00:50.960 --> 00:00:52.960]  這個期望其實猶太人
[00:00:52.960 --> 00:00:56.680]  到今天仍然這個期望是還沒幻滅的
[00:00:56.680 --> 00:01:00.080]  也就是說,其實在2000年耶穌的降生
[00:01:00.080 --> 00:01:01.680]  是猶太人不能夠承認
[00:01:01.680 --> 00:01:06.480]  也不能夠接受那位就是他們所期盼的尼賽亞
[00:01:06.480 --> 00:01:11.920]  所以難怪先知以賽亞在今天的49到55章末的時候
[00:01:11.920 --> 00:01:14.560]  他說,我們所傳的有誰信呢?
[00:01:14.560 --> 00:01:18.120]  又或者傍輩向誰顯露呢?
[00:01:18.120 --> 00:01:20.760]  原因,讀者的期盼
[00:01:20.760 --> 00:01:22.240]  猶太人的期盼
[00:01:22.240 --> 00:01:26.840]  和真正的上帝的顯現臨格的時候
[00:01:26.840 --> 00:01:29.640]  落差太大了
[00:01:29.640 --> 00:01:32.560]  這個落差大到是無法接受
[00:01:32.560 --> 00:01:34.840]  最近也有人提出了
[00:01:34.840 --> 00:01:37.760]  不斷要請一些猶太拉比來香港悉經的時候
[00:01:37.760 --> 00:01:38.920]  我想告訴大家
[00:01:38.920 --> 00:01:40.760]  猶太拉比是無法接受
[00:01:40.760 --> 00:01:45.840]  49章到55章是指向尼賽亞的
