
[00:00:00.000 --> 00:00:03.180]  在1863年的一次演講當中
[00:00:03.180 --> 00:00:08.180]  美國總統林肯他對他的國民說了以下這番說話
[00:00:08.180 --> 00:00:13.080]  是一段很精彩的一段說話
[00:00:13.080 --> 00:00:14.180]  他說
[00:00:14.180 --> 00:00:18.580]  We have been the recipients of the choices bounties of heaven
[00:00:18.580 --> 00:00:23.280]  We have been preserved these many years in peace and prosperity
[00:00:23.280 --> 00:00:26.680]  We have grown in numbers, wealth, and power
[00:00:26.680 --> 00:00:30.680]  as no other nation has ever grown
[00:00:30.680 --> 00:00:34.280]  But we have forgotten God
[00:00:34.280 --> 00:00:38.080]  We have forgotten the gracious hand which preserved us in peace
[00:00:38.080 --> 00:00:43.980]  and multiplied and enriched and strengthened us
[00:00:43.980 --> 00:00:46.480]  And we have vainly imagined
[00:00:46.480 --> 00:00:49.280]  in the deceitfulness of our hearts
[00:00:49.280 --> 00:00:51.680]  that all these blessings were produced
[00:00:51.680 --> 00:00:56.980]  by some superior wisdom and virtue of our own
[00:00:56.980 --> 00:01:00.280]  Intoxicated with unbroken success
[00:01:00.280 --> 00:01:03.280]  we have become too self-sufficient
[00:01:03.280 --> 00:01:08.080]  to feel the necessity of redeeming and preserving grace
[00:01:08.080 --> 00:01:13.880]  too proud to pray to the God that made us
[00:01:13.880 --> 00:01:17.780]  中文的翻譯是這樣
[00:01:17.780 --> 00:01:23.880]  We have been the recipients of the choices bounties of heaven
[00:01:23.880 --> 00:01:30.680]  We have been preserved these many years in peace and prosperity
[00:01:30.680 --> 00:01:35.780]  We have grown in numbers, wealth, and power
[00:01:35.780 --> 00:01:41.480]  as no other nation has ever grown
[00:01:41.480 --> 00:01:46.080]  But we have forgotten God
[00:01:46.080 --> 00:01:50.880]  We have forgotten the gracious hand which preserved us in peace
[00:01:50.880 --> 00:01:58.280]  and multiplied and enriched and strengthened us
[00:01:58.280 --> 00:02:00.380]  And we have vainly imagined
[00:02:00.380 --> 00:02:03.080]  in the deceitfulness of our hearts
[00:02:03.080 --> 00:02:05.480]  that all these blessings were produced
[00:02:05.480 --> 00:02:10.980]  by some superior wisdom and virtue of our own
[00:02:10.980 --> 00:02:15.480]  Intoxicated with unbroken success
[00:02:15.480 --> 00:02:18.880]  we have become too self-sufficient
[00:02:18.880 --> 00:02:27.280]  to feel the necessity of redeeming and preserving grace
[00:02:27.280 --> 00:02:29.580]  We have become too self-sufficient
[00:02:29.580 --> 00:02:35.980]  to pray to the God that made us
[00:02:35.980 --> 00:02:39.380]  說得好嗎?
[00:02:39.380 --> 00:02:44.580]  我們自己有沒有犯上同樣的錯誤?
[00:02:44.580 --> 00:02:48.880]  被一連串的成就所錯誤引導
[00:02:48.880 --> 00:02:52.880]  我們已經變得太自滿
[00:02:52.880 --> 00:02:57.980]  我們變得太自負
[00:02:57.980 --> 00:03:01.980]  我們不會覺得自己不配
[00:03:01.980 --> 00:03:03.680]  說完這番話之後
[00:03:03.680 --> 00:03:08.780]  林肯總統定了1863年4月30日
[00:03:08.780 --> 00:03:12.980]  成為全國金食禱告日
[00:03:12.980 --> 00:03:14.780]  可惜的是
[00:03:14.780 --> 00:03:18.280]  如此敬虔的國家元首的這種態度
[00:03:18.280 --> 00:03:20.780]  已經成為了歷史
[00:03:20.780 --> 00:03:22.380]  很多人已經忘記了
[00:03:22.380 --> 00:03:26.580]  已經遺忘了國家建立的根基
[00:03:26.580 --> 00:03:27.780]  簡單來說
[00:03:27.780 --> 00:03:30.780]  他們忘記了神
[00:03:30.780 --> 00:03:35.180]  今天美國仍然有全國禱告日
[00:03:35.180 --> 00:03:38.880]  是在每年的5月1日星期四
[00:03:38.880 --> 00:03:41.780]  但是已經變成了任何宗教
[00:03:41.780 --> 00:03:46.480]  都在當天去禱告他們自己的神
[00:03:46.480 --> 00:03:50.980]  已經不是當天林肯總統所說的
[00:03:50.980 --> 00:03:55.080]  向創造我們的神禱告
[00:03:55.080 --> 00:03:59.880]  人竟然忘記了神
[00:03:59.880 --> 00:04:04.180]  有兩個人和一個朋友去到火車站
[00:04:04.180 --> 00:04:06.180]  由於火車有誤點
[00:04:06.180 --> 00:04:09.580]  所以他們走到火車站裡面的咖啡店
[00:04:09.580 --> 00:04:13.280]  去喝咖啡邊喝邊聊邊等
[00:04:13.280 --> 00:04:14.280]  時間過得很快
[00:04:14.280 --> 00:04:16.180]  忽然間聽到廣播
[00:04:16.180 --> 00:04:19.980]  他們所乘坐的火車即將要開出
[00:04:19.980 --> 00:04:22.980]  於是三個人馬上離開咖啡店
[00:04:22.980 --> 00:04:24.780]  在月台上飛奔
[00:04:24.780 --> 00:04:26.580]  甚至飛跑地
[00:04:26.580 --> 00:04:29.580]  到火車軌上一路去追
[00:04:29.580 --> 00:04:31.680]  結果呢
[00:04:31.680 --> 00:04:36.680]  兩個人成功地追上了最尾的那一卡車廂
[00:04:36.680 --> 00:04:40.880]  而第三個人呢 就是追不上
[00:04:40.880 --> 00:04:43.280]  第三個人慢慢停下來
[00:04:43.280 --> 00:04:44.780]  然後不停地在笑
[00:04:44.780 --> 00:04:48.280]  不停地在笑笑到彎不了身
[00:04:48.280 --> 00:04:50.680]  有一個旁觀的人走上去前
[00:04:50.680 --> 00:04:53.280]  去問這個笑不停的人
[00:04:53.280 --> 00:04:54.280]  你笑什麼
[00:04:54.280 --> 00:04:58.680]  你剛剛錯過了你的火車
[00:04:58.680 --> 00:05:00.180]  這個人回答說
[00:05:00.180 --> 00:05:03.080]  沒錯 我真的錯過了我的火車
[00:05:03.080 --> 00:05:04.280]  但是搞笑的是
[00:05:04.280 --> 00:05:07.980]  我那兩個朋友趕上了那班火車
[00:05:07.980 --> 00:05:12.780]  不過他們兩個是來送行的
[00:05:12.780 --> 00:05:15.080]  現今世代的人
[00:05:15.080 --> 00:05:16.780]  包括很多的我們
[00:05:16.780 --> 00:05:20.880]  就好像錯過了這班火車的人
[00:05:20.880 --> 00:05:23.080]  我們沒有錯過火車
[00:05:23.080 --> 00:05:25.980]  但是我們錯過了聖誕
[00:05:25.980 --> 00:05:29.380]  我們沒有錯過聖誕的這一個日子
[00:05:29.380 --> 00:05:36.080]  但是我們卻錯過了聖誕的真正意義
[00:05:36.080 --> 00:05:39.480]  什麼是聖誕的真正意義呢
[00:05:39.480 --> 00:05:41.880]  花生漫畫的主角查理布朗
[00:05:41.880 --> 00:05:43.580]  他有一套動畫叫做
[00:05:43.580 --> 00:05:45.880]  A Charlie Brown Christmas
[00:05:45.880 --> 00:05:47.380]  The Meaning of Christmas
