
[00:00:00.000 --> 00:00:02.220]  有一個問題想問一問大家
[00:00:02.220 --> 00:00:04.960]  如果直接問你
[00:00:04.960 --> 00:00:07.800]  你回答這個問題可能會令你感到焦慮
[00:00:07.800 --> 00:00:10.600]  所以我們轉一轉形式
[00:00:10.600 --> 00:00:13.160]  問一下其他人
[00:00:13.160 --> 00:00:15.860]  通常我們不敢問自己的問題
[00:00:15.860 --> 00:00:17.220]  我們說代朋友問
[00:00:17.220 --> 00:00:19.740]  你覺得
[00:00:19.740 --> 00:00:23.420]  香港有多少人已經
[00:00:23.420 --> 00:00:25.420]  儲夠錢過
[00:00:25.420 --> 00:00:28.200]  退休之後那幾十年的生活呢
[00:00:30.000 --> 00:00:35.200]  (無奈的笑聲)
[00:00:35.200 --> 00:00:37.120]  你們這麼年輕就不用回答了
[00:00:37.120 --> 00:00:40.200]  你們還有很多日子
[00:00:40.200 --> 00:00:44.420]  有一間資產管理公司在
[00:00:44.420 --> 00:00:47.200]  去年12月做了一個調查
[00:00:47.200 --> 00:00:51.600]  他說香港有95%的
[00:00:51.600 --> 00:00:53.760]  他那間公司的投資者
[00:00:53.760 --> 00:00:57.360]  覺得自己很後悔為何當初
[00:00:57.360 --> 00:00:59.580]  沒有儲夠錢準備退休
[00:01:00.860 --> 00:01:02.860]  那個調查也發現
[00:01:02.860 --> 00:01:05.960]  有61%的人
[00:01:05.960 --> 00:01:09.940]  受訪者是擔心自己退休之後
[00:01:09.940 --> 00:01:15.220]  過不了他想要的生活水準
[00:01:15.220 --> 00:01:19.720]  究竟有多少才夠退休呢
[00:01:19.720 --> 00:01:24.240]  幾年前有記者訪問我們中文大學
[00:01:24.240 --> 00:01:26.860]  教財務學的李兆波先生
[00:01:26.860 --> 00:01:29.980]  就問他有多少錢才夠退休
[00:01:30.480 --> 00:01:31.480]  他就說
[00:01:31.480 --> 00:01:34.480]  這個問題是這樣想的
[00:01:34.480 --> 00:01:37.040]  首先看看你有多少歲命
[00:01:37.040 --> 00:01:39.680]  如果一般香港人的壽命
[00:01:39.680 --> 00:01:43.200]  沒甚麼的話你也有八十多接近九十
[00:01:43.200 --> 00:01:45.200]  可能還要長一點
[00:01:45.200 --> 00:01:48.440]  如果你六十歲退休之後
[00:01:48.440 --> 00:01:50.080]  你還要過這麼多年
