
[00:00:00.000 --> 00:00:02.000]  讓我們先有一切禱告
[00:00:02.000 --> 00:00:05.560]  七喜天父
[00:00:05.560 --> 00:00:09.280]  感謝祢以愛招聚我們回到聖殿
[00:00:09.280 --> 00:00:10.720]  相聚敬拜祢
[00:00:10.720 --> 00:00:14.480]  求祢積諸我們今天所讀的尊主頌
[00:00:14.480 --> 00:00:18.160]  讓我們的心學識尊主祢為大
[00:00:18.160 --> 00:00:23.560]  讓我們見到祢比世間一切的大能都要大
[00:00:23.560 --> 00:00:28.680]  也比我們自己的困境不足的限制大
[00:00:29.120 --> 00:00:30.120]  主啊
[00:00:30.120 --> 00:00:33.280]  讓我們的心得著由耶穌而來的勇氣
[00:00:33.280 --> 00:00:36.720]  使我們能夠宣告祢為大
[00:00:36.720 --> 00:00:38.720]  我們的禱告
[00:00:38.720 --> 00:00:42.320]  是奉主耶穌基督的名字祈求
[00:00:42.320 --> 00:00:43.400]  阿們
[00:00:43.400 --> 00:00:46.200]  一說到尊主頌
[00:00:46.200 --> 00:00:50.680]  如果大家回來教會有留心聽過尊主頌
[00:00:50.680 --> 00:00:54.360]  都一定會可能腦海醒起頭那兩句
[00:00:54.360 --> 00:00:56.680]  我心尊主為大
[00:00:56.920 --> 00:01:00.400]  我的靈以我的救主上帝為樂
[00:01:00.400 --> 00:01:03.680]  尊主頌頭這兩句讓我們感受到
[00:01:03.680 --> 00:01:06.480]  當瑪利亞的肚子懷著耶穌的時候
[00:01:06.480 --> 00:01:08.240]  她是很喜樂的
[00:01:08.240 --> 00:01:10.920]  但為什麼瑪利亞會這麼喜樂呢
[00:01:10.920 --> 00:01:13.160]  瑪利亞喜樂的原因
[00:01:13.160 --> 00:01:17.160]  在經文的四十八、四十九節就告訴我們
[00:01:17.160 --> 00:01:20.680]  因為祂顧念祂的使律
[00:01:20.680 --> 00:01:22.240]  祂卑微的使律
[00:01:22.240 --> 00:01:26.600]  因為乃有權能的為我做了大事
[00:01:27.920 --> 00:01:29.520]  誰是這個「祂」
[00:01:29.520 --> 00:01:31.040]  誰是這個有權能呢
[00:01:31.040 --> 00:01:34.120]  很明顯這個「祂」這個有權能
[00:01:34.120 --> 00:01:36.360]  就是指的是我們救主上帝
[00:01:36.360 --> 00:01:39.440]  所以瑪利亞在四十七節才會說我靈
[00:01:39.440 --> 00:01:42.120]  以上帝我的救主為樂
[00:01:42.120 --> 00:01:44.200]  所以我們看到
[00:01:44.200 --> 00:01:45.760]  瑪利亞在這裡喜樂
[00:01:45.760 --> 00:01:47.760]  她不是因為空洞的宗教情感
[00:01:47.760 --> 00:01:49.840]  不是說一說到上帝她就
[00:01:49.840 --> 00:01:51.040]  是不是都喜樂了
[00:01:51.040 --> 00:01:53.280]  也不是因為她懷著寶寶
