
[00:00:00.000 --> 00:00:04.080]  我今天想講我們尋求榮裡面其中一個領袖
[00:00:04.080 --> 00:00:08.080]  叫心思戰場
[00:00:08.080 --> 00:00:11.720]  就是我們的心思到底是怎麼打仗的呢?
[00:00:11.720 --> 00:00:15.320]  我們作為基督徒應該是怎麼打法的呢?
[00:00:15.320 --> 00:00:16.920]  我們要注意些什麼呢?
[00:00:16.920 --> 00:00:20.720]  特別今天會講到光明與黑暗的對比
[00:00:20.720 --> 00:00:22.360]  所以我叫它做光明篇
[00:00:22.360 --> 00:00:24.040]  心思戰場的光明篇
[00:00:24.040 --> 00:00:26.640]  好,我們一起讀一下聖經
[00:00:26.640 --> 00:00:31.680]  已不鎖書五章,第三節開始
[00:00:31.680 --> 00:00:35.000]  已不鎖書,第五章,三節開始
[00:00:35.000 --> 00:00:37.840]  去到十四節,右往後面
[00:00:37.840 --> 00:00:39.200]  好,我們一起讀好不好?
[00:00:39.200 --> 00:00:40.880]  預備,一二起
[00:00:40.880 --> 00:00:45.240]  至於淫亂,或一切污穢,或是淫亂貪婪
[00:00:45.240 --> 00:00:50.360]  在理性中間見體都不可,方合聖徒的體統
[00:00:50.360 --> 00:00:54.760]  淫詞,妄語,和嬉笑的話都不相宜
[00:00:54.760 --> 00:00:57.000]  總要說感謝的話
[00:00:57.000 --> 00:00:59.520]  因為你們確實知知道
[00:00:59.520 --> 00:01:03.920]  無論是淫亂的,是污穢的,是貪貪心的
[00:01:03.920 --> 00:01:06.120]  在基督和神的國內
[00:01:06.120 --> 00:01:08.960]  都是無分的,有貪心的
[00:01:08.960 --> 00:01:11.320]  要與拜偶像的一樣
[00:01:11.320 --> 00:01:14.120]  不要被人虛浮的話稀罕
[00:01:14.120 --> 00:01:19.400]  因者則是神的憤怒必臨到那撥亦之子
[00:01:19.400 --> 00:01:22.840]  所以你們不要與他們同火
[00:01:22.840 --> 00:01:25.160]  從前你們是暗昧的
[00:01:25.160 --> 00:01:28.320]  但如今在主裡面是光明的
[00:01:28.320 --> 00:01:31.920]  行事做人就當像光明的子女
