
[00:00:00.000 --> 00:00:01.160]  我們一起抬頭禱告
[00:00:01.160 --> 00:00:06.680]  主耶穌 多謝祢
[00:00:06.680 --> 00:00:09.680]  讓祢知道祢是那位救贖主
[00:00:09.680 --> 00:00:12.920]  讓祢在今天復活節的日子當中
[00:00:12.920 --> 00:00:16.760]  再次去反思祢復活的意義
[00:00:16.760 --> 00:00:19.520]  願祢來到當中與我們同在
[00:00:19.520 --> 00:00:22.080]  讓我像這個詩人一樣
[00:00:22.080 --> 00:00:24.280]  去慶重祢
[00:00:24.280 --> 00:00:26.320]  因為我們愛
[00:00:26.320 --> 00:00:29.320]  愛我們各位上帝的慈愛
[00:00:29.320 --> 00:00:30.760]  事實臨在我們當中
[00:00:30.760 --> 00:00:33.280]  求主祇與孩子同在
[00:00:33.280 --> 00:00:34.960]  與孩子所說的
[00:00:34.960 --> 00:00:37.280]  弟子所聽的都是同感的靈
[00:00:37.280 --> 00:00:38.680]  以上禱告
[00:00:38.680 --> 00:00:40.480]  奉我們救主寶貴 蘇吾哲祈禱
[00:00:40.480 --> 00:00:44.160]  好
[00:00:44.160 --> 00:00:48.240]  今天很想用詩篇來到當中
[00:00:48.240 --> 00:00:50.280]  成為復活節主義的訊息
[00:00:50.280 --> 00:00:53.800]  詩篇118篇
[00:00:53.800 --> 00:00:57.480]  是隔閘在117篇和119篇的中間
[00:00:57.920 --> 00:01:00.280]  詩篇117篇只有幾節
[00:01:00.280 --> 00:01:04.120]  而詩篇119篇是176節
[00:01:04.120 --> 00:01:06.360]  所以在整個詩篇當中
[00:01:06.360 --> 00:01:10.040]  夾雜在最短的和最長的詩篇中間
[00:01:10.040 --> 00:01:12.040]  而這首詩篇
[00:01:12.040 --> 00:01:15.760]  稱為埃及的阿利路的詩篇
[00:01:15.760 --> 00:01:19.640]  通常在特別的節祭當中
[00:01:19.640 --> 00:01:22.960]  就會唱這首詩篇來當中慶祝節祭
[00:01:22.960 --> 00:01:27.360]  與尤大人駐盤節有關
[00:01:28.280 --> 00:01:30.600]  而詩篇118篇
[00:01:30.600 --> 00:01:33.560]  在聖經和基督教的信仰當中
[00:01:33.560 --> 00:01:35.360]  是非常重要的一個詩篇
[00:01:35.360 --> 00:01:37.600]  尤其是對基督徒來說
[00:01:37.600 --> 00:01:40.840]  我們說這是搖滑鎖定的日子
[00:01:40.840 --> 00:01:42.160]  是說什麼呢
[00:01:42.160 --> 00:01:46.880]  是說尼塞亞對抗死亡最後的勝利
[00:01:46.880 --> 00:01:48.720]  所以在復活節
[00:01:48.720 --> 00:01:52.680]  改變了耶穌的跟隨者的生活
[00:01:52.680 --> 00:01:55.720]  當我們閱讀詩篇的時候
[00:01:55.720 --> 00:01:57.680]  其實詩篇118篇
[00:01:57.920 --> 00:02:02.000]  是說復活的耶穌和教會如何慶祝
[00:02:02.000 --> 00:02:03.720]  我們想像一下
[00:02:03.720 --> 00:02:05.680]  復活的尼塞亞
[00:02:05.680 --> 00:02:08.720]  去引導我們來當中
[00:02:08.720 --> 00:02:10.880]  向我們的天父上帝獻上感恩
[00:02:10.880 --> 00:02:13.960]  有一個慶祝和勝利的詩篇
[00:02:13.960 --> 00:02:19.200]  在馬丁路德也這樣說
[00:02:19.200 --> 00:02:23.240]  他說詩篇118篇是我最深愛的詩篇
[00:02:23.680 --> 00:02:28.880]  聖經所有的詩篇都是我的安慰和生命的源頭
[00:02:28.880 --> 00:02:30.000]  是我所愛
[00:02:30.000 --> 00:02:33.560]  唯獨這首詩是我特別喜歡的
[00:02:33.560 --> 00:02:36.240]  當君王 智者 能人
[00:02:36.240 --> 00:02:39.080]  甚至連聖人都幫不了我的時候
[00:02:39.080 --> 00:02:42.080]  這首詩篇成為我最忠實的朋友
[00:02:42.080 --> 00:02:45.720]  曾經多次經歷過患難當中
[00:02:45.720 --> 00:02:48.400]  終於拯救出來
[00:02:48.400 --> 00:02:51.360]  因此詩篇118對於他來說
[00:02:51.840 --> 00:02:57.800]  比財富 名譽 君王 個人的權勢的總和
[00:02:57.800 --> 00:02:59.520]  還要來得珍貴
[00:02:59.520 --> 00:03:03.640]  所以看到詩篇118的詩篇
[00:03:03.640 --> 00:03:09.360]  對於中世紀的先人先世是何等重要
[00:03:09.360 --> 00:03:12.040]  對於教會來說是一個重要的詩篇
