
[00:00:00.000 --> 00:00:02.780]  從前有一位石匠
[00:00:02.780 --> 00:00:05.400]  他不太喜歡自己
[00:00:05.400 --> 00:00:07.740]  在這裡踢石仔
[00:00:07.740 --> 00:00:09.520]  啪啪啪啪啪
[00:00:09.520 --> 00:00:13.080]  有一天他經過一個富商的家
[00:00:13.080 --> 00:00:17.260]  哇,很有錢哦,有錢佬哦
[00:00:17.260 --> 00:00:19.740]  如果我是他就好了
[00:00:19.740 --> 00:00:21.740]  那我就不用捱了
[00:00:21.740 --> 00:00:23.740]  叮一聲,突然間
[00:00:23.740 --> 00:00:26.240]  不知道為什麼,故事是這麼說的
[00:00:26.240 --> 00:00:29.340]  他就立刻變成了那個富商
[00:00:29.340 --> 00:00:33.480]  享受數不盡的榮華富貴
[00:00:33.480 --> 00:00:35.480]  過了沒多久
[00:00:35.480 --> 00:00:37.480]  在他家門口
[00:00:37.480 --> 00:00:40.800]  皇帝坐著轎轎經過
[00:00:40.800 --> 00:00:45.500]  有人抬著他,身邊還有很多僕人、隨從、官兵、侍衛等等
[00:00:45.500 --> 00:00:51.620]  連這個有錢人都必須要向著皇帝鞠躬下拜
[00:00:51.620 --> 00:00:54.600]  原來皇帝厲害點,皇帝厲害點
[00:00:54.600 --> 00:00:57.800]  不如這樣,我做皇帝好不好
[00:00:57.800 --> 00:01:00.960]  哇,又立刻叮一聲,他又變成了皇帝
[00:01:00.960 --> 00:01:04.480]  有人抬著轎轎周圍走
[00:01:04.480 --> 00:01:08.020]  不過轎轎呢,是沒有冷氣的
[00:01:08.020 --> 00:01:13.300]  他坐在轎轎裡面,流著大汗,大汗淋濕汗
[00:01:13.300 --> 00:01:15.780]  很不舒服,他看著天
[00:01:15.780 --> 00:01:18.280]  哦,原來是因為你
[00:01:18.280 --> 00:01:20.280]  有個太陽在這裡,好熱啊
[00:01:20.280 --> 00:01:26.680]  曬得無論是有錢人還是沒錢人,都要被太陽曬著
[00:01:26.680 --> 00:01:28.400]  很不舒服
[00:01:28.400 --> 00:01:30.860]  原來太陽才夠厲害
[00:01:30.860 --> 00:01:33.900]  不如我變成太陽好不好
[00:01:33.900 --> 00:01:37.240]  不用問好不好,他立刻就變成了太陽
[00:01:37.240 --> 00:01:40.240]  哇,做了太陽曬啊
[00:01:40.240 --> 00:01:44.020]  曬著曬著,誰知道突然間有一朵雲
[00:01:44.020 --> 00:01:46.680]  有一片雲突然間吹著吹著
[00:01:46.680 --> 00:01:50.220]  吹到擋住了太陽
