
[00:00:00.000 --> 00:00:02.600]  感謝神恩典今天
[00:00:02.600 --> 00:00:05.760]  早上能夠跟大家一起
[00:00:05.760 --> 00:00:07.580]  在神的殿中
[00:00:07.580 --> 00:00:11.860]  基督的身體裏面
[00:00:11.860 --> 00:00:14.960]  我們一起連接 並且與神連接
[00:00:14.960 --> 00:00:17.880]  我們在這裏也一起用我們的
[00:00:17.880 --> 00:00:19.860]  身心靈來敬拜祂
[00:00:19.860 --> 00:00:23.700]  因爲祂是配受我們如此敬拜的主
[00:00:23.700 --> 00:00:26.700]  我們也謝謝這個
[00:00:26.700 --> 00:00:29.640]  敬拜師班帶領我們
[00:00:29.640 --> 00:00:31.780]  用美妙的詩歌
[00:00:31.780 --> 00:00:34.680]  把我們心中對足的渴慕
[00:00:34.680 --> 00:00:37.440]  我們的等候 我們的渴望
[00:00:37.440 --> 00:00:39.580]  我們向神獻上
[00:00:39.580 --> 00:00:42.600]  我相信神已經聽了我們的禱告
[00:00:42.600 --> 00:00:45.220]  也一定靈在
[00:00:45.220 --> 00:00:48.460]  在這個會堂裏面 但願我們的心
[00:00:48.460 --> 00:00:51.120]  打開 我們要領受
[00:00:51.120 --> 00:00:52.340]  祂的祝福
[00:00:52.340 --> 00:00:57.300]  我從小喜歡看小說
[00:00:57.300 --> 00:00:59.240]  所以呢
[00:00:59.660 --> 00:01:01.880]  剛剛閱語堂的時候
[00:01:01.880 --> 00:01:04.440]  李牧師介紹我的時候
[00:01:04.440 --> 00:01:06.300]  他說我是武林高手
[00:01:06.300 --> 00:01:09.600]  所以呢 今天要教導我們怎麼樣
[00:01:09.600 --> 00:01:12.560]  這個心法的 兵法的
[00:01:12.560 --> 00:01:13.560]  操練
[00:01:13.560 --> 00:01:17.520]  那心法跟劍法
[00:01:17.520 --> 00:01:21.060]  基本上面呢 是一個極大的
[00:01:21.060 --> 00:01:22.060]  分野
[00:01:22.060 --> 00:01:25.500]  如果看小說的時候 就是
[00:01:25.500 --> 00:01:27.480]  有一些武林高手
[00:01:27.780 --> 00:01:30.800]  那他們根本 這個劍還沒有
[00:01:30.800 --> 00:01:32.040]  發出去
[00:01:32.040 --> 00:01:35.440]  他心法操練到一個地步
[00:01:35.440 --> 00:01:37.220]  他已經有把握
[00:01:37.220 --> 00:01:38.840]  必勝
[00:01:38.840 --> 00:01:40.360]  這一仗
[00:01:40.360 --> 00:01:43.740]  所以因此呢 我們世界上的人
[00:01:43.740 --> 00:01:46.960]  大部分呢 我們追求
[00:01:46.960 --> 00:01:50.560]  上方寶劍 希望拿到劍
[00:01:50.560 --> 00:01:53.060]  然後拿到祕籍
[00:01:53.060 --> 00:01:56.000]  然後希望能夠練得一生
[00:01:57.140 --> 00:02:00.020]  出人意外的劍法
[00:02:00.020 --> 00:02:01.360]  以致於能夠
[00:02:01.360 --> 00:02:04.200]  每一戰我們都贏
[00:02:04.200 --> 00:02:07.260]  但事實上面呢 關鍵 勝利的關鍵呢
[00:02:07.260 --> 00:02:10.440]  應該是在心法的操練
[00:02:10.440 --> 00:02:11.900]  對啊
[00:02:11.900 --> 00:02:16.180]  有一句很簡單 我體會的
[00:02:16.180 --> 00:02:19.020]  就是我們平常沒有辦法
[00:02:19.020 --> 00:02:21.860]  在戰場上面
[00:02:21.860 --> 00:02:24.080]  我們能夠得勝
[00:02:24.600 --> 00:02:28.220]  但是有一些人呢 面對敵人的時候呢
[00:02:28.220 --> 00:02:30.140]  他能夠
[00:02:30.140 --> 00:02:33.240]  因爲心法的操練
[00:02:33.240 --> 00:02:36.840]  他劍還沒有發出去 他已經有把握
[00:02:36.840 --> 00:02:40.540]  一定會勝利 那這是用
[00:02:40.540 --> 00:02:43.560]  外面的兵法 刀法
[00:02:43.560 --> 00:02:45.780]  拳法 等等
[00:02:45.780 --> 00:02:49.040]  作戰的果效
[00:02:49.040 --> 00:02:52.680]  跟裏面有一個完全的
[00:02:52.680 --> 00:02:55.180]  卻據把握
[00:02:55.180 --> 00:02:58.240]  而出去與敵人
[00:02:58.240 --> 00:03:01.060]  戰爭的時候 這個結果是
[00:03:01.060 --> 00:03:04.140]  截然不同的兩個
[00:03:04.140 --> 00:03:06.040]  後果
[00:03:06.040 --> 00:03:08.520]  所以今天呢 早上呢
[00:03:08.520 --> 00:03:11.300]  我在這裏不是傳授
[00:03:11.300 --> 00:03:14.640]  什麼武林高招術
[00:03:14.640 --> 00:03:17.560]  而是回到聖經來看一下
[00:03:17.560 --> 00:03:20.660]  在我們基督徒每一天
