
[00:00:00.000 --> 00:00:04.000]  如果你有聖經的話,請你一齊去擁抱神的話語,我們一齊去祈禱!
[00:00:04.000 --> 00:00:10.000]  天父上帝,我們多謝祢!
[00:00:10.000 --> 00:00:16.000]  因為祢的恩典的緣故,我們能夠稱祢為我們的父!
[00:00:16.000 --> 00:00:25.000]  因著耶穌基督的救贖,我們得到這個永遠的生命,成為一個新的群體!
[00:00:25.000 --> 00:00:29.000]  主人,這也是祢賜給我們莫大的恩典!
[00:00:29.000 --> 00:00:38.000]  讓我們尚存一個感謝的心,讓我們有更多的思想去回報祢的心恩!
[00:00:38.000 --> 00:00:44.000]  讓我們獻上自己的最好,成為祢想我們成為的群體!
[00:00:44.000 --> 00:00:51.000]  因為這是祢配得的,祢配得我們將最好的獻上給祢,成為我們的敬拜!
[00:00:51.000 --> 00:00:58.000]  將以下時間公認交上,祢親自向我們說話,觸動我們的心靈,改變我們的生命!
[00:00:58.000 --> 00:01:00.000]  聽我們祈禱,奉耶穌命求!
[00:01:00.000 --> 00:01:01.000]  Amen!
[00:01:01.000 --> 00:01:14.000]  很多時候,你第一個反應,就是回應著你心裡最真摯的感受!
[00:01:14.000 --> 00:01:20.000]  我讀大學的時候,有一段時間我和我姐姐弟弟一起住的!
[00:01:20.000 --> 00:01:27.000]  然後因為我轉校,就轉到一個比較遠的地方,我就搬了出去!
[00:01:27.000 --> 00:01:36.000]  在那個地方,我找到一個朋友搭上搭,就找了一個主內弟兄,教會裡面有很多的服事!
[00:01:36.000 --> 00:01:43.000]  我就和他一起租了一個地方,在車房後面鑑出來的!
[00:01:43.000 --> 00:01:48.000]  我就有一間對著車房的房子,他就對著一間花園的房子!
[00:01:48.000 --> 00:01:58.000]  我逢週末,我都會回去我姐姐弟弟那邊住,在那邊教會靠近一點,教會服事,然後再回來!
[00:01:58.000 --> 00:02:07.000]  住了一段時間,我發現為什麼我星期一上學,我發覺我的房間有些東西不同了!
[00:02:07.000 --> 00:02:13.000]  我一個週末走開了,有些東西好像變動了,我覺得不太對勁!
[00:02:13.000 --> 00:02:20.000]  過了一兩天,我發覺為什麼有件不是我的男人內衣在那裡!
[00:02:20.000 --> 00:02:29.000]  我就問,原來我的同屋主沒有問過我的情況之下,我不在的時候也是在那裡住的!
[00:02:29.000 --> 00:02:33.000]  他帶了朋友回來過夜,我說這樣不太方便!
[00:02:33.000 --> 00:02:36.000]  我說OK,不會再有這樣的事情發生了!
[00:02:36.000 --> 00:02:48.000]  誰知道又隔了一段時間,平時我星期日崇拜完了,在我姐姐弟弟那邊住,星期一上學放學,我才回家!
[00:02:48.000 --> 00:02:54.000]  那天我早點回去,星期日晚上回家,一回去,就有一個人在我的床上睡覺!
[00:02:54.000 --> 00:03:01.000]  我覺得搞錯呀!覺得很沒有安全感,很沒有自己的空間!
[00:03:01.000 --> 00:03:06.000]  我不在的時候發生什麼事,在我房間裡也不知道,我主人不是很開心!
[00:03:06.000 --> 00:03:11.000]  一個學期結束了,我就跟他說我搬走了!
[00:03:11.000 --> 00:03:16.000]  當然我搬走是不高興的,我就走了!
[00:03:16.000 --> 00:03:23.000]  但是我又保存了大家一點面子,我又沒有跟他吵架!
[00:03:23.000 --> 00:03:27.000]  我也很禮貌地搬走,他又很禮貌地說OK了!
[00:03:27.000 --> 00:03:33.000]  我以為事情就過了,我心裡有時回想起來也會生氣,但是我也OK的,我也原諒了他!
[00:03:33.000 --> 00:03:43.000]  有一次我們參加一個美國灣區的Sunday School Conference,
[00:03:43.000 --> 00:03:54.000]  類似是一些集合崇拜,敬拜,學習的地方,大會,有不同的講座,不同的工作坊。
[00:03:54.000 --> 00:04:00.000]  我一班自己教的弟兄姐妹去準備,準備進去敬拜,
[00:04:00.000 --> 00:04:12.000]  突然間我看到我舊時的同學,我看到他,我第一個反應,另一面,走第二條路進去,
[00:04:12.000 --> 00:04:20.000]  我以為我原諒了他,其實我沒有原諒他,我心裡面真的有一條痴在那裡!
[00:04:20.000 --> 00:04:27.000]  進去唱詩敬拜的時候,我唱不出來,因為我記得耶穌說過,
[00:04:27.000 --> 00:04:35.000]  他們獻祭之前,你想起你跟弟兄還沒有和好,你放下祭物,你先不要去獻祭,你和好了才去敬拜。
